"location","time","IS","temp","consumer","resource","con_mass","con_abun","res_mass","res_abun","source","con_taxonomy"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Amphora",0.050146897,476,4.3175e-07,298857.003,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Cocconeis",0.050146897,476,2.125e-06,2596394.7685,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","CPOM",0.050146897,476,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Cymbella",0.050146897,476,1.98e-07,239085.6024,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Epithemia",0.050146897,476,8.995e-07,12742078.1995,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Filamentous algae",0.050146897,476,NA,NA,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","FPOM",0.050146897,476,NA,NA,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Fragilaria",0.050146897,476,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Gomphonema",0.050146897,476,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Meridion",0.050146897,476,3.63e-07,2396578.318,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Navicula",0.050146897,476,1.269e-07,1676475.39971667,"stream","group"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Nitzschia",0.050146897,476,2.65025e-07,11675508.776175,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Rhoicosphenia",0.050146897,476,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Rhopalodia",0.050146897,476,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Synedra",0.050146897,476,7.12e-06,5340110.285,"stream","group"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Achnanthes",0.322268984,4,2.34333333333333e-07,9259091.0571,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Amphora",0.322268984,4,4.3175e-07,298857.003,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Cocconeis",0.322268984,4,2.125e-06,2596394.7685,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Cymbella",0.322268984,4,1.98e-07,239085.6024,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Epithemia",0.322268984,4,8.995e-07,12742078.1995,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Eunotia",0.322268984,4,1.82e-07,485747.0086,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","FPOM",0.322268984,4,NA,NA,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Fragilaria",0.322268984,4,2.275e-07,1359560.03093333,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Frustulia",0.322268984,4,8.08e-06,591736.715,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Gomphonema",0.322268984,4,1.17533333333333e-07,1215745.2265,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Melosira",0.322268984,4,2.85e-06,1072433.188,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Meridion",0.322268984,4,3.63e-07,2396578.318,"regional","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Navicula",0.322268984,4,1.269e-07,1676475.39971667,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Nitzschia",0.322268984,4,2.65025e-07,11675508.776175,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Pinnularia",0.322268984,4,1.8975e-06,183102.10365,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Rhoicosphenia",0.322268984,4,4.63e-08,2865575.206,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Rhopalodia",0.322268984,4,1.16e-06,6243602.501,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Synedra",0.322268984,4,7.12e-06,5340110.285,"literature","species"
"Hengill","August 2008",1,22.7,"Pisidium sp.","Tetracyclus",0.322268984,4,6.62e-07,119542.8012,"literature","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Achnanthes",0.396905241,3276,2.34333333333333e-07,9259091.0571,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Amphora",0.396905241,3276,4.3175e-07,298857.003,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Cocconeis",0.396905241,3276,2.125e-06,2596394.7685,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","CPOM",0.396905241,3276,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Cymbella",0.396905241,3276,1.98e-07,239085.6024,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Epithemia",0.396905241,3276,8.995e-07,12742078.1995,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Eunotia",0.396905241,3276,1.82e-07,485747.0086,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Filamentous algae",0.396905241,3276,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","FPOM",0.396905241,3276,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Fragilaria",0.396905241,3276,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Frustulia",0.396905241,3276,8.08e-06,591736.715,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Gomphonema",0.396905241,3276,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Macrophytes",0.396905241,3276,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Melosira",0.396905241,3276,2.85e-06,1072433.188,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Meridion",0.396905241,3276,3.63e-07,2396578.318,"stream","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Navicula",0.396905241,3276,1.269e-07,1676475.39971667,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Nitzschia",0.396905241,3276,2.65025e-07,11675508.776175,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Pinnularia",0.396905241,3276,1.8975e-06,183102.10365,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Rhoicosphenia",0.396905241,3276,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Rhopalodia",0.396905241,3276,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Radix balthica","Synedra",0.396905241,3276,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Eukiefferiella minor",7428.152956,0.5,0.041873497,28,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Helobdella stagnalis",7428.152956,0.5,0.663329906,4,"regional","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Limnophora riparia",7428.152956,0.5,0.120358479,36,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Micropsectra atrofasciata",7428.152956,0.5,0.028482694,232,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Oligochaeta indet.",7428.152956,0.5,0.004192389,6112,"regional","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Orthocladius sp.",7428.152956,0.5,0.050146897,476,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Radix balthica",7428.152956,0.5,0.396905241,3276,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Simulium aureum",7428.152956,0.5,0.21607722,976,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Simulium vittatum",7428.152956,0.5,0.179134976,888,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Sperchon glandulosus",7428.152956,0.5,0.135184721,96,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Terrestrial",7428.152956,0.5,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Salmo trutta","Thienemanniella sp.",7428.152956,0.5,0.013329585,4,"regional","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Achnanthes",0.21607722,976,2.34333333333333e-07,9259091.0571,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Amphora",0.21607722,976,4.3175e-07,298857.003,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Cocconeis",0.21607722,976,2.125e-06,2596394.7685,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","CPOM",0.21607722,976,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Cymbella",0.21607722,976,1.98e-07,239085.6024,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Epithemia",0.21607722,976,8.995e-07,12742078.1995,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Eukiefferiella minor",0.21607722,976,0.041873497,28,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Eunotia",0.21607722,976,1.82e-07,485747.0086,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Filamentous algae",0.21607722,976,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","FPOM",0.21607722,976,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Fragilaria",0.21607722,976,2.275e-07,1359560.03093333,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Frustulia",0.21607722,976,8.08e-06,591736.715,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Gomphonema",0.21607722,976,1.17533333333333e-07,1215745.2265,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Green algae",0.21607722,976,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Macrophytes",0.21607722,976,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Melosira",0.21607722,976,2.85e-06,1072433.188,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Meridion",0.21607722,976,3.63e-07,2396578.318,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Micropsectra atrofasciata",0.21607722,976,0.028482694,232,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Navicula",0.21607722,976,1.269e-07,1676475.39971667,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Nitzschia",0.21607722,976,2.65025e-07,11675508.776175,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Orthocladius sp.",0.21607722,976,0.050146897,476,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium aureum","Pinnularia",0.21607722,976,1.8975e-06,183102.10365,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Rhoicosphenia",0.21607722,976,4.63e-08,2865575.206,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Rhopalodia",0.21607722,976,1.16e-06,6243602.501,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Synedra",0.21607722,976,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Tetracyclus",0.21607722,976,6.62e-07,119542.8012,"literature","species"
"Hengill","August 2008",1,22.7,"Simulium aureum","Thienemanniella sp.",0.21607722,976,0.013329585,4,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Achnanthes",0.179134976,888,2.34333333333333e-07,9259091.0571,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Amphora",0.179134976,888,4.3175e-07,298857.003,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Cocconeis",0.179134976,888,2.125e-06,2596394.7685,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","CPOM",0.179134976,888,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Cymbella",0.179134976,888,1.98e-07,239085.6024,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Epithemia",0.179134976,888,8.995e-07,12742078.1995,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Eukiefferiella minor",0.179134976,888,0.041873497,28,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Eunotia",0.179134976,888,1.82e-07,485747.0086,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Filamentous algae",0.179134976,888,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","FPOM",0.179134976,888,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Fragilaria",0.179134976,888,2.275e-07,1359560.03093333,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Frustulia",0.179134976,888,8.08e-06,591736.715,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Gomphonema",0.179134976,888,1.17533333333333e-07,1215745.2265,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Green algae",0.179134976,888,NA,NA,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Macrophytes",0.179134976,888,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Melosira",0.179134976,888,2.85e-06,1072433.188,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Meridion",0.179134976,888,3.63e-07,2396578.318,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Micropsectra atrofasciata",0.179134976,888,0.028482694,232,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Navicula",0.179134976,888,1.269e-07,1676475.39971667,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Nitzschia",0.179134976,888,2.65025e-07,11675508.776175,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Orthocladius sp.",0.179134976,888,0.050146897,476,"regional","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Pinnularia",0.179134976,888,1.8975e-06,183102.10365,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Rhoicosphenia",0.179134976,888,4.63e-08,2865575.206,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Rhopalodia",0.179134976,888,1.16e-06,6243602.501,"stream","group"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Synedra",0.179134976,888,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Tetracyclus",0.179134976,888,6.62e-07,119542.8012,"literature","species"
"Hengill","August 2008",1,22.7,"Simulium vittatum","Thienemanniella sp.",0.179134976,888,0.013329585,4,"regional","group"
"Hengill","August 2008",1,22.7,"Sperchon glandulosus","Achnanthes",0.135184721,96,2.34333333333333e-07,9259091.0571,"regional","species"
"Hengill","August 2008",1,22.7,"Sperchon glandulosus","Cocconeis",0.135184721,96,2.125e-06,2596394.7685,"regional","species"
"Hengill","August 2008",1,22.7,"Sperchon glandulosus","FPOM",0.135184721,96,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Sperchon glandulosus","Green algae",0.135184721,96,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Sperchon glandulosus","Meridion",0.135184721,96,3.63e-07,2396578.318,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Achnanthes",0.013329585,4,2.34333333333333e-07,9259091.0571,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Amphora",0.013329585,4,4.3175e-07,298857.003,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Cocconeis",0.013329585,4,2.125e-06,2596394.7685,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","CPOM",0.013329585,4,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Cymbella",0.013329585,4,1.98e-07,239085.6024,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Epithemia",0.013329585,4,8.995e-07,12742078.1995,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Filamentous algae",0.013329585,4,NA,NA,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","FPOM",0.013329585,4,NA,NA,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Fragilaria",0.013329585,4,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Frustulia",0.013329585,4,8.08e-06,591736.715,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Gomphonema",0.013329585,4,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Melosira",0.013329585,4,2.85e-06,1072433.188,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Meridion",0.013329585,4,3.63e-07,2396578.318,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Navicula",0.013329585,4,1.269e-07,1676475.39971667,"stream","group"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Nitzschia",0.013329585,4,2.65025e-07,11675508.776175,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Rhoicosphenia",0.013329585,4,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Rhopalodia",0.013329585,4,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Thienemanniella sp.","Synedra",0.013329585,4,7.12e-06,5340110.285,"stream","group"
"Hengill","August 2008",3,23.7,"Chaetocladius sp.","Achnanthes",0.01673896,104,5.08e-07,20053517.1745667,"regional","group"
