IS,temp,interaction_type,count,total_edges_with_mass,prop,total_edges_all,mass_coverage
10,9.7,0-2,0,,,,
11,9.7,0-2,0,,,,
12,9.7,0-2,0,,,,
13,9.7,0-2,0,,,,
14,9.7,0-2,23,246.0,0.09349593495934959,289.0,0.8512110726643599
16,9.7,0-2,0,,,,
1,9.7,2-4,0,,,,
3,9.7,2-4,0,,,,
4,9.7,2-4,0,,,,
5,9.7,2-4,0,,,,
6,9.7,2-4,0,,,,
7,9.7,2-4,0,,,,
8,9.7,2-4,0,,,,
9,9.7,2-4,0,,,,
10,9.7,2-4,0,,,,
11,9.7,2-4,0,,,,
12,9.7,2-4,0,,,,
13,9.7,2-4,0,,,,
14,9.7,2-4,39,246.0,0.15853658536585366,289.0,0.8512110726643599
16,9.7,2-4,0,,,,
1,9.7,4-6,0,,,,
3,9.7,4-6,0,,,,
4,9.7,4-6,0,,,,
5,9.7,4-6,0,,,,
6,9.7,4-6,0,,,,
7,9.7,4-6,0,,,,
8,9.7,4-6,0,,,,
9,9.7,4-6,0,,,,
10,9.7,4-6,0,,,,
11,9.7,4-6,0,,,,
12,9.7,4-6,0,,,,
13,9.7,4-6,0,,,,
14,9.7,4-6,152,246.0,0.6178861788617886,289.0,0.8512110726643599
16,9.7,4-6,0,,,,
1,9.7,>6,0,,,,
3,9.7,>6,0,,,,
4,9.7,>6,0,,,,
5,9.7,>6,0,,,,
6,9.7,>6,0,,,,
7,9.7,>6,0,,,,
8,9.7,>6,0,,,,
9,9.7,>6,0,,,,
10,9.7,>6,0,,,,
11,9.7,>6,0,,,,
12,9.7,>6,0,,,,
13,9.7,>6,0,,,,
14,9.7,>6,12,246.0,0.04878048780487805,289.0,0.8512110726643599
16,9.7,>6,0,,,,
1,12.7,pred_smaller,0,,,,
3,12.7,pred_smaller,0,,,,
4,12.7,pred_smaller,7,277.0,0.02527075812274368,319.0,0.8683385579937304
5,12.7,pred_smaller,0,,,,
6,12.7,pred_smaller,0,,,,
7,12.7,pred_smaller,0,,,,
8,12.7,pred_smaller,0,,,,
9,12.7,pred_smaller,0,,,,
10,12.7,pred_smaller,0,,,,
11,12.7,pred_smaller,0,,,,
12,12.7,pred_smaller,0,,,,
13,12.7,pred_smaller,0,,,,
14,12.7,pred_smaller,0,,,,
16,12.7,pred_smaller,0,,,,
1,12.7,0-2,0,,,,
3,12.7,0-2,0,,,,
4,12.7,0-2,32,277.0,0.11552346570397112,319.0,0.8683385579937304
5,12.7,0-2,0,,,,
6,12.7,0-2,0,,,,
7,12.7,0-2,0,,,,
8,12.7,0-2,0,,,,
9,12.7,0-2,0,,,,
10,12.7,0-2,0,,,,
11,12.7,0-2,0,,,,
12,12.7,0-2,0,,,,
13,12.7,0-2,0,,,,
14,12.7,0-2,0,,,,
16,12.7,0-2,0,,,,
1,12.7,2-4,0,,,,
3,12.7,2-4,0,,,,
4,12.7,2-4,21,277.0,0.07581227436823104,319.0,0.8683385579937304
5,12.7,2-4,0,,,,
6,12.7,2-4,0,,,,
7,12.7,2-4,0,,,,
8,12.7,2-4,0,,,,
9,12.7,2-4,0,,,,
10,12.7,2-4,0,,,,
11,12.7,2-4,0,,,,
12,12.7,2-4,0,,,,
13,12.7,2-4,0,,,,
14,12.7,2-4,0,,,,
16,12.7,2-4,0,,,,
1,12.7,4-6,0,,,,
3,12.7,4-6,0,,,,
4,12.7,4-6,176,277.0,0.6353790613718412,319.0,0.8683385579937304
5,12.7,4-6,0,,,,
6,12.7,4-6,0,,,,
7,12.7,4-6,0,,,,
8,12.7,4-6,0,,,,
9,12.7,4-6,0,,,,
10,12.7,4-6,0,,,,
11,12.7,4-6,0,,,,
12,12.7,4-6,0,,,,
13,12.7,4-6,0,,,,
14,12.7,4-6,0,,,,
16,12.7,4-6,0,,,,
1,12.7,>6,0,,,,
3,12.7,>6,0,,,,
4,12.7,>6,41,277.0,0.148014440433213,319.0,0.8683385579937304
5,12.7,>6,0,,,,
6,12.7,>6,0,,,,
7,12.7,>6,0,,,,
8,12.7,>6,0,,,,
9,12.7,>6,0,,,,
10,12.7,>6,0,,,,
11,12.7,>6,0,,,,
12,12.7,>6,0,,,,
13,12.7,>6,0,,,,
14,12.7,>6,0,,,,
16,12.7,>6,0,,,,
1,12.8,pred_smaller,0,,,,
3,12.8,pred_smaller,0,,,,
4,12.8,pred_smaller,0,,,,
5,12.8,pred_smaller,0,,,,
6,12.8,pred_smaller,0,,,,
7,12.8,pred_smaller,0,,,,
8,12.8,pred_smaller,0,,,,
9,12.8,pred_smaller,0,,,,
10,12.8,pred_smaller,0,,,,
11,12.8,pred_smaller,3,227.0,0.013215859030837005,280.0,0.8107142857142857
12,12.8,pred_smaller,0,,,,
13,12.8,pred_smaller,0,,,,
14,12.8,pred_smaller,0,,,,
16,12.8,pred_smaller,0,,,,
1,12.8,0-2,0,,,,
3,12.8,0-2,0,,,,
4,12.8,0-2,0,,,,
5,12.8,0-2,0,,,,
6,12.8,0-2,0,,,,
7,12.8,0-2,0,,,,
8,12.8,0-2,0,,,,
9,12.8,0-2,0,,,,
10,12.8,0-2,0,,,,
11,12.8,0-2,32,227.0,0.14096916299559473,280.0,0.8107142857142857
12,12.8,0-2,0,,,,
13,12.8,0-2,0,,,,
14,12.8,0-2,0,,,,
16,12.8,0-2,0,,,,
1,12.8,2-4,0,,,,
3,12.8,2-4,0,,,,
4,12.8,2-4,0,,,,
5,12.8,2-4,0,,,,
6,12.8,2-4,0,,,,
7,12.8,2-4,0,,,,
8,12.8,2-4,0,,,,
9,12.8,2-4,0,,,,
10,12.8,2-4,0,,,,
11,12.8,2-4,25,227.0,0.11013215859030837,280.0,0.8107142857142857
12,12.8,2-4,0,,,,
13,12.8,2-4,0,,,,
14,12.8,2-4,0,,,,
16,12.8,2-4,0,,,,
1,12.8,4-6,0,,,,
3,12.8,4-6,0,,,,
4,12.8,4-6,0,,,,
5,12.8,4-6,0,,,,
6,12.8,4-6,0,,,,
7,12.8,4-6,0,,,,
8,12.8,4-6,0,,,,
9,12.8,4-6,0,,,,
10,12.8,4-6,0,,,,
11,12.8,4-6,138,227.0,0.6079295154185022,280.0,0.8107142857142857
12,12.8,4-6,0,,,,
13,12.8,4-6,0,,,,
14,12.8,4-6,0,,,,
16,12.8,4-6,0,,,,
1,12.8,>6,0,,,,
3,12.8,>6,0,,,,
4,12.8,>6,0,,,,
5,12.8,>6,0,,,,
6,12.8,>6,0,,,,
7,12.8,>6,0,,,,
8,12.8,>6,0,,,,
9,12.8,>6,0,,,,
10,12.8,>6,0,,,,
11,12.8,>6,29,227.0,0.1277533039647577,280.0,0.8107142857142857
12,12.8,>6,0,,,,
13,12.8,>6,0,,,,
14,12.8,>6,0,,,,
16,12.8,>6,0,,,,
1,14.5,pred_smaller,0,,,,
3,14.5,pred_smaller,0,,,,
4,14.5,pred_smaller,0,,,,
5,14.5,pred_smaller,0,,,,
6,14.5,pred_smaller,0,,,,
7,14.5,pred_smaller,0,,,,
8,14.5,pred_smaller,0,,,,
9,14.5,pred_smaller,0,,,,
10,14.5,pred_smaller,0,,,,
11,14.5,pred_smaller,0,,,,
12,14.5,pred_smaller,0,,,,
13,14.5,pred_smaller,0,,,,
14,14.5,pred_smaller,0,,,,
16,14.5,pred_smaller,10,288.0,0.034722222222222224,334.0,0.8622754491017964
1,14.5,0-2,0,,,,
3,14.5,0-2,0,,,,
4,14.5,0-2,0,,,,
5,14.5,0-2,0,,,,
6,14.5,0-2,0,,,,
7,14.5,0-2,0,,,,
8,14.5,0-2,0,,,,
9,14.5,0-2,0,,,,
10,14.5,0-2,0,,,,
11,14.5,0-2,0,,,,
12,14.5,0-2,0,,,,
13,14.5,0-2,0,,,,
14,14.5,0-2,0,,,,
16,14.5,0-2,33,288.0,0.11458333333333333,334.0,0.8622754491017964
1,14.5,2-4,0,,,,
3,14.5,2-4,0,,,,
4,14.5,2-4,0,,,,
5,14.5,2-4,0,,,,
6,14.5,2-4,0,,,,
7,14.5,2-4,0,,,,
8,14.5,2-4,0,,,,
9,14.5,2-4,0,,,,
10,14.5,2-4,0,,,,
11,14.5,2-4,0,,,,
12,14.5,2-4,0,,,,
13,14.5,2-4,0,,,,
14,14.5,2-4,0,,,,
16,14.5,2-4,34,288.0,0.11805555555555555,334.0,0.8622754491017964
1,14.5,4-6,0,,,,
3,14.5,4-6,0,,,,
4,14.5,4-6,0,,,,
5,14.5,4-6,0,,,,
6,14.5,4-6,0,,,,
7,14.5,4-6,0,,,,
8,14.5,4-6,0,,,,
9,14.5,4-6,0,,,,
10,14.5,4-6,0,,,,
11,14.5,4-6,0,,,,
12,14.5,4-6,0,,,,
13,14.5,4-6,0,,,,
14,14.5,4-6,0,,,,
16,14.5,4-6,163,288.0,0.5659722222222222,334.0,0.8622754491017964
1,14.5,>6,0,,,,
3,14.5,>6,0,,,,
4,14.5,>6,0,,,,
5,14.5,>6,0,,,,
6,14.5,>6,0,,,,
7,14.5,>6,0,,,,
8,14.5,>6,0,,,,
9,14.5,>6,0,,,,
10,14.5,>6,0,,,,
11,14.5,>6,0,,,,
12,14.5,>6,0,,,,
13,14.5,>6,0,,,,
14,14.5,>6,0,,,,
16,14.5,>6,48,288.0,0.16666666666666666,334.0,0.8622754491017964
1,15.5,pred_smaller,0,,,,
3,15.5,pred_smaller,0,,,,
4,15.5,pred_smaller,0,,,,
5,15.5,pred_smaller,0,,,,
6,15.5,pred_smaller,0,,,,
7,15.5,pred_smaller,0,,,,
8,15.5,pred_smaller,0,,,,
9,15.5,pred_smaller,0,,,,
10,15.5,pred_smaller,0,,,,
11,15.5,pred_smaller,0,,,,
12,15.5,pred_smaller,3,242.0,0.012396694214876033,292.0,0.8287671232876712
13,15.5,pred_smaller,0,,,,
14,15.5,pred_smaller,0,,,,
16,15.5,pred_smaller,0,,,,
1,15.5,0-2,0,,,,
3,15.5,0-2,0,,,,
4,15.5,0-2,0,,,,
5,15.5,0-2,0,,,,
6,15.5,0-2,0,,,,
7,15.5,0-2,0,,,,
8,15.5,0-2,0,,,,
9,15.5,0-2,0,,,,
10,15.5,0-2,0,,,,
11,15.5,0-2,0,,,,
12,15.5,0-2,18,242.0,0.0743801652892562,292.0,0.8287671232876712
13,15.5,0-2,0,,,,
14,15.5,0-2,0,,,,
16,15.5,0-2,0,,,,
1,15.5,2-4,0,,,,
3,15.5,2-4,0,,,,
4,15.5,2-4,0,,,,
5,15.5,2-4,0,,,,
6,15.5,2-4,0,,,,
7,15.5,2-4,0,,,,
8,15.5,2-4,0,,,,
9,15.5,2-4,0,,,,
10,15.5,2-4,0,,,,
11,15.5,2-4,0,,,,
12,15.5,2-4,32,242.0,0.1322314049586777,292.0,0.8287671232876712
13,15.5,2-4,0,,,,
14,15.5,2-4,0,,,,
16,15.5,2-4,0,,,,
1,15.5,4-6,0,,,,
3,15.5,4-6,0,,,,
4,15.5,4-6,0,,,,
5,15.5,4-6,0,,,,
6,15.5,4-6,0,,,,
7,15.5,4-6,0,,,,
8,15.5,4-6,0,,,,
9,15.5,4-6,0,,,,
10,15.5,4-6,0,,,,
11,15.5,4-6,0,,,,
12,15.5,4-6,157,242.0,0.6487603305785123,292.0,0.8287671232876712
13,15.5,4-6,0,,,,
14,15.5,4-6,0,,,,
16,15.5,4-6,0,,,,
1,15.5,>6,0,,,,
3,15.5,>6,0,,,,
4,15.5,>6,0,,,,
5,15.5,>6,0,,,,
6,15.5,>6,0,,,,
7,15.5,>6,0,,,,
8,15.5,>6,0,,,,
9,15.5,>6,0,,,,
10,15.5,>6,0,,,,
11,15.5,>6,0,,,,
12,15.5,>6,32,242.0,0.1322314049586777,292.0,0.8287671232876712
13,15.5,>6,0,,,,
14,15.5,>6,0,,,,
16,15.5,>6,0,,,,
1,18.1,pred_smaller,0,,,,
3,18.1,pred_smaller,0,,,,
4,18.1,pred_smaller,0,,,,
5,18.1,pred_smaller,0,,,,
6,18.1,pred_smaller,0,,,,
7,18.1,pred_smaller,0,,,,
8,18.1,pred_smaller,0,,,,
9,18.1,pred_smaller,4,240.0,0.016666666666666666,293.0,0.8191126279863481
10,18.1,pred_smaller,0,,,,
11,18.1,pred_smaller,0,,,,
12,18.1,pred_smaller,0,,,,
13,18.1,pred_smaller,0,,,,
14,18.1,pred_smaller,0,,,,
16,18.1,pred_smaller,0,,,,
1,18.1,0-2,0,,,,
3,18.1,0-2,0,,,,
4,18.1,0-2,0,,,,
5,18.1,0-2,0,,,,
6,18.1,0-2,0,,,,
7,18.1,0-2,0,,,,
8,18.1,0-2,0,,,,
9,18.1,0-2,32,240.0,0.13333333333333333,293.0,0.8191126279863481
10,18.1,0-2,0,,,,
11,18.1,0-2,0,,,,
12,18.1,0-2,0,,,,
13,18.1,0-2,0,,,,
14,18.1,0-2,0,,,,
16,18.1,0-2,0,,,,
1,18.1,2-4,0,,,,
3,18.1,2-4,0,,,,
4,18.1,2-4,0,,,,
5,18.1,2-4,0,,,,
6,18.1,2-4,0,,,,
7,18.1,2-4,0,,,,
8,18.1,2-4,0,,,,
9,18.1,2-4,27,240.0,0.1125,293.0,0.8191126279863481
10,18.1,2-4,0,,,,
11,18.1,2-4,0,,,,
12,18.1,2-4,0,,,,
13,18.1,2-4,0,,,,
14,18.1,2-4,0,,,,
16,18.1,2-4,0,,,,
1,18.1,4-6,0,,,,
3,18.1,4-6,0,,,,
4,18.1,4-6,0,,,,
5,18.1,4-6,0,,,,
6,18.1,4-6,0,,,,
7,18.1,4-6,0,,,,
8,18.1,4-6,0,,,,
9,18.1,4-6,146,240.0,0.6083333333333333,293.0,0.8191126279863481
10,18.1,4-6,0,,,,
11,18.1,4-6,0,,,,
12,18.1,4-6,0,,,,
13,18.1,4-6,0,,,,
14,18.1,4-6,0,,,,
16,18.1,4-6,0,,,,
1,18.1,>6,0,,,,
3,18.1,>6,0,,,,
4,18.1,>6,0,,,,
5,18.1,>6,0,,,,
6,18.1,>6,0,,,,
7,18.1,>6,0,,,,
8,18.1,>6,0,,,,
9,18.1,>6,31,240.0,0.12916666666666668,293.0,0.8191126279863481
10,18.1,>6,0,,,,
11,18.1,>6,0,,,,
12,18.1,>6,0,,,,
13,18.1,>6,0,,,,
14,18.1,>6,0,,,,
16,18.1,>6,0,,,,
1,21.0,pred_smaller,0,,,,
3,21.0,pred_smaller,0,,,,
4,21.0,pred_smaller,0,,,,
5,21.0,pred_smaller,0,,,,
6,21.0,pred_smaller,2,206.0,0.009708737864077669,249.0,0.8273092369477911
7,21.0,pred_smaller,0,,,,
8,21.0,pred_smaller,0,,,,
9,21.0,pred_smaller,0,,,,
10,21.0,pred_smaller,0,,,,
11,21.0,pred_smaller,0,,,,
12,21.0,pred_smaller,0,,,,
13,21.0,pred_smaller,0,,,,
14,21.0,pred_smaller,0,,,,
16,21.0,pred_smaller,0,,,,
1,21.0,0-2,0,,,,
3,21.0,0-2,0,,,,
4,21.0,0-2,0,,,,
5,21.0,0-2,0,,,,
6,21.0,0-2,27,206.0,0.13106796116504854,249.0,0.8273092369477911
7,21.0,0-2,0,,,,
8,21.0,0-2,0,,,,
9,21.0,0-2,0,,,,
10,21.0,0-2,0,,,,
11,21.0,0-2,0,,,,
12,21.0,0-2,0,,,,
13,21.0,0-2,0,,,,
14,21.0,0-2,0,,,,
16,21.0,0-2,0,,,,
1,21.0,2-4,0,,,,
3,21.0,2-4,0,,,,
4,21.0,2-4,0,,,,
5,21.0,2-4,0,,,,
6,21.0,2-4,13,206.0,0.06310679611650485,249.0,0.8273092369477911
7,21.0,2-4,0,,,,
8,21.0,2-4,0,,,,
9,21.0,2-4,0,,,,
10,21.0,2-4,0,,,,
11,21.0,2-4,0,,,,
12,21.0,2-4,0,,,,
13,21.0,2-4,0,,,,
14,21.0,2-4,0,,,,
16,21.0,2-4,0,,,,
1,21.0,4-6,0,,,,
3,21.0,4-6,0,,,,
4,21.0,4-6,0,,,,
5,21.0,4-6,0,,,,
6,21.0,4-6,110,206.0,0.5339805825242718,249.0,0.8273092369477911
7,21.0,4-6,0,,,,
8,21.0,4-6,0,,,,
9,21.0,4-6,0,,,,
10,21.0,4-6,0,,,,
11,21.0,4-6,0,,,,
12,21.0,4-6,0,,,,
13,21.0,4-6,0,,,,
14,21.0,4-6,0,,,,
16,21.0,4-6,0,,,,
1,21.0,>6,0,,,,
3,21.0,>6,0,,,,
4,21.0,>6,0,,,,
5,21.0,>6,0,,,,
6,21.0,>6,54,206.0,0.2621359223300971,249.0,0.8273092369477911
7,21.0,>6,0,,,,
8,21.0,>6,0,,,,
9,21.0,>6,0,,,,
10,21.0,>6,0,,,,
11,21.0,>6,0,,,,
12,21.0,>6,0,,,,
13,21.0,>6,0,,,,
14,21.0,>6,0,,,,
16,21.0,>6,0,,,,
1,21.3,pred_smaller,0,,,,
3,21.3,pred_smaller,0,,,,
4,21.3,pred_smaller,0,,,,
5,21.3,pred_smaller,1,242.0,0.004132231404958678,281.0,0.8612099644128114
6,21.3,pred_smaller,0,,,,
7,21.3,pred_smaller,0,,,,
8,21.3,pred_smaller,0,,,,
9,21.3,pred_smaller,0,,,,
10,21.3,pred_smaller,0,,,,
11,21.3,pred_smaller,0,,,,
12,21.3,pred_smaller,0,,,,
13,21.3,pred_smaller,0,,,,
14,21.3,pred_smaller,0,,,,
16,21.3,pred_smaller,0,,,,
1,21.3,0-2,0,,,,
3,21.3,0-2,0,,,,
4,21.3,0-2,0,,,,
5,21.3,0-2,24,242.0,0.09917355371900827,281.0,0.8612099644128114
6,21.3,0-2,0,,,,
7,21.3,0-2,0,,,,
8,21.3,0-2,0,,,,
9,21.3,0-2,0,,,,
10,21.3,0-2,0,,,,
11,21.3,0-2,0,,,,
12,21.3,0-2,0,,,,
13,21.3,0-2,0,,,,
14,21.3,0-2,0,,,,
16,21.3,0-2,0,,,,
1,21.3,2-4,0,,,,
3,21.3,2-4,0,,,,
4,21.3,2-4,0,,,,
5,21.3,2-4,38,242.0,0.15702479338842976,281.0,0.8612099644128114
6,21.3,2-4,0,,,,
7,21.3,2-4,0,,,,
8,21.3,2-4,0,,,,
9,21.3,2-4,0,,,,
10,21.3,2-4,0,,,,
11,21.3,2-4,0,,,,
12,21.3,2-4,0,,,,
13,21.3,2-4,0,,,,
14,21.3,2-4,0,,,,
16,21.3,2-4,0,,,,
1,21.3,4-6,0,,,,
3,21.3,4-6,0,,,,
4,21.3,4-6,0,,,,
5,21.3,4-6,151,242.0,0.6239669421487604,281.0,0.8612099644128114
6,21.3,4-6,0,,,,
7,21.3,4-6,0,,,,
8,21.3,4-6,0,,,,
9,21.3,4-6,0,,,,
10,21.3,4-6,0,,,,
11,21.3,4-6,0,,,,
12,21.3,4-6,0,,,,
13,21.3,4-6,0,,,,
14,21.3,4-6,0,,,,
16,21.3,4-6,0,,,,
1,21.3,>6,0,,,,
3,21.3,>6,0,,,,
4,21.3,>6,0,,,,
5,21.3,>6,28,242.0,0.11570247933884298,281.0,0.8612099644128114
6,21.3,>6,0,,,,
7,21.3,>6,0,,,,
8,21.3,>6,0,,,,
9,21.3,>6,0,,,,
10,21.3,>6,0,,,,
11,21.3,>6,0,,,,
12,21.3,>6,0,,,,
13,21.3,>6,0,,,,
14,21.3,>6,0,,,,
16,21.3,>6,0,,,,
1,22.7,pred_smaller,2,187.0,0.0106951871657754,223.0,0.8385650224215246
3,22.7,pred_smaller,0,,,,
4,22.7,pred_smaller,0,,,,
5,22.7,pred_smaller,0,,,,
