Foodweb,EcosystemType,Nodes,Edges,Connectance,negative_sampling_mode,negative_needed,role_constrained_pool,full_valid_nonlink_pool,has_sufficient_role_constrained_pool,requires_random_topup,random_topup_needed_if_full_sample,a,eval_all,role_filter,constrained_neg_first_draw,random_topup_first_draw,k_train_first_draw,k_test_first_draw,constraints_manuscript_role_pairs,constraints_internal_role_pairs
RMP4_tax_mass,marine,16,45,0.1875,hybrid,78,45,201,false,true,33,2,0,1,45,33,6,72,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2I1_tax_mass,marine,16,34,0.141666667,role,62,155,209,true,false,0,2,0,1,62,0,6,56,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Bylot_tax_mass,terrestrial aboveground,16,32,0.133333333,role,64,135,208,true,false,0,2,0,1,64,0,6,58,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Alert_tax_mass,terrestrial aboveground,16,36,0.15,role,72,115,204,true,false,0,2,0,1,72,0,6,66,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2M4_tax_mass,marine,17,49,0.180147059,role,84,112,230,true,false,0,2,0,1,84,0,8,76,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Zackenberg_tax_mass,terrestrial aboveground,17,37,0.136029412,role,74,136,235,true,false,0,2,0,1,74,0,6,68,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
RMP3_tax_mass,marine,17,40,0.147058824,role,68,74,238,true,false,0,2,0,1,68,0,6,62,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC1P4_tax_mass,marine,17,82,0.301470588,hybrid,150,128,197,false,true,22,2,0,1,128,22,14,136,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGSBP1_tax_mass,marine,17,44,0.161764706,role,80,88,232,true,false,0,2,0,1,80,0,8,72,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC2P4_tax_mass,marine,17,68,0.25,role,124,130,210,true,false,0,2,0,1,124,0,12,112,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGUBP1_tax_mass,marine,18,48,0.156862745,role,92,169,260,true,false,0,2,0,1,92,0,8,84,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
CGP2_tax_mass,marine,18,34,0.111111111,role,60,124,276,true,false,0,2,0,1,60,0,6,54,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC2P3_tax_mass,marine,18,61,0.199346405,role,108,109,252,true,false,0,2,0,1,108,0,10,98,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
CGP1_tax_mass,marine,18,27,0.088235294,role,48,199,282,true,false,0,2,0,1,48,0,4,44,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
BP2_tax_mass,marine,18,36,0.117647059,role,66,201,273,true,false,0,2,0,1,66,0,6,60,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
AP3_tax_mass,marine,18,52,0.169934641,hybrid,98,79,257,false,true,19,2,0,1,79,19,8,90,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGUBP4_tax_mass,marine,18,54,0.176470588,role,102,179,255,true,false,0,2,0,1,102,0,10,92,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
AP2_tax_mass,marine,18,40,0.130718954,role,74,135,269,true,false,0,2,0,1,74,0,6,68,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2M1_tax_mass,marine,18,47,0.153594771,role,88,199,262,true,false,0,2,0,1,88,0,8,80,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP1I4_tax_mass,marine,18,60,0.196078431,role,116,212,248,true,false,0,2,0,1,116,0,10,106,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2M4_tax_mass,marine,18,49,0.160130719,role,90,149,261,true,false,0,2,0,1,90,0,8,82,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Deep lake_tax_mass,lakes,19,28,0.081871345,role,54,216,315,true,false,0,2,0,1,54,0,4,50,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2M2_tax_mass,marine,19,58,0.169590643,role,106,194,289,true,false,0,2,0,1,106,0,10,96,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC2P1_tax_mass,marine,19,77,0.225146199,role,146,171,269,true,false,0,2,0,1,146,0,14,132,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
MBP2_tax_mass,marine,19,92,0.269005848,hybrid,166,103,259,false,true,63,2,0,1,103,63,16,150,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2M3_tax_mass,marine,19,58,0.169590643,role,104,181,290,true,false,0,2,0,1,104,0,10,94,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2I2_tax_mass,marine,19,51,0.149122807,role,96,225,294,true,false,0,2,0,1,96,0,8,88,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1I2_tax_mass,marine,20,58,0.152631579,role,110,241,325,true,false,0,2,0,1,110,0,10,100,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2M3_tax_mass,marine,20,55,0.144736842,role,94,166,333,true,false,0,2,0,1,94,0,8,86,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGUBP2_tax_mass,marine,20,51,0.134210526,role,96,218,332,true,false,0,2,0,1,96,0,8,88,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
RMP2_tax_mass,marine,20,67,0.176315789,role,120,153,320,true,false,0,2,0,1,120,0,12,108,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Dargall Lane_tax_mass,streams,20,72,0.189473684,role,132,171,314,true,false,0,2,0,1,132,0,12,120,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2I4_tax_mass,marine,20,64,0.168421053,role,120,244,320,true,false,0,2,0,1,120,0,12,108,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
RMP5_tax_mass,marine,21,97,0.230952381,role,180,202,330,true,false,0,2,0,1,180,0,18,162,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGUBP3_tax_mass,marine,21,68,0.161904762,role,130,220,355,true,false,0,2,0,1,130,0,12,118,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Mosendale Beck_tax_mass,streams,21,85,0.202380952,role,160,229,340,true,false,0,2,0,1,160,0,16,144,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Old Lodge_tax_mass,streams,21,87,0.207142857,role,164,240,338,true,false,0,2,0,1,164,0,16,148,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC1P2_tax_mass,marine,21,115,0.273809524,hybrid,212,120,314,false,true,92,2,0,1,120,92,20,192,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1I4_tax_mass,marine,21,80,0.19047619,role,146,208,347,true,false,0,2,0,1,146,0,14,132,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2I2_tax_mass,marine,21,69,0.164285714,role,134,280,353,true,false,0,2,0,1,134,0,12,122,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2I1_tax_mass,marine,21,86,0.204761905,role,160,235,340,true,false,0,2,0,1,160,0,16,144,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Emerald lake_tax_mass,lakes,22,58,0.125541126,role,108,231,408,true,false,0,2,0,1,108,0,10,98,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
FP1_tax_mass,marine,22,60,0.12987013,role,114,216,405,true,false,0,2,0,1,114,0,10,104,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Yamal_tax_mass,terrestrial aboveground,22,64,0.138528139,role,128,246,398,true,false,0,2,0,1,128,0,12,116,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Federation lake_tax_mass,lakes,22,57,0.123376623,role,110,168,407,true,false,0,2,0,1,110,0,10,100,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
BP3_tax_mass,marine,22,49,0.106060606,role,92,287,416,true,false,0,2,0,1,92,0,8,84,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Afon Hafren 2005_tax_mass,streams,22,109,0.235930736,role,206,210,359,true,false,0,2,0,1,206,0,20,186,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Rock Lake_tax_mass,lakes,22,43,0.093073593,role,84,213,420,true,false,0,2,0,1,84,0,8,76,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
South Lake_tax_mass,lakes,22,36,0.077922078,role,72,345,426,true,false,0,2,0,1,72,0,6,66,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC1P1_tax_mass,marine,22,96,0.207792208,role,176,207,374,true,false,0,2,0,1,176,0,16,160,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Herschel_tax_mass,terrestrial aboveground,23,55,0.108695652,role,110,276,451,true,false,0,2,0,1,110,0,10,100,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
GJAP3_tax_mass,marine,23,87,0.171936759,role,168,292,422,true,false,0,2,0,1,168,0,16,152,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP2I3_tax_mass,marine,23,93,0.183794466,role,172,280,420,true,false,0,2,0,1,172,0,16,156,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
GJBP4_tax_mass,marine,23,94,0.185770751,role,176,286,418,true,false,0,2,0,1,176,0,16,160,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Broadstone Stream_tax_mass,streams,23,107,0.211462451,hybrid,198,176,407,false,true,22,2,0,1,176,22,18,180,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
L3P2_tax_mass,marine,23,105,0.207509881,role,200,264,406,true,false,0,2,0,1,200,0,20,180,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
High pond_tax_mass,lakes,24,87,0.157608696,hybrid,166,161,469,false,true,5,2,0,1,161,5,16,150,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Russian Lake_tax_mass,lakes,24,61,0.110507246,role,120,243,492,true,false,0,2,0,1,120,0,12,108,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Nenetsky_tax_mass,terrestrial aboveground,24,71,0.128623188,role,142,308,481,true,false,0,2,0,1,142,0,14,128,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
GJAP4_tax_mass,marine,25,86,0.143333333,role,160,324,520,true,false,0,2,0,1,160,0,16,144,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC1P3_tax_mass,marine,25,120,0.2,hybrid,222,202,489,false,true,20,2,0,1,202,20,22,200,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Twin Lake West_tax_mass,lakes,26,60,0.092307692,role,118,427,591,true,false,0,2,0,1,118,0,10,108,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
WP2_tax_mass,marine,26,128,0.196923077,hybrid,238,225,531,false,true,13,2,0,1,225,13,22,216,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Lake Malawi_tax_mass,lakes,27,142,0.202279202,hybrid,276,172,564,false,true,104,2,0,1,172,104,26,250,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Wolf Lake_tax_mass,lakes,27,42,0.05982906,role,82,520,661,true,false,0,2,0,1,82,0,8,74,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
WP4_tax_mass,marine,27,147,0.209401709,hybrid,274,148,565,false,true,126,2,0,1,148,126,26,248,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
L2P3_tax_mass,marine,27,108,0.153846154,role,206,216,599,true,false,0,2,0,1,206,0,20,186,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1I3_tax_mass,marine,27,107,0.152421652,role,202,406,601,true,false,0,2,0,1,202,0,20,182,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP1I1_tax_mass,marine,27,119,0.16951567,role,226,326,589,true,false,0,2,0,1,226,0,22,204,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
FXAP4_tax_mass,marine,27,139,0.198005698,role,264,352,570,true,false,0,2,0,1,264,0,26,238,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
MBP4_tax_mass,marine,27,162,0.230769231,hybrid,306,220,549,false,true,86,2,0,1,220,86,30,276,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
GJBP3_tax_mass,marine,27,177,0.252136752,hybrid,338,308,533,false,true,30,2,0,1,308,30,32,306,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
RMP1_tax_mass,marine,28,127,0.167989418,role,236,333,638,true,false,0,2,0,1,236,0,22,214,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
BP1_tax_mass,marine,28,91,0.12037037,role,178,423,667,true,false,0,2,0,1,178,0,16,162,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Sand Lake_tax_mass,lakes,29,82,0.100985222,role,158,420,733,true,false,0,2,0,1,158,0,14,144,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PGSBP2_tax_mass,marine,29,94,0.115763547,role,178,322,723,true,false,0,2,0,1,178,0,16,162,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
