Scenario,Version,FoodWeb,FW_KEY,Ecosystem,Metric,EmpiricalValue,MeanPseudoAfterFiltering,ValidRunsAfterFiltering,OutlierRunsRemoved,Difference,DifferenceDirection
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJBP1,gjbp1,marine,Connectance,0.235256410256,0.186788461538,100,0,-0.048467948718,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJBP2,gjbp2,marine,Connectance,0.224431818182,0.16375,100,0,-0.060681818182,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJBP3,gjbp3,marine,Connectance,0.240740740741,0.222682667127,99,1,-0.018058073614,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJBP4,gjbp4,marine,Connectance,0.173913043478,0.160434782608,100,0,-0.01347826087,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,Kongsfjorden,kongsfjorden,marine,Connectance,0.0231184512234,0.0181891302091,97,3,-0.004929321014,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L1P1,l1p1,marine,Connectance,0.128248587571,0.103485875706,100,0,-0.024762711865,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L1P2,l1p2,marine,Connectance,0.164343786295,0.147131242741,100,0,-0.017212543554,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L1P3,l1p3,marine,Connectance,0.167553191489,0.150152880301,98,2,-0.017400311188,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L1P4,l1p4,marine,Connectance,0.163319238901,0.12789640592,100,0,-0.035422832981,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L2P1,l2p1,marine,Connectance,0.142923219241,0.128150719551,97,3,-0.01477249969,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L2P2,l2p2,marine,Connectance,0.133998790079,0.112307924985,100,0,-0.021690865094,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L2P3,l2p3,marine,Connectance,0.146723646724,0.134895968229,99,1,-0.011827678495,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L2P4,l2p4,marine,Connectance,0.17004048583,0.151619433198,100,0,-0.018421052632,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L3P1,l3p1,marine,Connectance,0.197916666667,0.165958830732,99,1,-0.031957835935,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L3P2,l3p2,marine,Connectance,0.197628458498,0.188517786561,100,0,-0.009110671937,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L3P3,l3p3,marine,Connectance,0.157931516422,0.132470759305,99,1,-0.025460757117,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L3P4,l3p4,marine,Connectance,0.104897959184,0.0938198309627,99,1,-0.011078128221,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L4P1,l4p1,marine,Connectance,0.149436090226,0.12528163844,99,1,-0.024154451786,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,L4P2,l4p2,marine,Connectance,0.146103896104,0.119142857143,100,0,-0.026961038961,Pseudo < empirical
