Processing dataset: Dempsters Stream_tax_mass
Processing with K = 10
Experiment 1: Running WLNM...
[sample_neg] Final link counts:
    Train Positive: 772
    Train Negative: 1544
    Test  Positive: 193
    Test  Negative: 1246
Encoding 2316 subgraphs (K = 10)...
[WARN] Link (13,5) triggered large expansion: 38 nodes
[WARN] Link (25,110) triggered large expansion: 35 nodes
[WARN] Link (27,110) triggered large expansion: 38 nodes
[WARN] Link (29,110) triggered large expansion: 41 nodes
[WARN] Link (31,110) triggered large expansion: 47 nodes
[WARN] Link (35,110) triggered large expansion: 43 nodes
[WARN] Link (36,110) triggered large expansion: 47 nodes
[WARN] Link (37,110) triggered large expansion: 47 nodes
[WARN] Link (38,110) triggered large expansion: 33 nodes
[WARN] Link (41,110) triggered large expansion: 51 nodes
[WARN] Link (42,110) triggered large expansion: 45 nodes
[WARN] Link (46,110) triggered large expansion: 46 nodes
[WARN] Link (58,110) triggered large expansion: 44 nodes
[WARN] Link (59,110) triggered large expansion: 44 nodes
[WARN] Link (60,110) triggered large expansion: 38 nodes
[WARN] Link (62,110) triggered large expansion: 48 nodes
[WARN] Link (67,110) triggered large expansion: 45 nodes
[WARN] Link (68,110) triggered large expansion: 39 nodes
[WARN] Link (72,110) triggered large expansion: 32 nodes
[WARN] Link (78,110) triggered large expansion: 36 nodes
[WARN] Link (90,110) triggered large expansion: 51 nodes
[WARN] Link (97,110) triggered large expansion: 41 nodes
[WARN] Link (99,110) triggered large expansion: 47 nodes
[WARN] Link (100,110) triggered large expansion: 48 nodes
[WARN] Link (107,110) triggered large expansion: 56 nodes
[WARN] Link (44,2) triggered large expansion: 49 nodes
[WARN] Link (69,36) triggered large expansion: 31 nodes
[WARN] Link (98,65) triggered large expansion: 32 nodes
[WARN] Link (98,86) triggered large expansion: 32 nodes
[WARN] Link (93,98) triggered large expansion: 39 nodes
[WARN] Link (38,26) triggered large expansion: 48 nodes
[WARN] Link (43,4) triggered large expansion: 36 nodes
[WARN] Link (98,105) triggered large expansion: 32 nodes
[WARN] Link (44,35) triggered large expansion: 49 nodes
[WARN] Link (4,78) triggered large expansion: 53 nodes
[WARN] Link (107,2) triggered large expansion: 31 nodes
[WARN] Link (43,93) triggered large expansion: 37 nodes
[WARN] Link (38,35) triggered large expansion: 47 nodes
[WARN] Link (38,42) triggered large expansion: 47 nodes
[WARN] Link (107,44) triggered large expansion: 31 nodes
[WARN] Link (25,38) triggered large expansion: 53 nodes
[WARN] Link (93,1) triggered large expansion: 38 nodes
[WARN] Link (107,68) triggered large expansion: 31 nodes
[WARN] Link (17,16) triggered large expansion: 31 nodes
[WARN] Link (4,38) triggered large expansion: 54 nodes
[WARN] Link (25,46) triggered large expansion: 53 nodes
[WARN] Link (16,17) triggered large expansion: 53 nodes
[WARN] Link (38,4) triggered large expansion: 48 nodes
[WARN] Link (12,27) triggered large expansion: 43 nodes
[WARN] Link (44,86) triggered large expansion: 50 nodes
[WARN] Link (69,108) triggered large expansion: 32 nodes
[WARN] Link (25,2) triggered large expansion: 53 nodes
[WARN] Link (44,90) triggered large expansion: 49 nodes
[WARN] Link (12,43) triggered large expansion: 44 nodes
[WARN] Link (12,17) triggered large expansion: 44 nodes
[WARN] Link (12,105) triggered large expansion: 44 nodes
[WARN] Link (43,99) triggered large expansion: 36 nodes
[WARN] Link (38,91) triggered large expansion: 47 nodes
[WARN] Link (107,3) triggered large expansion: 31 nodes
Progress: 40% – Elapsed: 0.2s
Encoding link 924 of 2316: (42,16)
[WARN] Link (17,30) triggered large expansion: 32 nodes
[WARN] Link (98,18) triggered large expansion: 31 nodes
[WARN] Link (25,64) triggered large expansion: 53 nodes
[WARN] Link (43,27) triggered large expansion: 36 nodes
[WARN] Link (17,64) triggered large expansion: 32 nodes
[WARN] Link (38,108) triggered large expansion: 48 nodes
[WARN] Link (38,100) triggered large expansion: 47 nodes
[WARN] Link (25,30) triggered large expansion: 53 nodes
[WARN] Link (69,107) triggered large expansion: 31 nodes
[WARN] Link (25,99) triggered large expansion: 53 nodes
[WARN] Link (38,90) triggered large expansion: 47 nodes
[WARN] Link (98,17) triggered large expansion: 32 nodes
[WARN] Link (93,65) triggered large expansion: 39 nodes
[WARN] Link (107,45) triggered large expansion: 31 nodes
[WARN] Link (44,99) triggered large expansion: 49 nodes
[WARN] Link (38,2) triggered large expansion: 47 nodes
[WARN] Link (17,99) triggered large expansion: 31 nodes
[WARN] Link (93,60) triggered large expansion: 38 nodes
[WARN] Link (93,41) triggered large expansion: 38 nodes
[WARN] Link (38,27) triggered large expansion: 47 nodes
[WARN] Link (25,67) triggered large expansion: 53 nodes
[WARN] Link (4,81) triggered large expansion: 53 nodes
[WARN] Link (12,24) triggered large expansion: 43 nodes
[WARN] Link (16,28) triggered large expansion: 53 nodes
[WARN] Link (12,99) triggered large expansion: 43 nodes
[WARN] Link (69,100) triggered large expansion: 31 nodes
[WARN] Link (93,18) triggered large expansion: 38 nodes
[WARN] Link (69,37) triggered large expansion: 32 nodes
[WARN] Link (4,16) triggered large expansion: 53 nodes
[WARN] Link (93,17) triggered large expansion: 39 nodes
[WARN] Link (93,86) triggered large expansion: 39 nodes
[WARN] Link (44,62) triggered large expansion: 49 nodes
[WARN] Link (12,67) triggered large expansion: 43 nodes
[WARN] Link (69,68) triggered large expansion: 31 nodes
[WARN] Link (98,42) triggered large expansion: 31 nodes
[WARN] Link (69,44) triggered large expansion: 31 nodes
[WARN] Link (44,37) triggered large expansion: 49 nodes
[WARN] Link (4,65) triggered large expansion: 54 nodes
[WARN] Link (17,55) triggered large expansion: 32 nodes
[WARN] Link (107,90) triggered large expansion: 31 nodes
[WARN] Link (4,17) triggered large expansion: 53 nodes
[WARN] Link (16,31) triggered large expansion: 53 nodes
[WARN] Link (25,27) triggered large expansion: 53 nodes
Progress: 50% – Elapsed: 0.3s
Encoding link 1155 of 2316: (28,107)
[WARN] Link (43,42) triggered large expansion: 36 nodes
[WARN] Link (93,26) triggered large expansion: 39 nodes
[WARN] Link (98,25) triggered large expansion: 32 nodes
[WARN] Link (25,43) triggered large expansion: 54 nodes
[WARN] Link (69,97) triggered large expansion: 31 nodes
[WARN] Link (17,44) triggered large expansion: 31 nodes
[WARN] Link (16,91) triggered large expansion: 53 nodes
[WARN] Link (25,100) triggered large expansion: 53 nodes
[WARN] Link (93,63) triggered large expansion: 38 nodes
[WARN] Link (98,64) triggered large expansion: 31 nodes
[WARN] Link (25,31) triggered large expansion: 53 nodes
[WARN] Link (43,1) triggered large expansion: 36 nodes
[WARN] Link (25,36) triggered large expansion: 53 nodes
[WARN] Link (69,93) triggered large expansion: 32 nodes
[WARN] Link (4,108) triggered large expansion: 54 nodes
[WARN] Link (12,100) triggered large expansion: 43 nodes
[WARN] Link (93,69) triggered large expansion: 39 nodes
[WARN] Link (93,97) triggered large expansion: 39 nodes
[WARN] Link (12,69) triggered large expansion: 44 nodes
[WARN] Link (25,65) triggered large expansion: 54 nodes
[WARN] Link (69,65) triggered large expansion: 32 nodes
[WARN] Link (43,78) triggered large expansion: 36 nodes
[WARN] Link (98,26) triggered large expansion: 32 nodes
[WARN] Link (16,64) triggered large expansion: 53 nodes
[WARN] Link (17,32) triggered large expansion: 32 nodes
[WARN] Link (38,41) triggered large expansion: 47 nodes
[WARN] Link (4,30) triggered large expansion: 53 nodes
[WARN] Link (17,35) triggered large expansion: 31 nodes
[WARN] Link (17,1) triggered large expansion: 31 nodes
[WARN] Link (16,1) triggered large expansion: 53 nodes
[WARN] Link (44,28) triggered large expansion: 49 nodes
[WARN] Link (44,43) triggered large expansion: 50 nodes
[WARN] Link (69,30) triggered large expansion: 32 nodes
[WARN] Link (4,79) triggered large expansion: 53 nodes
[WARN] Link (107,36) triggered large expansion: 31 nodes
[WARN] Link (93,100) triggered large expansion: 38 nodes
[WARN] Link (17,45) triggered large expansion: 31 nodes
[WARN] Link (16,27) triggered large expansion: 53 nodes
[WARN] Link (44,63) triggered large expansion: 49 nodes
[WARN] Link (69,81) triggered large expansion: 31 nodes
[WARN] Link (4,67) triggered large expansion: 53 nodes
[WARN] Link (69,63) triggered large expansion: 31 nodes
[WARN] Link (38,62) triggered large expansion: 47 nodes
[WARN] Link (93,36) triggered large expansion: 38 nodes
[WARN] Link (16,41) triggered large expansion: 53 nodes
[WARN] Link (17,38) triggered large expansion: 32 nodes
[WARN] Link (93,35) triggered large expansion: 38 nodes
[WARN] Link (98,28) triggered large expansion: 31 nodes
[WARN] Link (44,81) triggered large expansion: 49 nodes
[WARN] Link (93,68) triggered large expansion: 39 nodes
[WARN] Link (107,24) triggered large expansion: 31 nodes
[WARN] Link (4,27) triggered large expansion: 53 nodes
[WARN] Link (16,12) triggered large expansion: 53 nodes
[WARN] Link (25,59) triggered large expansion: 53 nodes
[WARN] Link (93,67) triggered large expansion: 38 nodes
[WARN] Link (43,2) triggered large expansion: 36 nodes
[WARN] Link (16,45) triggered large expansion: 53 nodes
[WARN] Link (69,35) triggered large expansion: 31 nodes
[WARN] Link (16,55) triggered large expansion: 54 nodes
[WARN] Link (69,98) triggered large expansion: 32 nodes
Progress: 60% – Elapsed: 0.3s
Encoding link 1386 of 2316: (105,27)
[WARN] Link (93,43) triggered large expansion: 39 nodes
[WARN] Link (4,58) triggered large expansion: 53 nodes
[WARN] Link (43,105) triggered large expansion: 37 nodes
[WARN] Link (38,60) triggered large expansion: 47 nodes
[WARN] Link (69,90) triggered large expansion: 31 nodes
[WARN] Link (17,41) triggered large expansion: 31 nodes
[WARN] Link (44,41) triggered large expansion: 49 nodes
[WARN] Link (43,41) triggered large expansion: 36 nodes
[WARN] Link (69,32) triggered large expansion: 32 nodes
[WARN] Link (44,78) triggered large expansion: 49 nodes
[WARN] Link (93,45) triggered large expansion: 38 nodes
[WARN] Link (25,3) triggered large expansion: 53 nodes
[WARN] Link (44,38) triggered large expansion: 49 nodes
[WARN] Link (12,41) triggered large expansion: 43 nodes
[WARN] Link (4,62) triggered large expansion: 53 nodes
[WARN] Link (17,60) triggered large expansion: 32 nodes
[WARN] Link (38,28) triggered large expansion: 47 nodes
[WARN] Link (69,58) triggered large expansion: 32 nodes
[WARN] Link (25,4) triggered large expansion: 54 nodes
[WARN] Link (107,64) triggered large expansion: 31 nodes
[WARN] Link (107,99) triggered large expansion: 31 nodes
[WARN] Link (98,108) triggered large expansion: 32 nodes
[WARN] Link (17,4) triggered large expansion: 31 nodes
[WARN] Link (107,28) triggered large expansion: 31 nodes
[WARN] Link (93,27) triggered large expansion: 38 nodes
[WARN] Link (43,28) triggered large expansion: 36 nodes
[WARN] Link (43,100) triggered large expansion: 36 nodes
[WARN] Link (93,25) triggered large expansion: 38 nodes
[WARN] Link (17,3) triggered large expansion: 32 nodes
[WARN] Link (107,37) triggered large expansion: 31 nodes
[WARN] Link (44,65) triggered large expansion: 50 nodes
[WARN] Link (98,1) triggered large expansion: 31 nodes
[WARN] Link (17,97) triggered large expansion: 31 nodes
[WARN] Link (107,35) triggered large expansion: 31 nodes
[WARN] Link (93,64) triggered large expansion: 39 nodes
[WARN] Link (12,42) triggered large expansion: 43 nodes
[WARN] Link (17,100) triggered large expansion: 31 nodes
[WARN] Link (17,91) triggered large expansion: 31 nodes
[WARN] Link (44,27) triggered large expansion: 49 nodes
[WARN] Link (17,27) triggered large expansion: 31 nodes
[WARN] Link (93,28) triggered large expansion: 38 nodes
[WARN] Link (93,24) triggered large expansion: 38 nodes
[WARN] Link (17,18) triggered large expansion: 31 nodes
[WARN] Link (98,3) triggered large expansion: 31 nodes
[WARN] Link (43,24) triggered large expansion: 36 nodes
[WARN] Link (25,16) triggered large expansion: 54 nodes
[WARN] Link (12,37) triggered large expansion: 43 nodes
[WARN] Link (44,1) triggered large expansion: 49 nodes
[WARN] Link (38,107) triggered large expansion: 47 nodes
[WARN] Link (17,36) triggered large expansion: 31 nodes
[WARN] Link (107,65) triggered large expansion: 31 nodes
Progress: 70% – Elapsed: 0.4s
Encoding link 1617 of 2316: (107,65)
[WARN] Link (107,86) triggered large expansion: 31 nodes
[WARN] Link (44,68) triggered large expansion: 49 nodes
[WARN] Link (107,42) triggered large expansion: 31 nodes
[WARN] Link (16,97) triggered large expansion: 53 nodes
[WARN] Link (4,86) triggered large expansion: 54 nodes
[WARN] Link (16,69) triggered large expansion: 53 nodes
[WARN] Link (43,59) triggered large expansion: 37 nodes
[WARN] Link (43,44) triggered large expansion: 37 nodes
[WARN] Link (4,3) triggered large expansion: 53 nodes
[WARN] Link (44,3) triggered large expansion: 50 nodes
[WARN] Link (25,93) triggered large expansion: 53 nodes
[WARN] Link (69,3) triggered large expansion: 32 nodes
[WARN] Link (69,2) triggered large expansion: 32 nodes
[WARN] Link (98,44) triggered large expansion: 32 nodes
[WARN] Link (4,69) triggered large expansion: 53 nodes
[WARN] Link (38,58) triggered large expansion: 47 nodes
[WARN] Link (107,27) triggered large expansion: 31 nodes
[WARN] Link (12,79) triggered large expansion: 44 nodes
[WARN] Link (25,62) triggered large expansion: 53 nodes
[WARN] Link (44,42) triggered large expansion: 49 nodes
[WARN] Link (69,45) triggered large expansion: 31 nodes
[WARN] Link (98,4) triggered large expansion: 31 nodes
[WARN] Link (107,58) triggered large expansion: 31 nodes
[WARN] Link (25,97) triggered large expansion: 53 nodes
[WARN] Link (107,26) triggered large expansion: 31 nodes
[WARN] Link (17,46) triggered large expansion: 31 nodes
[WARN] Link (93,81) triggered large expansion: 38 nodes
[WARN] Link (43,107) triggered large expansion: 36 nodes
[WARN] Link (25,41) triggered large expansion: 53 nodes
[WARN] Link (107,18) triggered large expansion: 31 nodes
[WARN] Link (16,60) triggered large expansion: 54 nodes
[WARN] Link (107,60) triggered large expansion: 31 nodes
[WARN] Link (16,37) triggered large expansion: 53 nodes
[WARN] Link (16,105) triggered large expansion: 54 nodes
[WARN] Link (107,62) triggered large expansion: 31 nodes
[WARN] Link (93,32) triggered large expansion: 38 nodes
[WARN] Link (69,105) triggered large expansion: 32 nodes
[WARN] Link (44,107) triggered large expansion: 49 nodes
[WARN] Link (69,67) triggered large expansion: 31 nodes
[WARN] Link (38,17) triggered large expansion: 48 nodes
[WARN] Link (4,24) triggered large expansion: 53 nodes
[WARN] Link (43,25) triggered large expansion: 37 nodes
[WARN] Link (98,30) triggered large expansion: 31 nodes
[WARN] Link (98,27) triggered large expansion: 31 nodes
[WARN] Link (93,105) triggered large expansion: 39 nodes
[WARN] Link (38,86) triggered large expansion: 48 nodes
Progress: 80% – Elapsed: 0.4s
Encoding link 1848 of 2316: (2,31)
[WARN] Link (43,12) triggered large expansion: 37 nodes
[WARN] Link (69,17) triggered large expansion: 31 nodes
[WARN] Link (4,98) triggered large expansion: 53 nodes
[WARN] Link (98,93) triggered large expansion: 32 nodes
[WARN] Link (4,37) triggered large expansion: 53 nodes
[WARN] Link (43,26) triggered large expansion: 37 nodes
[WARN] Link (16,58) triggered large expansion: 53 nodes
[WARN] Link (4,63) triggered large expansion: 53 nodes
[WARN] Link (44,32) triggered large expansion: 49 nodes
[WARN] Link (12,35) triggered large expansion: 43 nodes
[WARN] Link (93,31) triggered large expansion: 38 nodes
[WARN] Link (38,97) triggered large expansion: 47 nodes
[WARN] Link (43,63) triggered large expansion: 37 nodes
[WARN] Link (25,98) triggered large expansion: 54 nodes
[WARN] Link (4,36) triggered large expansion: 53 nodes
[WARN] Link (25,91) triggered large expansion: 53 nodes
[WARN] Link (93,78) triggered large expansion: 39 nodes
[WARN] Link (38,30) triggered large expansion: 47 nodes
[WARN] Link (98,36) triggered large expansion: 31 nodes
[WARN] Link (25,78) triggered large expansion: 53 nodes
[WARN] Link (107,16) triggered large expansion: 31 nodes
[WARN] Link (98,35) triggered large expansion: 31 nodes
[WARN] Link (43,86) triggered large expansion: 37 nodes
[WARN] Link (25,32) triggered large expansion: 53 nodes
[WARN] Link (16,46) triggered large expansion: 53 nodes
[WARN] Link (25,28) triggered large expansion: 53 nodes
[WARN] Link (38,1) triggered large expansion: 47 nodes
[WARN] Link (98,69) triggered large expansion: 32 nodes
[WARN] Link (16,36) triggered large expansion: 53 nodes
[WARN] Link (44,26) triggered large expansion: 50 nodes
[WARN] Link (43,65) triggered large expansion: 37 nodes
[WARN] Link (12,97) triggered large expansion: 43 nodes
[WARN] Link (4,35) triggered large expansion: 53 nodes
[WARN] Link (4,90) triggered large expansion: 53 nodes
[WARN] Link (4,93) triggered large expansion: 53 nodes
[WARN] Link (12,63) triggered large expansion: 43 nodes
[WARN] Link (44,108) triggered large expansion: 50 nodes
[WARN] Link (43,98) triggered large expansion: 36 nodes
[WARN] Link (69,18) triggered large expansion: 31 nodes
[WARN] Link (25,69) triggered large expansion: 54 nodes
[WARN] Link (93,99) triggered large expansion: 38 nodes
[WARN] Link (16,65) triggered large expansion: 54 nodes
[WARN] Link (25,105) triggered large expansion: 53 nodes
[WARN] Link (107,93) triggered large expansion: 31 nodes
[WARN] Link (69,26) triggered large expansion: 32 nodes
[WARN] Link (107,78) triggered large expansion: 31 nodes
[WARN] Link (98,97) triggered large expansion: 32 nodes
[WARN] Link (93,58) triggered large expansion: 38 nodes
[WARN] Link (4,107) triggered large expansion: 53 nodes
Progress: 90% – Elapsed: 0.5s
Encoding link 2079 of 2316: (60,81)
[WARN] Link (43,90) triggered large expansion: 36 nodes
[WARN] Link (25,17) triggered large expansion: 54 nodes
[WARN] Link (25,37) triggered large expansion: 53 nodes
[WARN] Link (107,38) triggered large expansion: 31 nodes
[WARN] Link (107,41) triggered large expansion: 31 nodes
[WARN] Link (43,69) triggered large expansion: 37 nodes
[WARN] Link (12,30) triggered large expansion: 43 nodes
[WARN] Link (69,78) triggered large expansion: 32 nodes
[WARN] Link (38,59) triggered large expansion: 47 nodes
[WARN] Link (16,99) triggered large expansion: 53 nodes
[WARN] Link (12,4) triggered large expansion: 43 nodes
[WARN] Link (16,98) triggered large expansion: 53 nodes
[WARN] Link (4,12) triggered large expansion: 53 nodes
[WARN] Link (107,105) triggered large expansion: 31 nodes
[WARN] Link (38,37) triggered large expansion: 47 nodes
[WARN] Link (93,3) triggered large expansion: 38 nodes
[WARN] Link (12,28) triggered large expansion: 43 nodes
[WARN] Link (38,99) triggered large expansion: 47 nodes
[WARN] Link (107,30) triggered large expansion: 31 nodes
[WARN] Link (17,81) triggered large expansion: 31 nodes
[WARN] Link (44,18) triggered large expansion: 49 nodes
[WARN] Link (107,63) triggered large expansion: 31 nodes
[WARN] Link (43,68) triggered large expansion: 36 nodes
[WARN] Link (12,3) triggered large expansion: 43 nodes
[WARN] Link (44,98) triggered large expansion: 50 nodes
[WARN] Link (12,98) triggered large expansion: 44 nodes
[WARN] Link (98,12) triggered large expansion: 32 nodes
[WARN] Link (44,4) triggered large expansion: 49 nodes
[WARN] Link (25,90) triggered large expansion: 53 nodes
[WARN] Link (93,90) triggered large expansion: 38 nodes
[WARN] Link (4,41) triggered large expansion: 53 nodes
[WARN] Link (17,63) triggered large expansion: 31 nodes
[WARN] Link (16,107) triggered large expansion: 53 nodes
[WARN] Link (17,79) triggered large expansion: 31 nodes
[WARN] Link (16,26) triggered large expansion: 54 nodes
[WARN] Link (4,100) triggered large expansion: 53 nodes
[WARN] Link (4,26) triggered large expansion: 54 nodes
[WARN] Link (25,55) triggered large expansion: 54 nodes
[WARN] Link (43,16) triggered large expansion: 36 nodes
[WARN] Link (16,30) triggered large expansion: 53 nodes
[WARN] Link (69,79) triggered large expansion: 31 nodes
[WARN] Link (107,91) triggered large expansion: 31 nodes
[WARN] Link (43,62) triggered large expansion: 36 nodes
[WARN] Link (17,25) triggered large expansion: 32 nodes
[WARN] Link (17,28) triggered large expansion: 31 nodes
[WARN] Link (38,79) triggered large expansion: 47 nodes
[WARN] Link (69,62) triggered large expansion: 31 nodes
[WARN] Link (69,42) triggered large expansion: 32 nodes
[WARN] Link (12,62) triggered large expansion: 43 nodes
[WARN] Link (44,16) triggered large expansion: 49 nodes
[WARN] Link (98,78) triggered large expansion: 31 nodes
[WARN] Link (107,1) triggered large expansion: 31 nodes
[WARN] Link (43,45) triggered large expansion: 37 nodes
[WARN] Link (12,65) triggered large expansion: 44 nodes
[WARN] Link (98,63) triggered large expansion: 32 nodes
[WARN] Link (93,59) triggered large expansion: 38 nodes
[WARN] Link (69,41) triggered large expansion: 31 nodes
Progress: 100% – Elapsed: 0.5s
Encoding link 2310 of 2316: (18,26)
[WARN] Link (12,36) triggered large expansion: 43 nodes
Done. Total time: 0.5s
Encoding 1439 subgraphs (K = 10)...
[WARN] Link (83,5) triggered large expansion: 31 nodes
[WARN] Link (1,9) triggered large expansion: 47 nodes
[WARN] Link (18,9) triggered large expansion: 51 nodes
[WARN] Link (24,9) triggered large expansion: 45 nodes
[WARN] Link (30,9) triggered large expansion: 50 nodes
[WARN] Link (34,9) triggered large expansion: 36 nodes
[WARN] Link (36,9) triggered large expansion: 46 nodes
[WARN] Link (81,9) triggered large expansion: 46 nodes
[WARN] Link (97,9) triggered large expansion: 41 nodes
[WARN] Link (41,13) triggered large expansion: 39 nodes
[WARN] Link (99,13) triggered large expansion: 35 nodes
[WARN] Link (100,13) triggered large expansion: 37 nodes
[WARN] Link (107,13) triggered large expansion: 44 nodes
[WARN] Link (107,14) triggered large expansion: 39 nodes
[WARN] Link (2,15) triggered large expansion: 53 nodes
[WARN] Link (37,15) triggered large expansion: 52 nodes
[WARN] Link (58,15) triggered large expansion: 48 nodes
[WARN] Link (65,15) triggered large expansion: 33 nodes
[WARN] Link (2,19) triggered large expansion: 40 nodes
[WARN] Link (24,19) triggered large expansion: 36 nodes
[WARN] Link (46,19) triggered large expansion: 37 nodes
[WARN] Link (30,20) triggered large expansion: 33 nodes
[WARN] Link (100,20) triggered large expansion: 31 nodes
[WARN] Link (36,22) triggered large expansion: 36 nodes
[WARN] Link (98,23) triggered large expansion: 64 nodes
[WARN] Link (107,23) triggered large expansion: 34 nodes
[WARN] Link (2,29) triggered large expansion: 50 nodes
[WARN] Link (3,29) triggered large expansion: 36 nodes
[WARN] Link (42,29) triggered large expansion: 44 nodes
[WARN] Link (18,33) triggered large expansion: 45 nodes
[WARN] Link (41,33) triggered large expansion: 44 nodes
[WARN] Link (99,33) triggered large expansion: 40 nodes
[WARN] Link (18,34) triggered large expansion: 41 nodes
[WARN] Link (31,34) triggered large expansion: 36 nodes
[WARN] Link (18,47) triggered large expansion: 45 nodes
[WARN] Link (24,47) triggered large expansion: 38 nodes
[WARN] Link (35,47) triggered large expansion: 36 nodes
[WARN] Link (97,47) triggered large expansion: 33 nodes
[WARN] Link (99,47) triggered large expansion: 40 nodes
[WARN] Link (100,47) triggered large expansion: 42 nodes
[WARN] Link (107,47) triggered large expansion: 49 nodes
[WARN] Link (27,48) triggered large expansion: 32 nodes
[WARN] Link (31,48) triggered large expansion: 42 nodes
[WARN] Link (46,48) triggered large expansion: 41 nodes
[WARN] Link (78,48) triggered large expansion: 31 nodes
[WARN] Link (79,48) triggered large expansion: 32 nodes
[WARN] Link (90,48) triggered large expansion: 46 nodes
[WARN] Link (36,49) triggered large expansion: 31 nodes
[WARN] Link (41,49) triggered large expansion: 36 nodes
[WARN] Link (81,49) triggered large expansion: 31 nodes
[WARN] Link (107,49) triggered large expansion: 41 nodes
[WARN] Link (12,50) triggered large expansion: 37 nodes
[WARN] Link (60,50) triggered large expansion: 43 nodes
[WARN] Link (80,50) triggered large expansion: 43 nodes
[WARN] Link (90,50) triggered large expansion: 56 nodes
[WARN] Link (35,51) triggered large expansion: 34 nodes
[WARN] Link (63,51) triggered large expansion: 31 nodes
[WARN] Link (90,51) triggered large expansion: 42 nodes
[WARN] Link (100,51) triggered large expansion: 40 nodes
[WARN] Link (41,56) triggered large expansion: 37 nodes
[WARN] Link (107,56) triggered large expansion: 42 nodes
[WARN] Link (21,57) triggered large expansion: 44 nodes
[WARN] Link (46,61) triggered large expansion: 32 nodes
[WARN] Link (99,61) triggered large expansion: 33 nodes
[WARN] Link (2,66) triggered large expansion: 47 nodes
[WARN] Link (41,66) triggered large expansion: 49 nodes
[WARN] Link (91,66) triggered large expansion: 35 nodes
[WARN] Link (24,70) triggered large expansion: 33 nodes
[WARN] Link (67,70) triggered large expansion: 32 nodes
[WARN] Link (2,71) triggered large expansion: 44 nodes
[WARN] Link (36,71) triggered large expansion: 41 nodes
[WARN] Link (100,71) triggered large expansion: 44 nodes
[WARN] Link (28,72) triggered large expansion: 50 nodes
[WARN] Link (62,72) triggered large expansion: 45 nodes
[WARN] Link (63,72) triggered large expansion: 38 nodes
[WARN] Link (81,72) triggered large expansion: 44 nodes
[WARN] Link (90,72) triggered large expansion: 49 nodes
[WARN] Link (27,73) triggered large expansion: 34 nodes
[WARN] Link (46,73) triggered large expansion: 43 nodes
[WARN] Link (58,73) triggered large expansion: 40 nodes
[WARN] Link (62,73) triggered large expansion: 44 nodes
[WARN] Link (64,73) triggered large expansion: 32 nodes
[WARN] Link (68,73) triggered large expansion: 37 nodes
[WARN] Link (107,73) triggered large expansion: 53 nodes
[WARN] Link (1,75) triggered large expansion: 34 nodes
[WARN] Link (18,75) triggered large expansion: 39 nodes
[WARN] Link (31,75) triggered large expansion: 34 nodes
[WARN] Link (90,75) triggered large expansion: 38 nodes
[WARN] Link (100,75) triggered large expansion: 36 nodes
[WARN] Link (2,80) triggered large expansion: 33 nodes
[WARN] Link (24,82) triggered large expansion: 36 nodes
[WARN] Link (41,83) triggered large expansion: 33 nodes
[WARN] Link (23,84) triggered large expansion: 62 nodes
[WARN] Link (24,85) triggered large expansion: 39 nodes
[WARN] Link (36,85) triggered large expansion: 40 nodes
[WARN] Link (99,85) triggered large expansion: 41 nodes
[WARN] Link (3,88) triggered large expansion: 34 nodes
Progress: 10% – Elapsed: 0.0s
Encoding link 143 of 1439: (12,88)
[WARN] Link (16,88) triggered large expansion: 33 nodes
[WARN] Link (62,88) triggered large expansion: 44 nodes
[WARN] Link (68,88) triggered large expansion: 39 nodes
[WARN] Link (90,88) triggered large expansion: 49 nodes
[WARN] Link (100,88) triggered large expansion: 46 nodes
[WARN] Link (107,88) triggered large expansion: 52 nodes
[WARN] Link (62,89) triggered large expansion: 49 nodes
[WARN] Link (68,89) triggered large expansion: 44 nodes
[WARN] Link (99,89) triggered large expansion: 49 nodes
[WARN] Link (24,94) triggered large expansion: 37 nodes
[WARN] Link (67,94) triggered large expansion: 36 nodes
[WARN] Link (28,96) triggered large expansion: 35 nodes
[WARN] Link (28,101) triggered large expansion: 50 nodes
[WARN] Link (36,101) triggered large expansion: 45 nodes
[WARN] Link (45,101) triggered large expansion: 37 nodes
[WARN] Link (58,101) triggered large expansion: 43 nodes
[WARN] Link (63,101) triggered large expansion: 40 nodes
[WARN] Link (97,101) triggered large expansion: 41 nodes
[WARN] Link (105,101) triggered large expansion: 39 nodes
[WARN] Link (46,103) triggered large expansion: 31 nodes
[WARN] Link (99,103) triggered large expansion: 32 nodes
[WARN] Link (18,104) triggered large expansion: 37 nodes
[WARN] Link (28,104) triggered large expansion: 37 nodes
[WARN] Link (16,109) triggered large expansion: 34 nodes
[WARN] Link (18,109) triggered large expansion: 52 nodes
[WARN] Link (27,109) triggered large expansion: 37 nodes
[WARN] Link (79,109) triggered large expansion: 38 nodes
[WARN] Link (107,109) triggered large expansion: 56 nodes
[WARN] Link (18,110) triggered large expansion: 53 nodes
[WARN] Link (28,110) triggered large expansion: 55 nodes
[WARN] Link (30,110) triggered large expansion: 52 nodes
[WARN] Link (32,110) triggered large expansion: 41 nodes
[WARN] Link (43,110) triggered large expansion: 34 nodes
[WARN] Link (44,110) triggered large expansion: 36 nodes
[WARN] Link (63,110) triggered large expansion: 44 nodes
[WARN] Link (79,110) triggered large expansion: 41 nodes
[WARN] Link (81,110) triggered large expansion: 48 nodes
