Prey,Predator,PreyMass,PredatorMass
Leptogamasus suecicus,Athous subfuscus (juv) {l},1.44e-05,0.00467099
Lysigamasus cf rostriforceps,Athous subfuscus (juv) {l},2.46e-05,0.00467099
root exudates,Athous subfuscus (juv) {l},-999,0.00467099
ciliates,Allaiulus nitidus {xl},2.63e-09,0.00468865
Phalangiidae sp. (juv),Harpactea lepida (juv) large,0.005966949,0.004962887
Geholaspis aeneus,Schendyla nemorensis,0.000111701,0.005111424
Hypochthonius rufulus,Schendyla nemorensis,2.51e-05,0.005111424
Lepidocyrtus cyaneus,Schendyla nemorensis,8.99e-06,0.005111424
Sminthurinus aureus,Schendyla nemorensis,5.1e-06,0.005111424
Veigaia nemorensis,Schendyla nemorensis,4.83e-05,0.005111424
Leptogamasus cf. tectegynellus,Lithobius aulacopus,4.25e-05,0.005282779
Trogulus nepaeformis,Lithobius aulacopus,0.085596011,0.005282779
ciliates,Lithobius aulacopus,2.63e-09,0.005282779
dead organic matter,Lithobius aulacopus,-999,0.005282779
fungivorous nematodes,Lithobius aulacopus,5.35e-07,0.005282779
predacious nematodes,Lithobius aulacopus,3.56e-06,0.005282779
Folsomia quadrioculata,Lithobius tricuspis,5.41e-06,0.00559683
Veigaia nemorensis (juv),Lithobius tricuspis,1.79e-05,0.00559683
Steganacarus herculeanus,Phalangiidae sp. (juv),0.000275361,0.005966949
dead organic matter,Julidae sp.,-999,0.00617
Protaphorura armata,Geophilomorpha sp.,8.73e-06,0.006669259
Uroseius cylindricus (juv),Geophilomorpha sp.,2.39e-05,0.006669259
Molops piceus,Strigamia acuminata,0.110875648,0.006997365
Tectocepheus velatus velatus,Strigamia acuminata,1.17e-05,0.006997365
Trogulus nepaeformis,Strigamia acuminata,0.085596011,0.006997365
Uropoda athiasae,Strigamia acuminata,2.17e-05,0.006997365
Uropoda cassidea (juv),Strigamia acuminata,3.95e-05,0.006997365
Veigaia nemorensis,Strigamia acuminata,4.83e-05,0.006997365
fungivorous nematodes,Strigamia acuminata,5.35e-07,0.006997365
leaf litter,Strigamia acuminata,-999,0.006997365
root exudates,Strigamia acuminata,-999,0.006997365
Lysigamasus minorleitneriae,Robertus lividus,2.32e-05,0.008396656
saphrophytes,Geophilus electricus,-999,0.00996843
Pachylaelaps cf. vexillifer,Amaurobius sp. (juv),4.12e-05,0.012068147
Pachylaelaps cf. vexillifer,Amara aenea,4.12e-05,0.048427875
Uropoda cassidea,Amara aenea,8.54e-05,0.048427875
mykorrhiza,Amara aenea,-999,0.048427875
Aporrectodea rosea (juv),Lumbricus terrestris (juv) {xl},0.085811429,0.073333333
Aporectodea longa (juv),Trogulus nepaeformis,0.385857143,0.085596011
Aporrectodea rosea (juv),Trogulus nepaeformis,0.085811429,0.085596011
Mesaphorura sp.,Trogulus nepaeformis,1.46e-05,0.085596011
Micranurida sp. (juv),Trogulus nepaeformis,1.29e-05,0.085596011
Trachytes pauperior (juv),Trogulus nepaeformis,1.16e-05,0.085596011
Arion silvaticus,Molops piceus,0.192352467,0.110875648
Athous sp. (juv),Molops piceus,0.000875669,0.110875648
Dissorhina ornata,Molops piceus,1.17e-05,0.110875648
Lysigamasus minorleitneriae,Molops piceus,2.32e-05,0.110875648
Scutigerella immaculata {m},Molops piceus,0.000203722,0.110875648
Uroseius cylindricus (juv),Molops piceus,2.39e-05,0.110875648
Saloca diceros,Abax sp.,0.001156146,0.192305356
bacteria,Aporrectodea rosea,9.5e-16,0.219642857
Geophilomorpha sp.,Carabidae sp. (juv),0.006669259,0.623319917
Tapinocyba insecta,Carabidae sp. (juv),0.001163738,0.623319917
