Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
tau0p90_checkconnfalse,BP3,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,7,43,50,25,1,0.0974025974026,0.0995670995671,0.0021645021645,0.0941558441559,0.102813852814,0.0981818181819,0.098610691634,0.00184768143906,0.000281768777886,0.0995670995671,-0.000956407933105,-0.00960566228466
tau0p90_checkconnfalse,Balsam lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0972448979592,0.0991836734694,0.00193877551018,0.094336734694,0.102091836735,0.098212244898,0.098212244898,0.00124210568928,0.000175660271168,0.105306122449,-0.00709387755103,-0.0673643410854
tau0p90_checkconnfalse,Beaver lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0785714285714,0.0795454545455,0.0009740259741,0.0771103896102,0.0810064935066,0.0789480519481,0.0789480519481,0.000796262105155,0.000112608466831,0.0850649350649,-0.00611688311684,-0.0719083969461
tau0p90_checkconnfalse,Big hope lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0819672131148,0.0832650273224,0.00129781420757,0.0800204918034,0.0852117486337,0.0825628415301,0.0825628415301,0.000909856075323,0.000128673080153,0.0879781420765,-0.00541530054645,-0.061552795031
tau0p90_checkconnfalse,Blackrock Stream,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,2,48,50,25,1,0.0463779738038,0.0469125902165,0.0005346164127,0.0455760491848,0.0477145148356,0.0466212242716,0.0465728860376,0.000344312395328,4.9697213532e-05,0.0501202886929,-0.0035474026553,-0.0707777777785
tau0p90_checkconnfalse,Brandy lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,4,46,50,25,1,0.125287356322,0.127586206897,0.002298850575,0.121839080459,0.13103448276,0.126666666667,0.126111944028,0.00185597355452,0.000273648371451,0.136781609195,-0.010669665167,-0.0780051150867
tau0p90_checkconnfalse,Bridge brook lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0912162162162,0.0920720720721,0.00085585585585,0.0899324324325,0.0933558558559,0.0917945945946,0.0917484831771,0.000523995531509,7.48565045012e-05,0.0987387387387,-0.00699025556164,-0.0707954714728
tau0p90_checkconnfalse,Broad Stream,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0573348264278,0.0577827547592,0.0004479283314,0.0566629339307,0.0584546472563,0.0575811870101,0.0575610759421,0.000285947255348,4.08496079069e-05,0.0631578947368,-0.00559681879467,-0.0886162975823
tau0p90_checkconnfalse,Broadstone Stream,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.191699604743,0.195652173913,0.00395256917,0.185770750988,0.201581027668,0.192845849802,0.192845849802,0.00312069628209,0.000441333100618,0.195652173913,-0.0028063241107,-0.0143434343436
tau0p90_checkconnfalse,Brook trout lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0809523809524,0.0904761904762,0.0095238095238,0.0666666666667,0.104761904762,0.0858095238095,0.0858095238095,0.00424720851123,0.000600645987881,0.0904761904762,-0.00466666666666,-0.0515789473684
tau0p90_checkconnfalse,Buck pond,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,8,42,50,25,1,0.0835365853659,0.0841463414634,0.0006097560975,0.0826219512197,0.0850609756096,0.0838658536585,0.0837543554007,0.000614517822693,9.4822158653e-05,0.0920731707317,-0.00831881533098,-0.0903500473034
tau0p90_checkconnfalse,Bure Stream,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.20235162374,0.203247480403,0.000895856663,0.201007838745,0.204591265398,0.202792833147,0.202792833147,0.000670523702675,9.48263714215e-05,0.215789473684,-0.0129966405373,-0.0602283341972
tau0p90_checkconnfalse,Burntbridge lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0602322206096,0.061320754717,0.0010885341074,0.0585994194485,0.0629535558781,0.0608127721335,0.0606913302331,0.000705666523495,0.000100809503356,0.0653120464441,-0.004620716211,-0.0707482993195
tau0p90_checkconnfalse,Bylot,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.125,0.133333333333,0.008333333333,0.112500000001,0.145833333332,0.128833333333,0.128833333333,0.00563687647698,0.000797174716316,0.133333333333,-0.00449999999964,-0.0337499999974
tau0p90_checkconnfalse,CGP1,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0718954248366,0.078431372549,0.0065359477124,0.062091503268,0.0882352941176,0.0750980392157,0.0750980392157,0.00298859118081,0.000422650618029,0.078431372549,-0.00333333333332,-0.0424999999999
tau0p90_checkconnfalse,CGP2,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0915032679739,0.0972222222222,0.00571895424835,0.0829248366014,0.105800653595,0.0942483660131,0.0942483660131,0.00338975440903,0.000479383665836,0.0980392156863,-0.00379084967323,-0.0386666666669
tau0p90_checkconnfalse,CGP3,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.101344086021,0.104301075269,0.00295698924775,0.0969086021496,0.108736559141,0.10311827957,0.10311827957,0.00215327892,0.000304519625223,0.106451612903,-0.00333333333309,-0.0313131313109
tau0p90_checkconnfalse,CR1P1,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,4,46,50,25,1,0.122375832053,0.123399897593,0.00102406554,0.120839733743,0.124935995903,0.122903225806,0.12282107794,0.000847281072534,0.000124924778747,0.12928827445,-0.00646719650993,-0.0500215238965
tau0p90_checkconnfalse,CR1P2,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.124929378531,0.126271186441,0.00134180791,0.122916666666,0.128283898306,0.125807909605,0.125752334832,0.000999315726498,0.0001427593895,0.133615819209,-0.00786348437676,-0.0588514475554
tau0p90_checkconnfalse,CR1P3,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.152148664344,0.154471544715,0.002322880371,0.148664343788,0.157955865271,0.153147502904,0.153147502904,0.00155221709805,0.000219516647181,0.159698025552,-0.00655052264834,-0.0410181818197
tau0p90_checkconnfalse,CR1P4,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.145512820513,0.148076923077,0.002564102564,0.141666666667,0.151923076923,0.146653846154,0.146653846154,0.00193953363261,0.000274291476792,0.155769230769,-0.00911538461502,-0.0585185185163
tau0p90_checkconnfalse,CR2P1,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,4,46,50,25,1,0.148936170213,0.150265957447,0.001329787234,0.146941489362,0.152260638298,0.149592198581,0.14974560592,0.00112255945939,0.000165512362592,0.159574468085,-0.00982886216465,-0.0615942028985
