Foodweb,EcosystemType,N_nodes,N_edges_total,N_edges_backbone,Backbone_edge_fraction,N_backbone_nodes,Backbone_node_fraction,HighDeg_threshold_total,N_highdeg_total,N_highdeg_backbone,Prop_highdeg_total,Prop_highdeg_backbone,Mean_deg_all_endpoints,Median_deg_all_endpoints,Mean_deg_backbone_endpoints,Median_deg_backbone_endpoints
"SF1I4_tax_mass",marine,21,80,31,0.3875,14,0.666666666666667,12,3,3,0.142857142857143,0.214285714285714,8.8125,8,10.4516129032258,12
"PP2I2_tax_mass",marine,21,69,55,0.797101449275362,16,0.761904761904762,10,3,3,0.142857142857143,0.1875,7.78260869565217,7,8.2,9
"PP2I1_tax_mass",marine,21,86,33,0.383720930232558,13,0.619047619047619,12.4,2,2,0.0952380952380952,0.153846153846154,9.46511627906977,9,11.469696969697,12
"Emerald lake_tax_mass",lakes,22,58,33,0.568965517241379,11,0.5,14,3,3,0.136363636363636,0.272727272727273,9.13793103448276,7,11.0909090909091,14
"FP1_tax_mass",marine,22,60,20,0.333333333333333,17,0.772727272727273,9.6,2,2,0.0909090909090909,0.117647058823529,6.98333333333333,7,8.45,11
"Yamal_tax_mass",terrestrial aboveground,22,64,20,0.3125,15,0.681818181818182,9.9,2,2,0.0909090909090909,0.133333333333333,6.953125,6,8.05,7
"Federation lake_tax_mass",lakes,22,57,14,0.245614035087719,15,0.681818181818182,11,3,2,0.136363636363636,0.133333333333333,7.47368421052632,7,9.82142857142857,13
"BP3_tax_mass",marine,22,49,11,0.224489795918367,11,0.5,7.3,2,1,0.0909090909090909,0.0909090909090909,6.26530612244898,5,8.63636363636364,13
"Afon Hafren 2005_tax_mass",streams,22,109,35,0.321100917431193,21,0.954545454545455,14.6,2,2,0.0909090909090909,0.0952380952380952,10.7155963302752,11,12.0571428571429,12
"Rock Lake_tax_mass",lakes,22,43,14,0.325581395348837,14,0.636363636363636,11,3,1,0.136363636363636,0.0714285714285714,7.25581395348837,5.5,9.28571428571429,15
"South Lake_tax_mass",lakes,22,36,12,0.333333333333333,13,0.590909090909091,9,3,3,0.136363636363636,0.230769230769231,6.27777777777778,8,7.16666666666667,10.5
"PC1P1_tax_mass",marine,22,96,30,0.3125,16,0.727272727272727,15.3,2,2,0.0909090909090909,0.125,10.5208333333333,9,13.0833333333333,16
"Herschel_tax_mass",terrestrial aboveground,23,55,16,0.290909090909091,10,0.434782608695652,8.2,2,2,0.0869565217391304,0.2,6.43636363636364,5,8.1875,8.5
"GJAP3_tax_mass",marine,23,87,58,0.666666666666667,20,0.869565217391304,12.2,2,2,0.0869565217391304,0.1,9.17241379310345,9,9.9051724137931,11
"PP2I3_tax_mass",marine,23,93,28,0.301075268817204,16,0.695652173913043,16,3,3,0.130434782608696,0.1875,10.2688172043011,8,12.9642857142857,16
"GJBP4_tax_mass",marine,23,94,29,0.308510638297872,16,0.695652173913043,13.6,2,2,0.0869565217391304,0.125,10.1170212765957,9,12.2413793103448,16
"Broadstone Stream_tax_mass",streams,23,107,57,0.532710280373832,17,0.739130434782609,15.6,2,2,0.0869565217391304,0.117647058823529,12.1401869158879,11.5,13.8684210526316,14
"L3P2_tax_mass",marine,23,105,32,0.304761904761905,18,0.782608695652174,18,3,3,0.130434782608696,0.166666666666667,11.9904761904762,11,15.453125,18
"High pond_tax_mass",lakes,24,87,57,0.655172413793103,19,0.791666666666667,17,4,4,0.166666666666667,0.210526315789474,10.9425287356322,10,12.7982456140351,17
"Russian Lake_tax_mass",lakes,24,61,15,0.245901639344262,16,0.666666666666667,11.3,2,1,0.0833333333333333,0.0625,8.49180327868852,8,10.1666666666667,12.5
"Nenetsky_tax_mass",terrestrial aboveground,24,71,17,0.23943661971831,11,0.458333333333333,10.3,2,2,0.0833333333333333,0.181818181818182,7.29577464788732,7,8.91176470588235,10
"GJAP4_tax_mass",marine,25,86,29,0.337209302325581,16,0.64,12,5,3,0.2,0.1875,9.43023255813953,8,11.6379310344828,16
"PC1P3_tax_mass",marine,25,120,34,0.283333333333333,22,0.88,14,3,3,0.12,0.136363636363636,11.2916666666667,11,14.9852941176471,16
"Twin Lake West_tax_mass",lakes,26,60,36,0.6,15,0.576923076923077,11.8,3,3,0.115384615384615,0.2,7.1,6,8.16666666666667,11
"WP2_tax_mass",marine,26,128,76,0.59375,22,0.846153846153846,16,7,7,0.269230769230769,0.318181818181818,12.4609375,15,12.875,16
"Lake Malawi_tax_mass",lakes,27,142,37,0.26056338028169,22,0.814814814814815,15.8,3,3,0.111111111111111,0.136363636363636,12.2183098591549,12,14.7432432432432,18
"Wolf Lake_tax_mass",lakes,27,42,17,0.404761904761905,18,0.666666666666667,6,5,4,0.185185185185185,0.222222222222222,7.59523809523809,6,9.94117647058824,12
"WP4_tax_mass",marine,27,147,46,0.312925170068027,24,0.888888888888889,17.8,3,3,0.111111111111111,0.125,14.9387755102041,16,19.1739130434783,25
"L2P3_tax_mass",marine,27,108,33,0.305555555555556,20,0.740740740740741,14,6,6,0.222222222222222,0.3,11.0555555555556,10,14.7727272727273,19
"SF1I3_tax_mass",marine,27,107,34,0.317757009345794,16,0.592592592592593,10,4,3,0.148148148148148,0.1875,9.26168224299065,9,10.8970588235294,10
"PP1I1_tax_mass",marine,27,119,33,0.277310924369748,23,0.851851851851852,12,5,3,0.185185185185185,0.130434782608696,10.4621848739496,9,13.5757575757576,16
"FXAP4_tax_mass",marine,27,139,47,0.338129496402878,18,0.666666666666667,19.6,3,3,0.111111111111111,0.166666666666667,13.6258992805755,11,16.8936170212766,18
"MBP4_tax_mass",marine,27,162,41,0.253086419753086,24,0.888888888888889,17,9,9,0.333333333333333,0.375,14.1049382716049,17,18.0975609756098,20
"GJBP3_tax_mass",marine,27,177,55,0.310734463276836,23,0.851851851851852,20.8,3,3,0.111111111111111,0.130434782608696,15.2203389830508,13,18.4454545454545,19
"RMP1_tax_mass",marine,28,127,93,0.732283464566929,23,0.821428571428571,13,4,4,0.142857142857143,0.173913043478261,10.9448818897638,12,11.5806451612903,12
"BP1_tax_mass",marine,28,91,40,0.43956043956044,21,0.75,10.7,3,3,0.107142857142857,0.142857142857143,8.25274725274725,8,9.15,10
"Sand Lake_tax_mass",lakes,29,82,25,0.304878048780488,15,0.517241379310345,13,6,6,0.206896551724138,0.4,9.09756097560976,7,10.54,13
"PGSBP2_tax_mass",marine,29,94,58,0.617021276595745,22,0.758620689655172,11,4,4,0.137931034482759,0.181818181818182,8.54255319148936,9,9.3448275862069,10
"Brandy lake_tax_mass",lakes,30,121,47,0.388429752066116,26,0.866666666666667,22,3,3,0.1,0.115384615384615,13.7272727272727,15,15.1489361702128,23
"Iceland stream IS7 April 2009_tax_mass",streams,30,169,116,0.686390532544379,24,0.8,20,6,6,0.2,0.25,14.0650887573964,17,14.5,17
"Owl Lake_tax_mass",lakes,30,71,45,0.633802816901408,18,0.6,13.5,3,3,0.1,0.166666666666667,8.69014084507042,10,9.63333333333333,12.5
"GJAP2_tax_mass",marine,30,147,37,0.251700680272109,27,0.9,17,3,3,0.1,0.111111111111111,12.4013605442177,10,15.6621621621622,20
"GJAP1_tax_mass",marine,31,218,69,0.31651376146789,27,0.870967741935484,26.8,3,3,0.0967741935483871,0.111111111111111,18.0871559633028,18,20.0434782608696,22
"Twelfth Tee Lake_tax_mass",lakes,31,83,28,0.337349397590361,29,0.935483870967742,13.4,3,3,0.0967741935483871,0.103448275862069,8.81927710843373,8,10.0892857142857,15
"PC2P2_tax_mass",marine,31,176,128,0.727272727272727,27,0.870967741935484,14.8,3,3,0.0967741935483871,0.111111111111111,13.2045454545455,14,13.87890625,14
"FXBP1_tax_mass",marine,31,186,65,0.349462365591398,24,0.774193548387097,22.6,3,3,0.0967741935483871,0.125,15.7365591397849,17,19.0923076923077,25
"Lost Lake_tax_mass",lakes,31,148,46,0.310810810810811,19,0.612903225806452,15.4,3,3,0.0967741935483871,0.157894736842105,11.5405405405405,13,13.4347826086957,15.5
"CGP3_tax_mass",marine,31,103,26,0.252427184466019,24,0.774193548387097,11,4,3,0.129032258064516,0.125,9,9,10.9615384615385,14
"Duddon Pike Beck_tax_mass",streams,31,191,133,0.696335078534031,28,0.903225806451613,21.4,3,3,0.0967741935483871,0.107142857142857,14.0680628272251,12,14.0263157894737,12
"Whipple Lake_tax_mass",lakes,32,136,65,0.477941176470588,21,0.65625,17.6,3,3,0.09375,0.142857142857143,12.6911764705882,15,13.8153846153846,17
"Constable lake_tax_mass",lakes,32,61,30,0.491803278688525,15,0.46875,11.1,3,3,0.09375,0.2,9.39344262295082,9,11.4333333333333,17
"Fawn lake_tax_mass",lakes,32,122,65,0.532786885245902,22,0.6875,16.9,3,3,0.09375,0.136363636363636,11.2786885245902,10,13.9615384615385,16
"GJBP2_tax_mass",marine,33,244,74,0.30327868852459,29,0.878787878787879,27.2,3,3,0.0909090909090909,0.103448275862069,18.1352459016393,17,21.9459459459459,26
"L3P1_tax_mass",marine,33,214,54,0.252336448598131,22,0.666666666666667,20,4,4,0.121212121212121,0.181818181818182,14.9626168224299,14,17.4166666666667,17
"Oswego Lake_tax_mass",lakes,33,138,59,0.427536231884058,19,0.575757575757576,18,4,4,0.121212121212121,0.210526315789474,11.8985507246377,13,14.2457627118644,18
"MBP1_tax_mass",marine,34,215,143,0.665116279069767,33,0.970588235294118,24,6,6,0.176470588235294,0.181818181818182,16.6279069767442,18,18.0909090909091,24
"Skipwith Pond_tax_mass",lakes,34,364,193,0.53021978021978,32,0.941176470588235,36,4,4,0.117647058823529,0.125,24.9065934065934,24,27.5673575129534,29
"CR2P4_tax_mass",marine,35,151,90,0.596026490066225,28,0.8,19,5,5,0.142857142857143,0.178571428571429,12.9139072847682,10,15.0555555555556,19
"WP3_tax_mass",marine,35,289,86,0.29757785467128,32,0.914285714285714,25,4,4,0.114285714285714,0.125,19.5294117647059,20,24.7151162790698,31
"Indian Lake_tax_mass",lakes,35,102,54,0.529411764705882,21,0.6,16,4,3,0.114285714285714,0.142857142857143,10.4901960784314,13,11.6666666666667,15.5
"Loon Lake_tax_mass",lakes,35,118,60,0.508474576271186,23,0.657142857142857,19,4,3,0.114285714285714,0.130434782608696,13.0084745762712,13,15.375,23
"Cascade lake_tax_mass",lakes,35,118,61,0.516949152542373,31,0.885714285714286,17,4,4,0.114285714285714,0.129032258064516,10.635593220339,9,11.4426229508197,17
"Chub lake_tax_mass",lakes,36,83,34,0.409638554216867,35,0.972222222222222,17.1,4,4,0.111111111111111,0.114285714285714,10.8795180722892,9,11.6323529411765,18
"FXAP3_tax_mass",marine,36,260,79,0.303846153846154,29,0.805555555555556,22,5,5,0.138888888888889,0.172413793103448,17.3038461538462,16,20.6645569620253,22
"Lower Sister Lake_tax_mass",lakes,37,161,43,0.267080745341615,24,0.648648648648649,20.8,4,4,0.108108108108108,0.166666666666667,13.3850931677019,13,16.1511627906977,21
"Iceland stream IS8  April 2009_tax_mass",streams,37,216,151,0.699074074074074,32,0.864864864864865,27,6,6,0.162162162162162,0.1875,17.2777777777778,10,17.4370860927152,17.5
"MBP3_tax_mass",marine,37,353,105,0.297450424929178,34,0.918918918918919,26,5,5,0.135135135135135,0.147058823529412,20.7223796033994,19,24.7952380952381,26
"Allt a Mharcaidh_tax_mass",streams,37,267,218,0.816479400749064,35,0.945945945945946,21,5,5,0.135135135135135,0.142857142857143,15.7677902621723,14,16.1123853211009,14
"RV2P2_tax_mass",marine,38,171,99,0.578947368421053,25,0.657894736842105,17,7,7,0.184210526315789,0.28,12.5087719298246,12,14.0555555555556,17
"WP1_tax_mass",marine,39,367,92,0.250681198910082,39,1,26.2,4,4,0.102564102564103,0.102564102564103,21.3705722070845,21,26.8913043478261,25
"CR2P3_tax_mass",marine,39,233,156,0.669527896995708,33,0.846153846153846,23,8,8,0.205128205128205,0.242424242424242,16.587982832618,16,17.7884615384615,23
"L2P4_tax_mass",marine,39,260,185,0.711538461538462,33,0.846153846153846,21,10,10,0.256410256410256,0.303030303030303,17.2269230769231,18,18.6108108108108,21
"Falls lake_tax_mass",lakes,39,152,40,0.263157894736842,38,0.974358974358974,18.6,4,4,0.102564102564103,0.105263157894737,12.375,14,14.4,18
"GJBP1_tax_mass",marine,40,379,104,0.274406332453826,33,0.825,30,6,6,0.15,0.181818181818182,21.9129287598945,19,24.9134615384615,29
"Goose lake_tax_mass",lakes,40,98,22,0.224489795918367,23,0.575,13,5,1,0.125,0.0434782608695652,11.3163265306122,8,14,16.5
"CR1P4_tax_mass",marine,40,250,209,0.836,34,0.85,20,11,11,0.275,0.323529411764706,15.9,15,16.9593301435407,20
"RV2P4_tax_mass",marine,41,210,154,0.733333333333333,35,0.853658536585366,17.4,4,4,0.0975609756097561,0.114285714285714,13.8571428571429,15,15.1168831168831,17
"L4P3_tax_mass",marine,41,238,172,0.722689075630252,31,0.75609756097561,20,9,9,0.219512195121951,0.290322580645161,14.6848739495798,14,16.0145348837209,20
"Hardknott Gill_tax_mass",streams,41,382,116,0.303664921465969,37,0.902439024390244,25,5,5,0.121951219512195,0.135135135135135,20.6544502617801,20,24.4439655172414,24
"Buck pond_tax_mass",lakes,41,153,95,0.620915032679739,24,0.585365853658537,19,5,5,0.121951219512195,0.208333333333333,12.4640522875817,17,13.0315789473684,18
"Lost Lake East_tax_mass",lakes,41,137,80,0.583941605839416,40,0.975609756097561,17.4,4,4,0.0975609756097561,0.1,11.7591240875912,12,13.25,21
"Squaw Lake_tax_mass",lakes,41,169,121,0.715976331360947,39,0.951219512195122,22,5,5,0.121951219512195,0.128205128205128,13.5739644970414,10,14.6570247933884,21
"Helldiver pond_tax_mass",lakes,41,169,45,0.266272189349112,25,0.609756097560976,20.4,4,4,0.0975609756097561,0.16,13.5562130177515,13,15.8444444444444,21.5
"Razorback Lake_tax_mass",lakes,42,179,83,0.463687150837989,27,0.642857142857143,20.5,4,4,0.0952380952380952,0.148148148148148,14.1173184357542,15,17.355421686747,24
"L1P2_tax_mass",marine,42,294,82,0.27891156462585,38,0.904761904761905,24,5,5,0.119047619047619,0.131578947368421,18.0748299319728,20,22.3292682926829,25
"CR1P3_tax_mass",marine,42,284,220,0.774647887323944,35,0.833333333333333,22,10,10,0.238095238095238,0.285714285714286,17.580985915493,16,19.1909090909091,22
"Iceland stream IS8 August 2008_tax_mass",streams,43,260,175,0.673076923076923,36,0.837209302325581,32,5,5,0.116279069767442,0.138888888888889,19.5461538461538,12,19.8628571428571,19.5
"L4P4_tax_mass",marine,43,292,73,0.25,33,0.767441860465116,23,6,5,0.13953488372093,0.151515151515152,18.0171232876712,21,21.7945205479452,23
"Safford Lake_tax_mass",lakes,44,225,68,0.302222222222222,30,0.681818181818182,22.1,4,4,0.0909090909090909,0.133333333333333,15.6844444444444,15,18.6617647058824,21
"L1P4_tax_mass",marine,44,316,278,0.879746835443038,35,0.795454545454545,19,17,17,0.386363636363636,0.485714285714286,18.0158227848101,19,18.839928057554,19
"Grass lake_tax_mass",lakes,44,165,46,0.278787878787879,27,0.613636363636364,22,5,5,0.113636363636364,0.185185185185185,13.8727272727273,15,16.8695652173913,22
"F2P2_tax_mass",marine,45,179,45,0.251396648044693,26,0.577777777777778,21,7,2,0.155555555555556,0.0769230769230769,13.268156424581,7,16.0333333333333,22
"FXAP2_tax_mass",marine,45,348,135,0.387931034482759,36,0.8,25,5,5,0.111111111111111,0.138888888888889,19.6724137931034,18,22.0222222222222,23
"FXBP2_tax_mass",marine,45,326,273,0.837423312883436,36,0.8,23,5,5,0.111111111111111,0.138888888888889,18.7147239263804,19,19.2362637362637,19
"Gull lake_tax_mass",lakes,45,212,45,0.212264150943396,25,0.555555555555556,23,5,5,0.111111111111111,0.2,15.5849056603774,18,17.7333333333333,22
"FXAP1_tax_mass",marine,46,380,169,0.444736842105263,39,0.847826086956522,25.9,5,5,0.108695652173913,0.128205128205128,20.25,19,22.585798816568,23
"F1P3_tax_mass",marine,47,218,92,0.422018348623853,25,0.531914893617021,18,9,5,0.191489361702128,0.2,13.0229357798165,10,14.6467391304348,17
"L2P1_tax_mass",marine,47,320,218,0.68125,36,0.765957446808511,25,11,11,0.234042553191489,0.305555555555556,18.5375,24,19.8509174311927,25
"F1P2_tax_mass",marine,48,257,92,0.357976653696498,39,0.8125,18,6,6,0.125,0.153846153846154,14.6147859922179,13,15.7989130434783,18
"L1P3_tax_mass",marine,48,391,258,0.659846547314578,42,0.875,27,11,11,0.229166666666667,0.261904761904762,21.2736572890026,25,22.8236434108527,27
"FXBP3_tax_mass",marine,48,378,104,0.275132275132275,28,0.583333333333333,30.2,5,5,0.104166666666667,0.178571428571429,20.7910052910053,20,25.7307692307692,33
"CR2P1_tax_mass",marine,48,373,287,0.769436997319035,41,0.854166666666667,23.7,5,5,0.104166666666667,0.121951219512195,20.1528150134048,22,21.3501742160279,22
"RV2P3_tax_mass",marine,48,320,236,0.7375,39,0.8125,24,11,11,0.229166666666667,0.282051282051282,18.496875,17,20.2266949152542,24
"Horseshoe Lake_tax_mass",lakes,49,255,143,0.56078431372549,43,0.877551020408163,24,6,6,0.122448979591837,0.13953488372093,15.9647058823529,21,16.6293706293706,23
"F1P4_tax_mass",marine,49,295,79,0.267796610169492,32,0.653061224489796,19,6,6,0.122448979591837,0.1875,15.6135593220339,15,17.7025316455696,18
"FXBP4_tax_mass",marine,49,424,166,0.391509433962264,35,0.714285714285714,28.4,5,5,0.102040816326531,0.142857142857143,21.5566037735849,19,25.0512048192771,24
"Rat Lake_tax_mass",lakes,50,273,91,0.333333333333333,31,0.62,26,5,5,0.1,0.161290322580645,17.5238095238095,22,20.5274725274725,23
"Tuesday Lake 1984_tax_mass",lakes,50,269,69,0.256505576208178,47,0.94,22.5,5,5,0.1,0.106382978723404,16.2639405204461,18,18.5942028985507,22
"Balsam lake_tax_mass",lakes,50,261,88,0.337164750957854,33,0.66,25,7,7,0.14,0.212121212121212,17.0191570881226,14,20.5681818181818,28.5
"RV1P4_tax_mass",marine,50,323,217,0.671826625386997,40,0.8,24,9,9,0.18,0.225,18.6780185758514,20,20.8064516129032,24
"L3P4_tax_mass",marine,50,265,207,0.781132075471698,34,0.68,18,13,13,0.26,0.382352941176471,14.5094339622642,17,16.0265700483092,18
"RV1P2_tax_mass",marine,50,357,125,0.350140056022409,39,0.78,24,8,8,0.16,0.205128205128205,19.4453781512605,22,22.456,24
"Tuesday Lake 1986_tax_mass",lakes,51,241,54,0.224066390041494,34,0.666666666666667,20,6,2,0.117647058823529,0.0588235294117647,15.5352697095436,17,18.1666666666667,20.5
