Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
tau1p00_checkconnfalse,40,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,14500,13434,1059,12375
tau1p00_checkconnfalse,40,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,254,14246
tau1p00_checkconnfalse,40,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,376,14124
tau1p00_checkconnfalse,40,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,248,14252
tau1p00_checkconnfalse,40,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,239,14261
tau1p00_checkconnfalse,40,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,248,14252
tau1p00_checkconnfalse,40,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,237,14263
tau1p00_checkconnfalse,40,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,40,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,409,14091
tau1p00_checkconnfalse,40,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14498,305,14193
tau1p00_checkconnfalse,40,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,350,14150
tau1p00_checkconnfalse,50,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,240,14260
tau1p00_checkconnfalse,50,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,212,14288
tau1p00_checkconnfalse,50,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,238,14262
tau1p00_checkconnfalse,50,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,234,14266
tau1p00_checkconnfalse,50,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,288,14212
tau1p00_checkconnfalse,50,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,289,14500,13538,1073,12465
