Species,IsBasal,ReachableFromBasal,NumResources,NumConsumers
Beroe cucumis,0,1,3,13
Bodo saltans,0,0,2,30
Boroecia antipoda,0,1,67,57
Bostrychopora dentata,0,1,1,30
Cadulus dalli antarcticum,0,1,1,5
Calanoides acutus,0,1,72,92
Calanus propinquus,0,1,71,92
Callianira antarctica,0,1,14,14
Callochiton gaussi,0,1,14,1
Calyx arcuarius,0,1,1,43
Camptoplites tricornis,0,1,1,30
Camylaspis maculata,0,1,59,7
Cassidulinoides parkerianus,0,1,61,25
Caulastraea curvata,0,1,1,30
Cephalodiscus,0,1,1,3
Ceratoserolis meridionalis,0,1,61,29
Chaenodraco wilsoni,0,1,7,25
Chaetoceros bulbosum,1,1,0,81
Chaetoceros concavicornis,1,1,0,81
Chaetoceros criophilum,1,1,0,81
Chaetoceros dichaeta,1,1,0,81
Chaetoceros flexuosum,1,1,0,81
Chaetoceros neglectum,1,1,0,81
Chaetoceros pelagicus,1,1,0,81
Chaetoceros socialis,1,1,0,81
Champsocephalus gunnari,0,1,23,23
Chionodraco hamatus,0,1,17,25
Chionodraco myersi,0,1,12,25
Chiridota weddellensis,0,1,2,15
Chondriovelum adeliense,0,1,1,30
Chorismus antarcticus,0,1,206,7
Cibicides refulgens,0,1,61,28
Cinachyra antarctica,0,1,1,43
Cinachyra barbata,0,1,1,42
Clathria pauper,0,1,1,42
Clavularia frankiliana,0,1,78,23
Clio pyramidata,0,1,6,52
Clione antarctica,0,1,1,53
Clione limacina,0,1,2,49
Cnemidocarpa verrucosa,0,1,1,6
Colossendeis scotti,0,1,128,7
Compsothyris racovitzae,0,1,1,1
Conchoecia antipoda,0,1,77,56
Conchoecia hettacra,0,1,19,56
Corella eumyota,0,1,1,4
Corethron criophilum,1,1,0,81
Coscinodiscus oculoides,1,1,0,81
Crania lecointei,0,1,1,1
Cryodraco antarcticus,0,1,5,25
Ctenocidaris gigantea,0,1,70,0
Ctenocidaris gilberti,0,1,53,0
Ctenocidaris perrieri,0,1,68,0
Ctenocidaris spinosa,0,1,75,0
Cuenotaster involutus,0,1,2,6
Cycethra verrucosa mawsoni,0,1,1,6
Cyclocardia astartoides,0,1,1,17
Cygnodraco mawsoni,0,1,59,25
Cylindrotheca closterium,1,1,0,81
Cyllopus lucasii,0,1,84,81
Dacodraco hunteri,0,1,39,24
Daption capense,0,1,15,0
Desmonema glaciale,0,1,18,1
Diastylis mawsoni,0,1,1,7
Dictyocha speculum,1,1,0,30
Dimophyes arctica,0,1,17,3
Diphyes antarctica,0,1,17,3
Diplasterias brucei,0,1,22,7
Dipulmaris antarctica,0,1,13,1
Dissostichus mawsoni,0,1,54,31
Djerboa furcipes,0,1,66,50
Dolloidraco longedorsalis,0,1,142,26
Echiniphimedia hodgsoni,0,1,35,48
Echinopsolus acanthocola,0,1,1,15
Echiurus antarcticus,0,1,1,1
Edwardsia meridionalis,0,1,69,6
Ekleptostylis debroyeri,0,1,1,7
Ekmocucumis steineni,0,1,1,15
Ekmocucumis turqueti,0,1,1,15
Ekmocucumis turqueti turqueti,0,1,1,15
Electrona antarctica,0,1,21,44
Elpidia glacialis,0,1,2,15
Epimeria georgiana,0,1,91,48
Epimeria macrodonta,0,1,147,51
Epimeria robusta,0,1,33,57
Epimeria rubrieques,0,1,37,48
Epimeria similis,0,1,110,49
Epimeriella walkeri,0,1,167,48
Eucampia antarctica,1,1,0,81
Euchaetomera antarcticus,0,1,78,27
Eucopia australis,0,1,78,27
Eucranta mollis,0,1,1,67
Eudorella splendida,0,1,61,7
Eukrohnia hamata,0,1,3,35
Eulagisca gigantea,0,1,77,65
Eunoe hartmanae,0,1,87,63
Eunoe spica,0,1,145,67
Eunoe spica spicoides,0,1,184,63
Euphausia crystallorophias,0,1,66,66
Euphausia frigida,0,1,76,61
Euphausia superba,0,1,76,87
Eurythenes gryllus,0,1,153,55
Eusirus antarcticus,0,1,5,48
Eusirus perdentatus,0,1,65,47
Falsimargarita gemma,0,1,2,26
Fasciculiporoides ramosa,0,1,1,30
Fissidentalium majorinum,0,1,1,5
Flustra angusta,0,1,1,30
Flustra antarctica,0,1,1,30
Fragilariopsis curta,1,1,0,81
Fragilariopsis cylindrus,1,1,0,81
Fragilariopsis kerguelensis,1,1,0,81
Fragilariopsis linearis,1,1,0,81
Fragilariopsis nana,1,1,0,81
Fragilariopsis obliquecostata,1,1,0,81
Fragilariopsis pseudonana,1,1,0,81
Fragilariopsis rhombica,1,1,0,81
Fragilariopsis ritscheri,1,1,0,81
Fragilariopsis separanda,1,1,0,81
Fragilariopsis sublinearis,1,1,0,81
Fragilariopsis vanheurckii,1,1,0,81
Frontoserolis bouvieri,0,1,61,29
Fulmarus glacialoides,0,1,17,0
Galiteuthis glacialis,0,1,4,26
Gerlachea australis,0,1,47,25
Gersemia antarctica,0,1,65,22
Globocassidulina crassa,0,1,61,28
Glyptonotus antarcticus,0,1,91,28
Gnathia calva,0,1,18,30
Gnathiphimedia mandibularis,0,1,54,48
Golfingia anderssoni,0,1,1,1
Golfingia margaritacea margaritacea,0,1,1,1
Golfingia mawsoni,0,1,1,1
Golfingia nordenskojoeldi,0,1,1,1
Golfingia ohlini,0,1,1,1
Gonatus antarcticus,0,1,11,25
Gorgonocephalus chiliensis,0,1,5,20
Gymnodraco acuticeps,0,1,36,25
Gymnoscopelus braueri,0,1,30,32
Gymnoscopelus nicholsi,0,1,27,32
Gymnoscopelus opisthopterus,0,1,22,32
Gyrodinium lachryama,0,0,1,32
Haliclona dancoi,0,1,1,46
Haliclona tenella,0,1,1,46
Halobaena caerulea,0,1,21,1
Hamingia,0,1,1,1
Haplocheira plumosa,0,1,67,48
Harmothoe crosetensis,0,1,105,63
Harmothoe spinosa,0,1,147,63
Harmotoe hartmanae,0,1,105,63
Harpagifer antarcticus,0,1,52,26
Harpovoluta charcoti,0,1,53,26
Heterophoxus videns,0,1,109,48
Homaxinella balfourensis,0,1,1,46
Hydrurga leptonyx,0,1,66,1
Hyperia macrocephala,0,1,9,49
Hyperiella dilatata,0,1,71,58
Ihlea racovitzai,0,1,66,10
Iophon radiatus,0,1,1,42
Iphimediella  cyclogena,0,1,39,47
Isodyctia cavicornuta,0,1,1,42
Isodyctia steifera,0,1,1,43
Isodyctia toxophila,0,1,1,42
Isoschizoporella tricuspis,0,1,1,30
Isosicyonis alba,0,1,69,6
Isotealia antarctica,0,1,68,6
Kampylaster incurvatus,0,1,1,6
Kirkpatrickia variolosa,0,1,1,45
Kondakovia longimana,0,1,4,21
Labidiaster annulatus,0,1,137,5
Laetmogone wyvillethompsoni,0,1,2,15
Laetmonice producta,0,1,69,65
Lageneschara lyrulata,0,1,1,30
Lagenorhynchus cruciger,0,1,20,0
Laternula elliptica,0,1,1,29
Latrunculia apicalis,0,1,1,42
Latrunculia brevis,0,1,1,42
Lenticulina antarctica,0,1,61,29
Leptonychotes weddelli,0,1,58,1
Liljeborgia georgiana,0,1,95,49
Limacina helicina antarctica,0,1,6,56
Limopsis lillei,0,1,1,28
Limopsis marionensis,0,1,1,28
Lineus longifissus,0,1,90,0
Liothyrella uva,0,1,1,1
Liothyrella uva antarctica,0,1,1,1
Lissarca notorcadensis,0,1,1,31
Lobodon carcinophaga,0,1,27,1
Lophaster gaini,0,1,6,6
Luidiaster gerlachei,0,1,12,6
Lyrocteis flavopallidus,0,1,14,14
Lysasterias perrieri,0,1,24,6
Macronectes giganteus,0,1,16,0
Macronectes halli,0,1,11,0
Macroptychaster accrescens,0,1,40,6
Macrourus holotrachys,0,1,59,24
Macrourus whitsoni,0,1,65,25
Magellania fragilis,0,1,1,1
Magellania joubini,0,1,1,1
Manguinea fusiformis,1,1,0,81
Manguinea rigida,1,1,0,81
Marginella ealesa,0,1,2,26
Marseniopsis conica,0,1,2,26
Marseniopsis mollis,0,1,2,26
Martialia hyadesi,0,1,12,21
Maxilliphimedia longipes,0,1,12,48
Maxmuelleria faex,0,1,1,1
Megaptera novaeangliae,0,1,4,0
Melicerita obliqua,0,1,1,30
Melphidippa antarctica,0,1,73,48
Mesonychoteuthis hamiltoni,0,1,8,19
Mesothuria lactea,0,1,2,15
Metaconchoecia isocheira,0,1,67,57
Metridia gerlachei,0,1,71,93
Mirounga leonina,0,1,55,1
Molgula pedunculata,0,1,1,4
Molpadia musculus,0,1,2,15
Momoculodes scabriculosus,0,1,1,48
Monocaulus parvula,0,1,80,33
Moroteuthis ingens,0,1,29,15
Munna globicauda,0,1,1,29
Muraenolepis marmoratus,0,1,11,25
Muraenolepis microps,0,1,62,26
Mycale acerata,0,1,1,43
Nacella concinna,0,1,2,19
Natatolana meridionalis,0,1,1,30
Natatolana obtusata,0,1,1,30
Natatolana oculata,0,1,1,29
Navicula glaciei,1,1,0,81
Navicula schefterae,1,1,0,81
Nematocarcinus lanceopes,0,1,84,6
Nematoflustra flagellata,0,1,1,30
Neobuccinum eatoni,0,1,7,27
Neogloboquadriana pachyderma,0,1,61,32
Newnesia antarctica,0,1,2,26
Nitzschia kerguelensis,1,1,0,81
Nitzschia lecointei,1,1,0,81
Nitzschia neglecta,1,1,0,81
Notaeolidia gigas,0,1,2,26
Notasterias armata,0,1,6,6
Notasterias stylophora,0,1,6,6
Notioceramus anomalus,0,1,1,6
Notocidaris mortenseni,0,1,54,0
Notocrangon antarcticus,0,1,162,16
Notolepis coatsi,0,1,16,42
Nototanais antarcticus,0,1,61,9
Nototanais dimorphus,0,1,60,9
Notothenia coriiceps,0,1,103,25
Notothenia marmorata,0,1,18,26
Nuttallochiton mirandus,0,1,53,1
Nymphon gracillimum,0,1,128,7
Oceanites oceanicus,0,1,8,0
Odontaster meridionalis,0,1,35,6
Odontaster validus,0,1,224,8
Odontella weissflogii,1,1,0,81
Oediceroides calmani,0,1,104,47
Oediceroides emarginatus,0,1,104,47
Ommatophoca rossii,0,1,55,1
Ophiacantha antarctica,0,1,69,21
Ophioceres incipiens,0,1,134,20
Ophionotus victoriae,0,1,195,20
Ophioperla koehleri,0,1,1,20
Ophioperla ludwigi,0,1,76,19
Ophiosparte gigas,0,1,279,20
Ophiurolepis brevirima,0,1,203,20
Ophiurolepis gelida,0,1,185,21
Oradarea edentata,0,1,66,49
Orcinus orca,0,1,26,0
Oswaldella antarctica,0,1,59,34
Pachycara brachycephalum,0,1,43,24
Pachyptila desolata,0,1,33,0
Pagetopsis macropterus,0,1,50,24
Pagetopsis maculatus,0,1,12,25
Pagodroma nivea,0,1,11,0
Paraceradocus gibber,0,1,102,47
Paraeuchaeta antarctica,0,1,74,95
Paramoera walkeri,0,1,11,49
Parborlasia corrugatus,0,1,90,0
Pareledone antarctica,0,1,100,7
Pareledone charcoti,0,1,76,7
Parmaphorella mawsoni,0,1,60,26
Parschisturella ceruviata,0,1,1,44
Parvicorbucula socialis,0,1,61,30
Pelagobia longicirrata,0,1,65,72
Pentanymphon antarcticum,0,1,128,12
Peraeospinosus pushkini,0,1,95,9
Periphylla periphylla,0,1,18,1
Perknaster densus,0,1,1,6
Perknaster fuscus antarcticus,0,1,3,7
Perknaster sladeni,0,1,1,6
Phaeocystis antarctica,1,1,0,30
Phascolion strombi,0,1,1,1
Phorbas areolatus,0,1,1,42
Phorbas glaberrima,0,1,1,42
Phyllocomus crocea,0,1,2,64
Physeter macrocephalus,0,1,20,0
Phytodetritus,1,1,0,226
Pista spinifera,0,1,2,64
Pleuragramma antarcticum,0,1,18,49
Pogonophryne barsukovi,0,1,79,25
Pogonophryne marmorata,0,1,45,25
Pogonophryne permitini,0,1,79,25
Pogonophryne phyllopogon,0,1,78,25
Pogonophryne scotti,0,1,79,25
Polyeunoa laevis,0,1,52,59
Polymastia invaginata,0,1,1,43
Polymastia isidis,0,1,1,42
Pontiothauma ergata,0,1,15,26
Porania antarctica,0,1,66,6
Porania antarctica glabra,0,1,66,6
Porosira glacialis,1,1,0,81
Porosira pseudodenticulata,1,1,0,81
Primno macropa,0,1,18,56
Primnoella,0,1,1,22
Primnoisis antarctica,0,1,17,22
Prionodraco evansii,0,1,36,25
Proboscia alata,1,1,0,81
Proboscia inermi,1,1,0,81
Proboscia truncata,1,1,0,81
Probuccinum tenuistriatum,0,1,15,26
Procellaria aequinoctialis,0,1,8,0
Promachocrinus kerguelensis,0,1,2,6
Propeleda longicaudata,0,1,1,24
Protomyctophum bolini,0,1,19,42
Pseudo-Nitzschia heimii,1,1,0,81
Pseudo-Nitzschia liniola,1,1,0,81
Pseudo-Nitzschia prolongatoides,1,1,0,81
Pseudo-Nitzschia subcurvata,1,1,0,81
Pseudorchomene coatsi,0,1,1,48
Pseudosagitta gazellae,0,1,2,9
Pseudosagitta maxima,0,1,6,9
Pseudostichopus mollis,0,1,2,15
Pseudostichopus villosus,0,1,2,15
Psilaster charcoti,0,1,53,6
Psolidium incertum,0,1,2,15
Psolus antarcticus,0,1,1,15
Psolus charcoti,0,1,1,15
Psolus dubiosus,0,1,1,15
Psychroteuthis glacialis,0,1,17,4
Pteraster affinis aculeatus,0,1,6,6
Puncturella conica,0,1,54,26
Pygoscelis adeliae,0,1,5,2
Pyura bouvetensis,0,1,1,4
Pyura discoveryi,0,1,1,4
Pyura setosa,0,1,1,4
Pyura tunicata,0,1,1,4
Racovitzia glacialis,0,1,28,25
Reteporella hippocrepis,0,1,1,30
Rhachotropis antarctica,0,1,135,48
Rhincalanus gigas,0,1,71,93
Rhizosolenia antennata,1,1,0,81
Rhodalia miranda,0,1,17,3
Rhynchonereella bongraini,0,1,65,19
Rossella antarctica,0,1,1,42
Rossella nuda,0,1,1,44
Rossella racovitzae,0,1,1,47
Rossella tarenja,0,1,1,42
Sagitta marri,0,1,6,11
Salpa gerlachei,0,1,66,10
Salpa thompsoni,0,1,79,29
Scolymastra joubini,0,1,1,43
Scotoplanes globosa,0,1,2,15
Sediment,1,1,0,57
Serolella bouveri,0,1,61,29
Serolis polita,0,1,61,29
Silicioflagellata,1,1,0,30
Silicularia rosea,0,1,84,34
Solaster dawsoni,0,1,23,6
Solmundella bitentaculata,0,1,7,1
Stellarima microtrias,1,1,0,81
Sterechinus antarcticus,0,1,113,8
Sterechinus neumayeri,0,1,128,13
Sterna paradisaea,0,1,7,0
Sterna vittata,0,1,2,0
Stylocordyla borealis,0,1,1,42
Sycozoa sigillinoides,0,1,1,4
Synoicum adareanum,0,1,1,4
Systenopora contracta,0,1,1,30
Taeniogyrus contortus,0,1,1,19
Tedania oxeata,0,1,1,42
Tedania tantulata,0,1,1,42
Tedania vanhoeffeni,0,1,1,42
Tentorium papillatum,0,1,1,42
Tentorium semisuberites,0,1,1,42
Terebella ehlersi,0,1,2,64
Tetilla leptoderma,0,1,1,48
Thalassiosira antarctica,1,1,0,81
Thalassiosira australis,1,1,0,81
Thalassiosira frenguelliopsis,1,1,0,81
Thalassiosira gracilis,1,1,0,81
Thalassiosira gracilis expecta,1,1,0,81
Thalassiosira gravida,1,1,0,81
Thalassiosira lentiginosa,1,1,0,81
Thalassiosira ritscheri,1,1,0,81
Thalassiosira trifulta,1,1,0,81
Thalassiosira tumida,1,1,0,81
Thalassoica antarctica,0,1,18,1
Themisto gaudichaudii,0,1,18,56
Thysanoessa macrura,0,1,81,64
Trachythyone parva,0,1,2,15
Trematomus bernacchii,0,1,93,25
Trematomus eulepidotus,0,1,46,25
Trematomus hansoni,0,1,83,24
Trematomus lepidorhinus,0,1,71,24
Trematomus loennbergii,0,1,107,24
Trematomus nicolai,0,1,88,25
Trematomus pennellii,0,1,166,24
Trematomus scotti,0,1,121,25
Trichotoxon reinboldii,1,1,0,81
Tritonia antarctica,0,1,2,26
Tritoniella belli,0,1,61,26
Trophon longstaffi,0,1,7,27
Tryphosella murrayi,0,1,46,48
Tubularia ralphii,0,1,18,35
Tursiops truncatus,0,1,20,0
Uristes gigas,0,1,135,47
Urticinopsis antarctica,0,1,21,6
Vanadis antarctica,0,1,76,64
Vaunthompsonia indermis,0,1,61,7
Vibilia antarctica,0,1,18,73
Vibilia stebbingi,0,1,18,72
Waldeckia obesa,0,1,152,43
Yolida eightsi,0,1,1,36
Ypsilocucumis turricata,0,1,2,15
