Version,K,TrainRatio,ExperimentID,Seed,Threshold,EmpiricalNetworkXMeanTrophicLevel,EmpiricalNetworkXTrophicLevelStatusCode,PseudoNetworkXMeanTrophicLevel,PseudoNetworkXTrophicLevelNumSpeciesFull,PseudoNetworkXTrophicLevelNumSpeciesLargest,PseudoNetworkXTrophicLevelStatusCode,Foodweb,SourceFile,FiniteValue,FiniteReference
WLNM_dir_neg,10,60,40,1701054159,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,41,1701054160,0.5,1.83578367157,0,1.8841270696500001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,42,1701054161,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,43,1701054162,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,44,1701054163,0.5,1.83578367157,0,1.9269216795799999,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,45,1701054164,0.5,1.83578367157,0,,95,94,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,46,1701054165,0.5,1.83578367157,0,1.82375358227,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,47,1701054166,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,48,1701054167,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,49,1701054168,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
