Foodweb,FoodwebKey,Ecosystem,MetricName,MetricLabel,Value,RetainedRunsAfterTukey,OutlierRunsExcluded,NetworkType
Connera lake,connera lake,Lake,Connectance,Connectance,0.0990384615385,50,0,Empirical
Constable lake,constable lake,Lake,Connectance,Connectance,0.0594758064516,49,1,Empirical
Dargall Lane,dargall lane,Stream,Connectance,Connectance,0.173684210526,50,0,Empirical
Deep lake,deep lake,Lake,Connectance,Connectance,0.0789473684211,50,0,Empirical
Dempsters Stream,dempsters stream,Stream,Connectance,Connectance,0.080483736447,50,0,Empirical
Duddon Pike Beck,duddon pike beck,Stream,Connectance,Connectance,0.196774193548,50,0,Empirical
Dutch Microfauna food web PlotA,dutch microfauna food web plota,Terrestrial Belowground,Connectance,Connectance,0.096545412949,50,0,Empirical
Dutch Microfauna food web PlotB,dutch microfauna food web plotb,Terrestrial Belowground,Connectance,Connectance,0.0657334826428,50,0,Empirical
Dutch Microfauna food web PlotC,dutch microfauna food web plotc,Terrestrial Belowground,Connectance,Connectance,0.0928674500103,50,0,Empirical
Emerald lake,emerald lake,Lake,Connectance,Connectance,0.116883116883,49,1,Empirical
F1P1,f1p1,Marine,Connectance,Connectance,0.0831586303284,50,0,Empirical
F1P2,f1p2,Marine,Connectance,Connectance,0.112145390071,48,2,Empirical
F1P3,f1p3,Marine,Connectance,Connectance,0.0985198889917,49,1,Empirical
F1P4,f1p4,Marine,Connectance,Connectance,0.123724489796,50,0,Empirical
F2P1,f2p1,Marine,Connectance,Connectance,0.107683000605,49,1,Empirical
F2P2,f2p2,Marine,Connectance,Connectance,0.0878787878788,47,3,Empirical
F2P3,f2p3,Marine,Connectance,Connectance,0.093976777939,50,0,Empirical
F2P4,f2p4,Marine,Connectance,Connectance,0.0946455505279,49,1,Empirical
FP1,fp1,Marine,Connectance,Connectance,0.123376623377,50,0,Empirical
FXAP1,fxap1,Marine,Connectance,Connectance,0.179710144928,50,0,Empirical
FXAP2,fxap2,Marine,Connectance,Connectance,0.170707070707,50,0,Empirical
FXAP3,fxap3,Marine,Connectance,Connectance,0.198412698413,49,1,Empirical
FXAP4,fxap4,Marine,Connectance,Connectance,0.188034188034,50,0,Empirical
FXBP1,fxbp1,Marine,Connectance,Connectance,0.19247311828,50,0,Empirical
FXBP2,fxbp2,Marine,Connectance,Connectance,0.160101010101,46,4,Empirical
FXBP3,fxbp3,Marine,Connectance,Connectance,0.162677304965,48,2,Empirical
FXBP4,fxbp4,Marine,Connectance,Connectance,0.176020408163,50,0,Empirical
Falls lake,falls lake,Lake,Connectance,Connectance,0.100539811066,50,0,Empirical
Fawn lake,fawn lake,Lake,Connectance,Connectance,0.119959677419,50,0,Empirical
Federation lake,federation lake,Lake,Connectance,Connectance,0.119047619048,50,0,Empirical
FloridaIslandE1,floridaislande1,Terrestrial Aboveground,Connectance,Connectance,0.0808612440191,47,3,Empirical
FloridaIslandE2,floridaislande2,Terrestrial Aboveground,Connectance,Connectance,0.0864991233197,49,1,Empirical
FloridaIslandE3,floridaislande3,Terrestrial Aboveground,Connectance,Connectance,0.0825547280524,47,3,Empirical
FloridaIslandE7,floridaislande7,Terrestrial Aboveground,Connectance,Connectance,0.104122990915,50,0,Empirical
FloridaIslandE9,floridaislande9,Terrestrial Aboveground,Connectance,Connectance,0.116558441558,48,2,Empirical
GJAP1,gjap1,Marine,Connectance,Connectance,0.225806451613,48,2,Empirical
GJAP2,gjap2,Marine,Connectance,Connectance,0.159770114943,50,0,Empirical
GJAP3,gjap3,Marine,Connectance,Connectance,0.166007905138,50,0,Empirical
GJAP4,gjap4,Marine,Connectance,Connectance,0.133333333333,50,0,Empirical
GJBP1,gjbp1,Marine,Connectance,Connectance,0.235256410256,49,1,Empirical
GJBP2,gjbp2,Marine,Connectance,Connectance,0.224431818182,50,0,Empirical
GJBP3,gjbp3,Marine,Connectance,Connectance,0.240740740741,49,1,Empirical
GJBP4,gjbp4,Marine,Connectance,Connectance,0.173913043478,50,0,Empirical
Gearagh,gearagh,Terrestrial Belowground,Connectance,Connectance,0.0282608695652,50,0,Empirical
German Creek,german creek,Stream,Connectance,Connectance,0.0481532147743,50,0,Empirical
Goose lake,goose lake,Lake,Connectance,Connectance,0.0608974358974,50,0,Empirical
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1","grand caricaie marsh dominated by cladietum marisci, mown clmown1",Terrestrial Aboveground,Connectance,Connectance,0.0800196924941,49,1,Empirical
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2","grand caricaie marsh dominated by cladietum marisci, mown clmown2",Terrestrial Aboveground,Connectance,Connectance,0.0703703703704,49,1,Empirical
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1","grand caricaie marsh dominated by cladietum marisci, not mown clcontrol1",Terrestrial Aboveground,Connectance,Connectance,0.0807527890731,49,1,Empirical
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2","grand caricaie marsh dominated by cladietum marisci, not mown clcontrol2",Terrestrial Aboveground,Connectance,Connectance,0.0824742268041,48,2,Empirical
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ","grand caricaie marsh dominated by schoenus nigricans, mown scmown1",Terrestrial Aboveground,Connectance,Connectance,0.0812096300646,50,0,Empirical
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ","grand caricaie marsh dominated by schoenus nigricans, mown scmown2",Terrestrial Aboveground,Connectance,Connectance,0.0771407480315,50,0,Empirical
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ","grand caricaie marsh dominated by schoenus nigricans, not mown sccontrol1",Terrestrial Aboveground,Connectance,Connectance,0.0736756881795,49,1,Empirical
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ","grand caricaie marsh dominated by schoenus nigricans, not mown sccontrol2",Terrestrial Aboveground,Connectance,Connectance,0.0759365079365,50,0,Empirical
Grass lake,grass lake,Lake,Connectance,Connectance,0.0856236786469,48,2,Empirical
Gull lake,gull lake,Lake,Connectance,Connectance,0.105555555556,50,0,Empirical
Gull lake north,gull lake north,Lake,Connectance,Connectance,0.0958333333333,49,1,Empirical
HEW01,hew01,Terrestrial Belowground,Connectance,Connectance,0.0864661654135,49,1,Empirical
HEW02,hew02,Terrestrial Belowground,Connectance,Connectance,0.11053968254,50,0,Empirical
HEW03,hew03,Terrestrial Belowground,Connectance,Connectance,0.10862321738,49,1,Empirical
HEW04,hew04,Terrestrial Belowground,Connectance,Connectance,0.0877061469265,46,4,Empirical
HEW05,hew05,Terrestrial Belowground,Connectance,Connectance,0.109887368121,49,1,Empirical
HEW06,hew06,Terrestrial Belowground,Connectance,Connectance,0.115023474178,49,1,Empirical
HEW10,hew10,Terrestrial Belowground,Connectance,Connectance,0.105128205128,48,2,Empirical
HEW11,hew11,Terrestrial Belowground,Connectance,Connectance,0.10941475827,50,0,Empirical
HEW12,hew12,Terrestrial Belowground,Connectance,Connectance,0.121589677928,50,0,Empirical
HEW13,hew13,Terrestrial Belowground,Connectance,Connectance,0.10270979021,50,0,Empirical
HEW16,hew16,Terrestrial Belowground,Connectance,Connectance,0.128787878788,50,0,Empirical
HEW17,hew17,Terrestrial Belowground,Connectance,Connectance,0.107653008028,49,1,Empirical
HEW21,hew21,Terrestrial Belowground,Connectance,Connectance,0.0924893717525,49,1,Empirical
HEW22,hew22,Terrestrial Belowground,Connectance,Connectance,0.112279948476,50,0,Empirical
HEW36,hew36,Terrestrial Belowground,Connectance,Connectance,0.125511006289,50,0,Empirical
HEW47,hew47,Terrestrial Belowground,Connectance,Connectance,0.138904210333,48,2,Empirical
Hardknott Gill,hardknott gill,Stream,Connectance,Connectance,0.228658536585,46,4,Empirical
Healy Creek,healy creek,Stream,Connectance,Connectance,0.0653473510616,50,0,Empirical
Helldiver pond,helldiver pond,Lake,Connectance,Connectance,0.101829268293,49,1,Empirical
Herschel,herschel,Terrestrial Aboveground,Connectance,Connectance,0.108695652174,50,0,Empirical
High pond,high pond,Lake,Connectance,Connectance,0.150362318841,49,1,Empirical
Hoel lake,hoel lake,Lake,Connectance,Connectance,0.110328638498,50,0,Empirical
Horseshoe Lake,horseshoe lake,Lake,Connectance,Connectance,0.105867346939,49,1,Empirical
Iceland stream IS7 April 2009,iceland stream is7 april 2009,Stream,Connectance,Connectance,0.194252873563,49,1,Empirical
Iceland stream IS7 August 2008,iceland stream is7 august 2008,Stream,Connectance,Connectance,0.181472822911,50,0,Empirical
Iceland stream IS8  April 2009,iceland stream is8 april 2009,Stream,Connectance,Connectance,0.162162162162,50,0,Empirical
Iceland stream IS8 August 2008,iceland stream is8 august 2008,Stream,Connectance,Connectance,0.143410852713,49,1,Empirical
Indian Lake,indian lake,Lake,Connectance,Connectance,0.0840336134454,50,0,Empirical
Kongsfjorden,kongsfjorden,Marine,Connectance,Connectance,0.0231184512234,48,2,Empirical
Kye Burn,kye burn,Stream,Connectance,Connectance,0.0622772277228,50,0,Empirical
L1P1,l1p1,Marine,Connectance,Connectance,0.128248587571,50,0,Empirical
L1P2,l1p2,Marine,Connectance,Connectance,0.164343786295,50,0,Empirical
L1P3,l1p3,Marine,Connectance,Connectance,0.167553191489,50,0,Empirical
L1P4,l1p4,Marine,Connectance,Connectance,0.163319238901,50,0,Empirical
L2P1,l2p1,Marine,Connectance,Connectance,0.142923219241,49,1,Empirical
L2P2,l2p2,Marine,Connectance,Connectance,0.133998790079,49,1,Empirical
L2P3,l2p3,Marine,Connectance,Connectance,0.146723646724,50,0,Empirical
L2P4,l2p4,Marine,Connectance,Connectance,0.17004048583,50,0,Empirical
L3P1,l3p1,Marine,Connectance,Connectance,0.197916666667,50,0,Empirical
L3P2,l3p2,Marine,Connectance,Connectance,0.197628458498,50,0,Empirical
L3P3,l3p3,Marine,Connectance,Connectance,0.157931516422,49,1,Empirical
L3P4,l3p4,Marine,Connectance,Connectance,0.104897959184,49,1,Empirical
L4P1,l4p1,Marine,Connectance,Connectance,0.149436090226,50,0,Empirical
L4P2,l4p2,Marine,Connectance,Connectance,0.146103896104,49,1,Empirical
L4P3,l4p3,Marine,Connectance,Connectance,0.139634146341,50,0,Empirical
L4P4,l4p4,Marine,Connectance,Connectance,0.156146179402,49,1,Empirical
Lake Malawi,lake malawi,Lake,Connectance,Connectance,0.196581196581,50,0,Empirical
Little Kye Burn,little kye burn,Stream,Connectance,Connectance,0.0602077247647,50,0,Empirical
Little Rainbow Lake,little rainbow lake,Lake,Connectance,Connectance,0.0927601809955,46,4,Empirical
Loddon Stream,loddon stream,Stream,Connectance,Connectance,0.232783882784,50,0,Empirical
Long Lake,long lake,Lake,Connectance,Connectance,0.0992788461538,50,0,Empirical
Loon Lake,loon lake,Lake,Connectance,Connectance,0.0966386554622,49,1,Empirical
Lost Lake,lost lake,Lake,Connectance,Connectance,0.155913978495,47,3,Empirical
Lost Lake East,lost lake east,Lake,Connectance,Connectance,0.0823170731707,41,9,Empirical
Lough Hyne,lough hyne,Marine,Connectance,Connectance,0.0422132864204,48,2,Empirical
Lower Sister Lake,lower sister lake,Lake,Connectance,Connectance,0.119369369369,48,2,Empirical
Lyde Stream,lyde stream,Stream,Connectance,Connectance,0.169307756464,49,1,Empirical
MBP1,mbp1,Marine,Connectance,Connectance,0.182709447415,50,0,Empirical
MBP2,mbp2,Marine,Connectance,Connectance,0.24269005848,49,1,Empirical
MBP3,mbp3,Marine,Connectance,Connectance,0.256756756757,49,1,Empirical
MBP4,mbp4,Marine,Connectance,Connectance,0.217948717949,50,0,Empirical
Mill Stream,mill stream,Stream,Connectance,Connectance,0.221450617284,49,1,Empirical
Mosendale Beck,mosendale beck,Stream,Connectance,Connectance,0.190476190476,42,8,Empirical
Nenetsky,nenetsky,Terrestrial Aboveground,Connectance,Connectance,0.128623188406,50,0,Empirical
Old Lodge,old lodge,Stream,Connectance,Connectance,0.195238095238,50,0,Empirical
Oswego Lake,oswego lake,Lake,Connectance,Connectance,0.126893939394,48,2,Empirical
Owl Lake,owl lake,Lake,Connectance,Connectance,0.0804597701149,50,0,Empirical
PC1P1,pc1p1,Marine,Connectance,Connectance,0.190476190476,43,7,Empirical
PC1P2,pc1p2,Marine,Connectance,Connectance,0.252380952381,50,0,Empirical
PC1P3,pc1p3,Marine,Connectance,Connectance,0.185,50,0,Empirical
PC1P4,pc1p4,Marine,Connectance,Connectance,0.275735294118,49,1,Empirical
PC2P1,pc2p1,Marine,Connectance,Connectance,0.213450292398,50,0,Empirical
PC2P2,pc2p2,Marine,Connectance,Connectance,0.179569892473,45,5,Empirical
PC2P3,pc2p3,Marine,Connectance,Connectance,0.176470588235,49,1,Empirical
PC2P4,pc2p4,Marine,Connectance,Connectance,0.227941176471,48,2,Empirical
PC2P5,pc2p5,Marine,Connectance,Connectance,0.19696969697,49,1,Empirical
PGSBP1,pgsbp1,Marine,Connectance,Connectance,0.147058823529,48,2,Empirical
PGSBP2,pgsbp2,Marine,Connectance,Connectance,0.10960591133,50,0,Empirical
PGUBP1,pgubp1,Marine,Connectance,Connectance,0.150326797386,45,5,Empirical
PGUBP2,pgubp2,Marine,Connectance,Connectance,0.126315789474,47,3,Empirical
PGUBP3,pgubp3,Marine,Connectance,Connectance,0.154761904762,50,0,Empirical
PGUBP4,pgubp4,Marine,Connectance,Connectance,0.166666666667,50,0,Empirical
PP1I1,pp1i1,Marine,Connectance,Connectance,0.160968660969,50,0,Empirical
PP1I2,pp1i2,Marine,Connectance,Connectance,0.148351648352,49,1,Empirical
PP1I3,pp1i3,Marine,Connectance,Connectance,0.2,50,0,Empirical
PP1I4,pp1i4,Marine,Connectance,Connectance,0.18954248366,45,5,Empirical
PP2I1,pp2i1,Marine,Connectance,Connectance,0.190476190476,48,2,Empirical
PP2I2,pp2i2,Marine,Connectance,Connectance,0.159523809524,47,3,Empirical
PP2I3,pp2i3,Marine,Connectance,Connectance,0.169960474308,50,0,Empirical
PP2I4,pp2i4,Marine,Connectance,Connectance,0.157894736842,50,0,Empirical
PP2M1,pp2m1,Marine,Connectance,Connectance,0.143790849673,49,1,Empirical
PP2M2,pp2m2,Marine,Connectance,Connectance,0.154970760234,50,0,Empirical
PP2M3,pp2m3,Marine,Connectance,Connectance,0.152046783626,50,0,Empirical
PP2M4,pp2m4,Marine,Connectance,Connectance,0.147058823529,50,0,Empirical
RMP1,rmp1,Marine,Connectance,Connectance,0.156084656085,50,0,Empirical
RMP2,rmp2,Marine,Connectance,Connectance,0.157894736842,47,3,Empirical
RMP3,rmp3,Marine,Connectance,Connectance,0.125,49,1,Empirical
RMP4,rmp4,Marine,Connectance,Connectance,0.1625,50,0,Empirical
RMP5,rmp5,Marine,Connectance,Connectance,0.214285714286,49,1,Empirical
RV1P1,rv1p1,Marine,Connectance,Connectance,0.127118644068,50,0,Empirical
RV1P2,rv1p2,Marine,Connectance,Connectance,0.140816326531,48,2,Empirical
RV1P3,rv1p3,Marine,Connectance,Connectance,0.103703703704,49,1,Empirical
RV1P4,rv1p4,Marine,Connectance,Connectance,0.127346938776,50,0,Empirical
RV2P1,rv2p1,Marine,Connectance,Connectance,0.132075471698,49,1,Empirical
RV2P2,rv2p2,Marine,Connectance,Connectance,0.113798008535,50,0,Empirical
RV2P3,rv2p3,Marine,Connectance,Connectance,0.137411347518,50,0,Empirical
RV2P4,rv2p4,Marine,Connectance,Connectance,0.121951219512,50,0,Empirical
Rat Lake,rat lake,Lake,Connectance,Connectance,0.108979591837,50,0,Empirical
Razorback Lake,razorback lake,Lake,Connectance,Connectance,0.102206736353,48,2,Empirical
Rock Lake,rock lake,Lake,Connectance,Connectance,0.0909090909091,47,3,Empirical
Russian Lake,russian lake,Lake,Connectance,Connectance,0.108695652174,50,0,Empirical
SEW01,sew01,Terrestrial Belowground,Connectance,Connectance,0.113704256908,50,0,Empirical
SEW02,sew02,Terrestrial Belowground,Connectance,Connectance,0.0826320710612,48,2,Empirical
SEW03,sew03,Terrestrial Belowground,Connectance,Connectance,0.139412003794,50,0,Empirical
SEW04,sew04,Terrestrial Belowground,Connectance,Connectance,0.109803921569,49,1,Empirical
SEW05,sew05,Terrestrial Belowground,Connectance,Connectance,0.119801980198,50,0,Empirical
SEW06,sew06,Terrestrial Belowground,Connectance,Connectance,0.121359830021,50,0,Empirical
SEW07,sew07,Terrestrial Belowground,Connectance,Connectance,0.158049965302,50,0,Empirical
SEW08,sew08,Terrestrial Belowground,Connectance,Connectance,0.134072142547,50,0,Empirical
SEW09,sew09,Terrestrial Belowground,Connectance,Connectance,0.129213483146,48,2,Empirical
SEW18,sew18,Terrestrial Belowground,Connectance,Connectance,0.123817139811,49,1,Empirical
SEW35,sew35,Terrestrial Belowground,Connectance,Connectance,0.114158415842,49,1,Empirical
SEW36,sew36,Terrestrial Belowground,Connectance,Connectance,0.118871297242,50,0,Empirical
SEW37,sew37,Terrestrial Belowground,Connectance,Connectance,0.143560770679,49,1,Empirical
SEW41,sew41,Terrestrial Belowground,Connectance,Connectance,0.124366217587,50,0,Empirical
SEW43,sew43,Terrestrial Belowground,Connectance,Connectance,0.124159663866,50,0,Empirical
SEW48,sew48,Terrestrial Belowground,Connectance,Connectance,0.133347819788,50,0,Empirical
SF1I1,sf1i1,Marine,Connectance,Connectance,0.128571428571,50,0,Empirical
SF1I2,sf1i2,Marine,Connectance,Connectance,0.144736842105,49,1,Empirical
SF1I3,sf1i3,Marine,Connectance,Connectance,0.143874643875,49,1,Empirical
SF1I4,sf1i4,Marine,Connectance,Connectance,0.17380952381,50,0,Empirical
SF1M1,sf1m1,Marine,Connectance,Connectance,0.19696969697,49,1,Empirical
SF1M2,sf1m2,Marine,Connectance,Connectance,0.166666666667,50,0,Empirical
SF1M3,sf1m3,Marine,Connectance,Connectance,0.133333333333,49,1,Empirical
SF1M4,sf1m4,Marine,Connectance,Connectance,0.133333333333,48,2,Empirical
SF2I1,sf2i1,Marine,Connectance,Connectance,0.129166666667,49,1,Empirical
SF2I2,sf2i2,Marine,Connectance,Connectance,0.140350877193,45,5,Empirical
SF2I3,sf2i3,Marine,Connectance,Connectance,0.133333333333,50,0,Empirical
SF2I4,sf2i4,Marine,Connectance,Connectance,0.164835164835,50,0,Empirical
SF2M1,sf2m1,Marine,Connectance,Connectance,0.164835164835,50,0,Empirical
SF2M2,sf2m2,Marine,Connectance,Connectance,0.114285714286,50,0,Empirical
SF2M3,sf2m3,Marine,Connectance,Connectance,0.123684210526,47,3,Empirical
SF2M4,sf2m4,Marine,Connectance,Connectance,0.154411764706,50,0,Empirical
SP1,sp1,Marine,Connectance,Connectance,0.181818181818,49,1,Empirical
Safford Lake,safford lake,Lake,Connectance,Connectance,0.116807610994,50,0,Empirical
Sand Lake,sand lake,Lake,Connectance,Connectance,0.0972906403941,50,0,Empirical
Scottish Lake,scottish lake,Lake,Connectance,Connectance,0.133333333333,50,0,Empirical
Skipwith Pond,skipwith pond,Lake,Connectance,Connectance,0.31550802139,49,1,Empirical
South Lake,south lake,Lake,Connectance,Connectance,0.0779220779221,49,1,Empirical
Squaw Lake,squaw lake,Lake,Connectance,Connectance,0.101219512195,49,1,Empirical
Stink Lake,stink lake,Lake,Connectance,Connectance,0.100507982583,49,1,Empirical
Stony Stream,stony stream,Stream,Connectance,Connectance,0.0655815423515,49,1,Empirical
Sutton Stream,sutton stream,Stream,Connectance,Connectance,0.0565356856455,48,2,Empirical
Svalbard,svalbard,Terrestrial Aboveground,Connectance,Connectance,0.134615384615,50,0,Empirical
Test Stream,test stream,Stream,Connectance,Connectance,0.219008264463,50,0,Empirical
Tuesday Lake 1984,tuesday lake 1984,Lake,Connectance,Connectance,0.107755102041,50,0,Empirical
Tuesday Lake 1986,tuesday lake 1986,Lake,Connectance,Connectance,0.0925490196078,44,6,Empirical
Twelfth Tee Lake,twelfth tee lake,Lake,Connectance,Connectance,0.0860215053763,50,0,Empirical
Twin Lake East,twin lake east,Lake,Connectance,Connectance,0.102564102564,48,2,Empirical
Twin Lake West,twin lake west,Lake,Connectance,Connectance,0.0907692307692,50,0,Empirical
WP1,wp1,Marine,Connectance,Connectance,0.241565452092,50,0,Empirical
WP2,wp2,Marine,Connectance,Connectance,0.183076923077,50,0,Empirical
WP3,wp3,Marine,Connectance,Connectance,0.232773109244,50,0,Empirical
WP4,wp4,Marine,Connectance,Connectance,0.195156695157,50,0,Empirical
Weddell Sea,weddell sea,Marine,Connectance,Connectance,0.0667209214974,47,3,Empirical
Wensum Stream,wensum stream,Stream,Connectance,Connectance,0.217910261217,49,1,Empirical
Whipple Lake,whipple lake,Lake,Connectance,Connectance,0.135080645161,50,0,Empirical
Wolf Lake,wolf lake,Lake,Connectance,Connectance,0.0584045584046,47,3,Empirical
Yamal,yamal,Terrestrial Aboveground,Connectance,Connectance,0.138528138528,50,0,Empirical
Ythan Estuary,ythan estuary,Marine,Connectance,Connectance,0.0494505494505,50,0,Empirical
Zackenberg,zackenberg,Terrestrial Aboveground,Connectance,Connectance,0.136029411765,48,2,Empirical
AEW01,aew01,Terrestrial Belowground,MeanGenerality,Mean generality,15.7043478261,49,1,Empirical
AEW02,aew02,Terrestrial Belowground,MeanGenerality,Mean generality,22.3945578231,50,0,Empirical
AEW03,aew03,Terrestrial Belowground,MeanGenerality,Mean generality,15.6120689655,49,1,Empirical
AEW04,aew04,Terrestrial Belowground,MeanGenerality,Mean generality,15.2372881356,46,4,Empirical
AEW05,aew05,Terrestrial Belowground,MeanGenerality,Mean generality,15.4537815126,47,3,Empirical
AEW06,aew06,Terrestrial Belowground,MeanGenerality,Mean generality,15.1238938053,45,5,Empirical
AEW07,aew07,Terrestrial Belowground,MeanGenerality,Mean generality,15.737704918,49,1,Empirical
AEW08,aew08,Terrestrial Belowground,MeanGenerality,Mean generality,17.3923076923,50,0,Empirical
AEW09,aew09,Terrestrial Belowground,MeanGenerality,Mean generality,18.3307086614,50,0,Empirical
AEW11,aew11,Terrestrial Belowground,MeanGenerality,Mean generality,16.0789473684,49,1,Empirical
AEW17,aew17,Terrestrial Belowground,MeanGenerality,Mean generality,20.4202898551,46,4,Empirical
