prey_tsn,prey_name,prey_rows,total_min_num,total_cpw
-99908.0,EHI-Mud,6,6.0,0.0
-99903.0,Passidia?,6,8.0,0.0
-99914.0,Invertebrate embryo,6,40.0,105.908
-99906.0,Coal (stone),6,8.0,10.123520000000001
-99902.0,Stomach missing,5,5.0,0.0
-99911.0,polythene,5,5.0,11.540538461538464
-99903.0,EH-??????,5,5.0,0.0
-99914.0,Invertebrate larvae,5,114.0,301.8378
-99902.0,Everted stomach,5,5.0,0.0
-99906.0,Cinder (stone),4,4.0,5.0617600000000005
-99904.0,Other aquatic,4,123.0,86.537084682
-99904.0,Debris (sand etc),4,24.0,16.885284824331396
-99903.0,Spirochaete,4,6.0,0.0
-99903.0,Afinnus???,4,4.0,0.0
-99902.0,EH Shrunken stomach,4,4.0,0.0
-99902.0,EH-Regurgitated,4,4.0,0.0
-99906.0,EHI-Stone,4,6.0,7.592640000000001
-99904.0,slime,3,3.0,2.1106606030414246
-99903.0,????,3,4.0,0.0
-99913.0,EH-UI Benthos,3,3.0,0.024267000000000004
-99906.0,Coal fragment,2,2.0,2.53088
-99911.0,string,2,3.0,6.924323076923078
-99903.0,"EH-??Pedeu,Pecteu, Pedreu",2,2.0,0.0
-99903.0,E. EUCILUS,2,2.0,0.0
-99903.0,Saccorna parasite,2,2.0,0.0
-99903.0,xxxxxxx???????,2,2.0,0.0
-99906.0,Rock,2,2.0,2.53088
-99905.0,Twigs,2,2.0,10.52
-99902.0,EHI-Everted,2,2.0,0.0
-99903.0,EH-??Kittens (catfish??),2,2.0,0.0
-99903.0,BRM,2,2.0,0.0
-99904.0,CLD,2,5.0,3.5177676717357076
-99904.0,other unidentified material,2,2.0,1.407107068694283
-99904.0,EH Digested Remains,2,2.0,1.407107068694283
-99910.0,paper,2,2.0,0.3422
-99904.0,EHI-Digested remains,2,2.0,1.407107068694283
-99904.0,Bright green gloop,2,2.0,1.407107068
-99903.0,NMH,1,3.0,0.0
-99903.0,E. EUVILUSL,1,1.0,0.0
-99911.0,EH-French bottle label (rubbish),1,1.0,2.3081076923076926
-99903.0,PALLOMIUM,1,4.0,0.0
-99903.0,crismatica,1,1.0,0.0
-99911.0,Litter,1,1.0,2.308107692
-99903.0,Edimadea,1,1.0,0.0
-99911.0,Polythene bag,1,1.0,2.3081076923076926
-99904.0,Unrecognizable,1,26.0,18.29239189302568
-99911.0,Microplastic,1,1.0,2.308107692
-99906.0,Calcerous deposits,1,1.0,1.2654400000000001
-99911.0,Inorganic (plastic?),1,1.0,2.3081076923076926
-99912.0,Fish-hooks,1,3.0,0.0
-99911.0,Rubber,1,1.0,2.308107692
-99904.0,EH-Mucous,1,1.0,0.7035535343471415
-99911.0,Plastic debris,1,1.0,2.308107692
-99905.0,Branch from tree,1,1.0,5.26
-99904.0,Fibres?,1,1.0,0.7035535343471415
-99909.0,Tinfoil,1,1.0,2.3081076923076926
-99909.0,"Flotsam (pieces of paper, tinfoil and cigarette ends)",1,21.0,48.47026153846154
-99907.0,Micaceous sediment,1,1.0,0.0
-99915.0,Invert. Eggs,1,1.0,0.006576
-99903.0,EHG-MBC,1,1.0,0.0
-99903.0,Tonaia???,1,100.0,0.0
-99903.0,GLU,1,1.0,0.0
-99911.0,Fishing line,1,1.0,2.3081076923076926
-99903.0,EH-??Polo,1,1.0,0.0
-99906.0,Flint (stone),1,1.0,1.2654400000000001
-99903.0,C. miassiae,1,1.0,0.0
-99903.0,C1,1,1.0,0.0
-99903.0,C101,1,1.0,0.0
-99903.0,Phallana,1,1.0,0.0
-99903.0,EH ??????2,1,1.0,0.0
-99903.0,L. fresii,1,2.0,0.0
-99903.0,Calogorus,1,1.0,0.0
-99904.0,Others,1,60.0,42.21321204
-99906.0,EH-Pebbles,1,1.0,1.2654400000000001
-99903.0,EH-Scalaris?,1,1.0,0.0
-99906.0,EH-Gravel,1,1.0,1.2654400000000001
-99911.0,Twine,1,1.0,2.3081076923076926
-99911.0,rubbish,1,1.0,2.3081076923076926
-99903.0,EH-Terebracts,1,1.0,0.0
-99903.0,EH-Pneumiediums??,1,1.0,0.0
-99903.0,EH-???? Glonus?,1,1.0,0.0
-99903.0,EH-????Copdus?,1,1.0,0.0
-99903.0,EH-????Planlitum? (Dentalium),1,1.0,0.0
-99903.0,EH-????SPP2,1,1.0,0.0
-99903.0,Canney?????,1,1.0,0.0
-99903.0,Cutellus????,1,1.0,0.0
-99903.0,Coccospaera atlantica,1,1.0,0.0
-99903.0,EH-Acanthogme??? (pos. Acanthogorgia),1,1.0,0.0
-99903.0,EH-??Cran,1,1.0,0.0
-99903.0,EH-CURS?,1,1.0,0.0
-99903.0,EH ??????1,1,1.0,0.0
