sea,decade,tsn,display_name,out_degree,in_degree,total_degree,out_record_strength,in_record_strength
Baltic,1920,161105,Fish remains,0,1,1,0,1
Baltic,1920,171671,Ammodytes (juveniles),0,1,1,0,1
Baltic,1920,171978,Gobius minutus,0,1,1,0,1
Baltic,1920,172894,FLE,31,0,31,129,0
Baltic,1920,172902,PLE,3,0,3,3,0
Baltic,1920,542674,Idothea baltica,0,1,1,0,1
Baltic,1920,567846,Macoma baltica siphons,0,1,1,0,11
Baltic,1930,67511,Arenicola marina,0,1,1,0,1
Baltic,1930,68422,Naidae,0,1,1,0,1
Baltic,1930,70178,Neritina fluviatilis,0,3,3,0,3
Baltic,1930,70405,Littorina rudis,0,6,6,0,6
Baltic,1930,70499,Hydrobia ulvae,0,5,5,0,5
Baltic,1930,70797,Rissoa sp.,0,4,4,0,4
Baltic,1930,76494,Limnaea ovata,0,2,2,0,2
Baltic,1930,79454,Mytilus edulis,0,2,2,0,2
Baltic,1930,80901,Cerastoderma edule,0,1,1,0,2
Baltic,1930,81692,Mya arenaria,0,1,1,0,1
Baltic,1930,83677,Crustacean remains,0,1,1,0,1
Baltic,1930,85258,Copepod,0,1,1,0,1
Baltic,1930,89856,Mysis spp.,0,3,3,0,3
Baltic,1930,92152,Cyathura carinata,0,2,2,0,2
Baltic,1930,92588,Idothea viridis,0,6,6,0,6
Baltic,1930,93440,Aoridae,0,2,2,0,2
Baltic,1930,93601,Corophium volutator,0,1,1,0,1
Baltic,1930,93775,Gammarus locusta,0,6,6,0,7
Baltic,1930,96213,Leander adspersus,0,6,6,0,6
Baltic,1930,97118,Crangon vulgaris,0,4,4,0,5
Baltic,1930,101797,Orthetrum cancellatum,0,1,1,0,1
Baltic,1930,116632,Oecetis ochracea,0,1,1,0,1
Baltic,1930,118831,Insect larvae,0,1,1,0,1
Baltic,1930,127917,Chironomid,0,3,3,0,3
Baltic,1930,161128,ELE,17,0,17,18,0
Baltic,1930,163761,FRO,6,0,6,6,0
Baltic,1930,164712,COD,10,0,10,10,0
Baltic,1930,165324,ELP,8,0,8,8,0
Baltic,1930,166365,Gasterosteus aculeatus,0,3,3,0,4
Baltic,1930,166387,Gasterosteus pungitius,0,4,4,0,4
Baltic,1930,167318,BRT,14,0,14,14,0
Baltic,1930,171850,Gobius niger,5,2,7,5,2
Baltic,1930,171978,Pomatoschistus minutus,0,1,1,0,1
Baltic,1930,172894,FLE,19,0,19,22,0
Baltic,1930,205622,Cardium exiguum,0,4,4,0,4
Baltic,1930,567846,Macoma baltica,0,1,1,0,1
Baltic,1980,10686,Algae,0,1,1,0,2
Baltic,1980,83677,Crustacea,0,1,1,0,2
Baltic,1980,93786,Gammarus oceanicus,0,1,1,0,2
Baltic,1980,96106,Shrimps,0,1,1,0,1
Baltic,1980,118831,Insect,0,1,1,0,2
Baltic,1980,161105,Fish remains,0,1,1,0,2
Baltic,1980,161700,Clupeoid,0,1,1,0,2
Baltic,1980,162039,Osmerus eperlanus,0,1,1,0,1
Baltic,1980,163342,Cyprinidae,0,1,1,0,1
Baltic,1980,165594,Belone,15,1,16,25,1
Baltic,1980,166365,Gasterosteids,0,1,1,0,2
Baltic,1980,171671,Ammodytes sp.,0,1,1,0,2
Baltic,1980,174371,Bird's leg,0,1,1,0,1
Baltic,1980,202422,Plant material (terrestrial),0,1,1,0,2
Baltic,1980,542674,Idotea baltica,0,1,1,0,2
Barents Sea,1900,97153,Sclerocrangon boreas,0,1,1,0,2
Barents Sea,1900,160611,GSK,5,0,5,6,0
Barents Sea,1900,161105,Fish remains,0,1,1,0,1
Barents Sea,1900,161996,Salmon,0,1,1,0,1
Barents Sea,1900,164712,Cod,0,1,1,0,2
Barents Sea,1900,172877,Long-rough dab,0,1,1,0,1
Barents Sea,1900,172902,Plaice,0,1,1,0,1
Barents Sea,1900,564149,SYR,1,0,1,2,0
Barents Sea,1930,52573,Tealia felina (actinaria),0,1,1,0,1
Barents Sea,1930,52659,Hormathia digitata (actinaria),0,2,2,0,2
Barents Sea,1930,52661,Hormathia nodosa (actinaria),0,1,1,0,1
Barents Sea,1930,64358,Polychaete remains,0,2,2,0,16
Barents Sea,1930,69459,Gastropod remains,0,2,2,0,8
Barents Sea,1930,79036,Chiton spp.,0,1,1,0,1
Barents Sea,1930,79118,Bivalve mollusc,0,1,1,0,10
Barents Sea,1930,82348,Rossia glaucopis (cephalopod),0,2,2,0,2
Barents Sea,1930,82419,Gonatus fabricii (squid),0,1,1,0,1
Barents Sea,1930,83547,Nimphon spinosum,0,2,2,0,2
Barents Sea,1930,85544,Euchaeta norvegica (copepod),0,1,1,0,1
Barents Sea,1930,90185,Erythrops (mysid),0,2,2,0,2
Barents Sea,1930,90745,Cumacean,0,1,1,0,1
Barents Sea,1930,93109,Phryxus spp. (isopod),0,1,1,0,1
Barents Sea,1930,93294,Amphipod,0,2,2,0,22
Barents Sea,1930,96106,Caridea (shrimp),0,2,2,0,22
Barents Sea,1930,97307,Reptantia,0,2,2,0,5
Barents Sea,1930,154611,Phascolosoma (sipunculid),0,1,1,0,1
Barents Sea,1930,155054,Gephyrea,0,1,1,0,6
Barents Sea,1930,155157,Priapulus bicaudatus,0,1,1,0,1
Barents Sea,1930,157382,Ophiuroid,0,2,2,0,14
Barents Sea,1930,157821,Echinoid remains (urchin),0,2,2,0,11
Barents Sea,1930,158140,Holothurian,0,2,2,0,2
Barents Sea,1930,161722,Herring,0,2,2,0,9
Barents Sea,1930,162035,Capelin,0,1,1,0,6
Barents Sea,1930,164712,Codling,24,1,25,69,12
Barents Sea,1930,164744,Haddock,23,1,24,99,1
Barents Sea,1930,164756,Norway pout,0,2,2,0,2
Barents Sea,1930,166365,Gasterosteus spp.,0,1,1,0,1
Barents Sea,1930,166745,Sebastes marinus,0,1,1,0,1
Barents Sea,1930,167390,Cottus bubalis,0,1,1,0,1
Barents Sea,1930,172877,Drepanopsetta spp.,0,1,1,0,1
Barents Sea,1930,630982,Lycodes,0,1,1,0,1
Barents Sea,1940,64358,Polychaete,0,1,1,0,1
Barents Sea,1940,85258,Copepods,0,1,1,0,2
Barents Sea,1940,89856,Mysid,0,1,1,0,2
Barents Sea,1940,92120,Isopod,0,1,1,0,2
Barents Sea,1940,93294,Amphipod,0,1,1,0,2
Barents Sea,1940,95500,Euphausid,0,1,1,0,2
Barents Sea,1940,95599,Decapod,0,1,1,0,2
Barents Sea,1940,158784,Sagitta spp,0,1,1,0,1
Barents Sea,1940,161105,Fish remains,0,1,1,0,1
Barents Sea,1940,164712,COD,9,0,9,15,0
Barents Sea,1950,51483,EH-Jellyfish,0,1,1,0,41
Barents Sea,1950,51938,EH-Anemone,0,2,2,0,8
Barents Sea,1950,53856,EH-Ctenophore,0,1,1,0,9
Barents Sea,1950,53862,EH-Pleurobranchia,0,2,2,0,2
Barents Sea,1950,53869,EH-Beroe,0,1,1,0,73
Barents Sea,1950,59490,EH-Parasitic nematodes,0,1,1,0,1
Barents Sea,1950,64358,EH-Polychaete,0,3,3,0,48
Barents Sea,1950,64366,EH-Aphrodite,0,1,1,0,1
Barents Sea,1950,68232,EH-Tubeworm,0,2,2,0,7
Barents Sea,1950,69458,EH-Mollusc remains,0,2,2,0,2
Barents Sea,1950,69459,EH-Gastropod,0,2,2,0,16
Barents Sea,1950,73726,EH-Whelk,0,1,1,0,2
Barents Sea,1950,79118,EH-Lamellibranch,0,2,2,0,9
Barents Sea,1950,80836,EH-Astarte,0,1,1,0,1
Barents Sea,1950,81587,EH-Blue venus,0,1,1,0,1
Barents Sea,1950,82419,EH-Squid,0,1,1,0,3
Barents Sea,1950,82590,EH-Octopus,0,1,1,0,1
Barents Sea,1950,85258,EH-Zooplankton,0,1,1,0,2
Barents Sea,1950,85544,EH-Euchaeta,0,1,1,0,4
Barents Sea,1950,89856,EH-Mysid,0,1,1,0,1
Barents Sea,1950,90185,EH-Erythrops (mysid),0,1,1,0,4
Barents Sea,1950,90745,EH-Cumacean,0,1,1,0,1
Barents Sea,1950,92120,EH-Isopod,0,1,1,0,1
Barents Sea,1950,93294,EH-Amphipod,0,2,2,0,36
Barents Sea,1950,93745,EH-Amphipod (Gammarid),0,1,1,0,7
Barents Sea,1950,95154,EH-Themisto abyssorum,0,1,1,0,5
Barents Sea,1950,95168,EH-Themisto libellula,0,1,1,0,1
Barents Sea,1950,95573,EH-Thysanoessa (euphausid),0,4,4,0,82
Barents Sea,1950,96106,EH-Shrimp,0,2,2,0,13
Barents Sea,1950,96967,EH-Pink shrimp,0,2,2,0,150
Barents Sea,1950,97106,EH-Brown shrimp,0,1,1,0,10
Barents Sea,1950,97153,EH-Sclerocrangon,0,1,1,0,8
Barents Sea,1950,97171,EH-Sabinea septemcarinata,0,1,1,0,9
Barents Sea,1950,97172,EH-Sabinea sarsii,0,1,1,0,1
Barents Sea,1950,97811,EH-Hermit crab,0,2,2,0,8
Barents Sea,1950,98423,EH-Crab,0,1,1,0,7
Barents Sea,1950,155156,EH-Priapulus,0,1,1,0,1
Barents Sea,1950,156862,EH-Starfish,0,1,1,0,1
Barents Sea,1950,156939,EH-Ctenodiscus,0,1,1,0,1
Barents Sea,1950,157382,EH-Ophiuroid,0,2,2,0,34
Barents Sea,1950,157821,EH-Urchin,0,1,1,0,16
Barents Sea,1950,158784,EH-Chaetognath,0,1,1,0,6
Barents Sea,1950,160846,EH-Skate eggcase,0,1,1,0,2
Barents Sea,1950,161105,EH-Larvae - fish,0,2,2,0,294
Barents Sea,1950,161700,EH-Clupeoid,0,1,1,0,6
Barents Sea,1950,161722,EH-Whitebait (herring),0,2,2,0,88
Barents Sea,1950,162035,EH-Capelin,1,3,4,25,381
Barents Sea,1950,164701,EH-Gadoid,0,1,1,0,30
Barents Sea,1950,164706,EH-Gadus saida (polar cod),0,1,1,0,23
Barents Sea,1950,164712,EH-Codling,62,1,63,1525,103
Barents Sea,1950,164744,EH-Haddock,17,1,18,97,24
Barents Sea,1950,166745,EH-Sebastes,0,1,1,0,4
Barents Sea,1950,167207,EH-Centridermichthys (Cottus),0,1,1,0,7
Barents Sea,1950,167255,EH-Bullhead,0,1,1,0,11
Barents Sea,1950,167311,EH-Cottus,0,1,1,0,4
Barents Sea,1950,167375,EH-Triglops,0,1,1,0,5
Barents Sea,1950,167454,EH-Agonus,0,1,1,0,1
Barents Sea,1950,171336,EH-Catfish,0,1,1,0,3
Barents Sea,1950,172702,EH-Flatfish,0,1,1,0,5
Barents Sea,1950,172877,EH-Long-rough dab,0,2,2,0,44
Barents Sea,1950,172881,EH-Dab,0,1,1,0,3
Barents Sea,1950,172902,PLE,3,0,3,29,0
Barents Sea,1950,172930,GLH,3,0,3,12,0
Barents Sea,1950,564149,EH-Starry ray,0,1,1,0,1
Barents Sea,1950,630982,EH-Lycodes,0,1,1,0,3
Barents Sea,1950,631023,EH-Lumpenus,0,1,1,0,11
Barents Sea,1950,656448,EH-Themisto spp.,0,1,1,0,1
Barents Sea,1960,51483,Jellyfish (medusae),0,1,1,0,1
Barents Sea,1960,51938,EH-Anemone,0,2,2,0,5
Barents Sea,1960,53869,EH-Beroe,0,2,2,0,17
Barents Sea,1960,64358,Worm,0,1,1,0,1
Barents Sea,1960,65902,EH-Nereis,0,1,1,0,1
Barents Sea,1960,93294,Amphipod,0,2,2,0,22
Barents Sea,1960,95154,EH-Themisto,0,1,1,0,3
Barents Sea,1960,95500,Euphausid,0,2,2,0,5
Barents Sea,1960,95573,EH-Euphausids,0,1,1,0,1
Barents Sea,1960,96106,EH-Shrimp,0,1,1,0,27
Barents Sea,1960,96966,Pandalus spp.,0,1,1,0,4
Barents Sea,1960,96967,EH-Pandalus,0,1,1,0,6
Barents Sea,1960,97171,EH-Sabinea sept...,0,1,1,0,2
Barents Sea,1960,97811,EH-Eupagurus,0,1,1,0,1
Barents Sea,1960,98670,Crab,0,1,1,0,1
Barents Sea,1960,155054,EH-Gephyrea,0,2,2,0,4
Barents Sea,1960,156857,EH-Echinoderm,0,1,1,0,3
Barents Sea,1960,156862,Asteroids,0,1,1,0,1
Barents Sea,1960,157382,EH-Ophiuroid,0,1,1,0,25
Barents Sea,1960,158140,EH-Holothurian,0,1,1,0,1
Barents Sea,1960,161105,EH-Fish remains,0,2,2,0,57
Barents Sea,1960,161722,EH-Herring,0,1,1,0,19
Barents Sea,1960,162035,EH-Capelin,0,1,1,0,5
Barents Sea,1960,164712,EH-0-group cod,25,1,26,199,22
Barents Sea,1960,164744,HAD,10,0,10,44,0
Barents Sea,1960,164754,Poor cod,0,1,1,0,1
Barents Sea,1960,167196,EH-Cottid (bullhead),0,1,1,0,1
Barents Sea,1960,172877,Long-rough dab,0,1,1,0,3
Barents Sea,1960,172881,EH-Dab,0,1,1,0,3
Barents Sea,1960,631023,EH-Lumpenus,0,1,1,0,1
Biscay,1970,82326,Cephalopod,0,1,1,0,1
Biscay,1970,85258,Planktonic crustacean remains,0,1,1,0,18
Biscay,1970,95500,Euphausiid,0,1,1,0,3
Biscay,1970,95599,Decapod larvae,0,1,1,0,1
Biscay,1970,98670,Crab NEI,0,1,1,0,3
Biscay,1970,159632,Salps,0,1,1,0,1
Biscay,1970,161105,Fish eggs,0,1,1,0,13
Biscay,1970,172414,Mackerel eggs,8,1,9,44,4
Biscay,1980,2287,Phytoplankton,0,1,1,0,1
Biscay,1980,39074,Zostera sp.,0,1,1,0,2
Biscay,1980,59490,Nematode worm,0,1,1,0,1
Biscay,1980,64358,Polychaete,0,1,1,0,6
Biscay,1980,65096,Leanina yhleni,0,1,1,0,4
Biscay,1980,66355,Lumbriconereis,0,1,1,0,1
Biscay,1980,67429,Notomastus sp.,0,1,1,0,4
Biscay,1980,67594,Clymene oerstedii,0,1,1,0,6
Biscay,1980,67607,Leiochone clypeata,0,1,1,0,1
Biscay,1980,67713,Pectinaria koreni,0,1,1,0,7
Biscay,1980,69458,Mollusc siphons,0,1,1,0,7
Biscay,1980,76176,Philine quadripartita,0,1,1,0,7
Biscay,1980,82326,Cephalopoda,0,1,1,0,1
Biscay,1980,83677,Crustacean,0,1,1,0,6
Biscay,1980,85258,Copepods & ostracods,0,2,2,0,242
Biscay,1980,90745,Cumacea,0,1,1,0,5
Biscay,1980,93294,Amphipoda,0,2,2,0,13
Biscay,1980,93343,Ampelisca brevicornis,0,1,1,0,8
Biscay,1980,94200,Leucothoe incisa,0,1,1,0,5
Biscay,1980,94581,Perioculodes longimanus,0,1,1,0,5
Biscay,1980,95500,Euphausids,0,3,3,0,22
Biscay,1980,95534,C551,0,1,1,0,6
Biscay,1980,95599,Decapod,0,1,1,0,3
Biscay,1980,98667,C662,0,1,1,0,2
Biscay,1980,98738,C666,0,2,2,0,4
Biscay,1980,98743,C664,0,1,1,0,1
Biscay,1980,158595,C452,0,1,1,0,3
Biscay,1980,159632,Salp,0,1,1,0,11
Biscay,1980,161105,UI fish remains,0,3,3,0,30
Biscay,1980,161813,C712,0,2,2,0,3
Biscay,1980,161831,Engraulis encrasicolus,0,1,1,0,1
Biscay,1980,162071,C720,0,1,1,0,3
Biscay,1980,162171,C722,0,1,1,0,1
Biscay,1980,164744,HAD,2,0,2,4,0
Biscay,1980,164753,C746,0,1,1,0,5
Biscay,1980,164754,C748,0,2,2,0,7
Biscay,1980,164756,C747,0,1,1,0,1
Biscay,1980,164772,C743,0,1,1,0,1
Biscay,1980,164774,Micromesistius poutassou,0,4,4,0,136
Biscay,1980,164795,HKE,10,0,10,101,0
Biscay,1980,165332,C750,0,1,1,0,1
Biscay,1980,165612,Scomberesox saurus,0,1,1,0,1
Biscay,1980,166320,C772,0,1,1,0,1
Biscay,1980,168588,Trachurus trachurus,0,4,4,0,20
Biscay,1980,172414,Mackerel eggs,10,1,11,454,142
Biscay,1980,172421,BFT,8,0,8,8,0
Biscay,1980,172702,C780,0,1,1,0,2
Biscay,1980,172805,C785,0,1,1,0,2
Biscay,1980,172835,MEG,15,0,15,95,0
Biscay,1980,173002,SOL,18,0,18,89,0
Biscay,1980,173026,C783,0,1,1,0,1
Biscay,1980,206492,Harpinia antennaria,0,1,1,0,8
Biscay,1980,573712,Polybius henslowii,0,1,1,0,1
Biscay,1990,2287,Phytoplankton,0,1,1,0,32
Biscay,1990,64358,Polychaete,0,5,5,0,28
Biscay,1990,68076,Fan-worm,0,2,2,0,3
Biscay,1990,69458,Mollusc,0,1,1,0,1
Biscay,1990,69459,Gastropod,0,2,2,0,5
Biscay,1990,82326,Cephalopod,0,1,1,0,2
Biscay,1990,82357,Sepiola,0,4,4,0,6
Biscay,1990,82363,Cuttlefish,0,2,2,0,2
Biscay,1990,82369,Squid,0,1,1,0,1
Biscay,1990,82523,Ilex coindetii,0,1,1,0,1
Biscay,1990,83677,Crustacean,0,12,12,0,57
Biscay,1990,85258,Copepod,0,7,7,0,60
Biscay,1990,89856,Mysid,0,3,3,0,6
Biscay,1990,92120,Isopod,0,4,4,0,10
Biscay,1990,93294,Amphipod,0,7,7,0,27
Biscay,1990,95500,Euphausid,0,11,11,0,66
Biscay,1990,96106,Shrimp (unidentified),0,7,7,0,22
Biscay,1990,96646,Snapping-prawn (Alpheus),0,4,4,0,18
Biscay,1990,96966,Pink shrimp (Pandalus),0,9,9,0,14
Biscay,1990,97106,Crangon,0,4,4,0,9
Biscay,1990,97317,Nephrops,0,1,1,0,1
Biscay,1990,97774,Hermit-crab,0,2,2,0,3
Biscay,1990,97973,Munida (squat lobster),0,3,3,0,7
Biscay,1990,98047,Galathea (squat lobster),0,1,1,0,2
Biscay,1990,98670,Crab,0,4,4,0,5
Biscay,1990,98744,Macropipus (velvet swimming crab),0,3,3,0,5
Biscay,1990,157382,Brittlestar,0,2,2,0,5
Biscay,1990,158140,Holothurian,0,1,1,0,1
Biscay,1990,158588,Featherstar,0,1,1,0,1
Biscay,1990,158784,Sagitta,0,1,1,0,1
Biscay,1990,159632,Salp,0,1,1,0,1
Biscay,1990,159844,SVS,1,0,1,1,0
Biscay,1990,160065,Lesser-spotted dogfish,25,2,27,70,5
Biscay,1990,160901,THR,4,0,4,5,0
Biscay,1990,161105,Fish (unidentified),0,11,11,0,57
Biscay,1990,161813,Pilchard,2,4,6,2,19
Biscay,1990,162071,Lesser-silver smelt (Argentine),6,5,11,15,23
Biscay,1990,162575,Myctophid,0,1,1,0,1
Biscay,1990,164501,MON,4,0,4,4,0
Biscay,1990,164502,WAF,1,0,1,1,0
Biscay,1990,164754,Poor-cod,11,4,15,42,8
Biscay,1990,164755,BIB,1,1,2,1,1
Biscay,1990,164758,WHG,4,0,4,7,0
Biscay,1990,164774,Blue-whiting,6,2,8,11,4
Biscay,1990,164795,Hake,18,1,19,84,1
Biscay,1990,166287,JOD,2,0,2,5,0
Biscay,1990,166320,BOF,5,0,5,17,0
Biscay,1990,167044,GUG,3,0,3,5,0
Biscay,1990,168588,Scad,7,6,13,75,11
Biscay,1990,168590,HMM,6,0,6,14,0
Biscay,1990,169418,MUR,8,0,8,33,0
Biscay,1990,170281,Red-bandfish,0,1,1,0,2
Biscay,1990,171698,Dragonet,0,2,2,0,6
Biscay,1990,171746,Goby,0,7,7,0,19
Biscay,1990,172414,Mackerel,7,5,12,76,7
Biscay,1990,172702,Flatfish,0,1,1,0,1
Biscay,1990,172835,Megrim,8,2,10,29,2
Biscay,1990,172888,LEM,2,0,2,4,0
Biscay,1990,173026,Thick-backed sole,0,2,2,0,2
Biscay,1990,564134,SHR,2,0,2,2,0
Biscay,1990,564143,CUR,17,0,17,39,0
Biscay,1990,692071,GUR,15,0,15,29,0
Biscay,2010,95108,Hyperiid amphipod,0,1,1,0,12
Biscay,2010,95500,Euphausiid,0,1,1,0,13
Biscay,2010,95534,Meganyctiphanes norvegica,0,1,1,0,4
Biscay,2010,96174,Pasiphaea sivado,0,1,1,0,4
Biscay,2010,161105,Fish remains,0,1,1,0,4
Biscay,2010,161831,Engraulidae,0,1,1,0,1
Biscay,2010,162575,Myctophid,0,1,1,0,3
Biscay,2010,164774,M. poutassou,9,1,10,86,1
Biscay,2010,660857,Nyctiphanes couchii,0,1,1,0,44
Celtic Sea,1880,49901,Sertularella (hydroid),0,1,1,0,1
Celtic Sea,1880,64358,Chaetopoda (polychaete) remains,0,1,1,0,2
Celtic Sea,1880,64381,Hermione spp. (polychaete),0,1,1,0,3
Celtic Sea,1880,67763,Melinna cristata,0,1,1,0,1
Celtic Sea,1880,67982,Thelepus circinnata (polychaete),0,1,1,0,5
Celtic Sea,1880,79118,Lamellibranch,0,1,1,0,6
Celtic Sea,1880,96106,Shrimp,0,1,1,0,1
Celtic Sea,1880,154611,Sipunculus,0,1,1,0,1
Celtic Sea,1880,156033,Cellaria fistulosa,0,1,1,0,1
Celtic Sea,1880,173002,SOL,10,0,10,22,0
Celtic Sea,1880,621136,Lumbriconereis sp.,0,1,1,0,1
Celtic Sea,1920,82326,Cephalopod,0,1,1,0,4
Celtic Sea,1920,82369,Squid,0,1,1,0,2
Celtic Sea,1920,96174,Pasiphaea,0,1,1,0,1
Celtic Sea,1920,96966,Pandalus,0,1,1,0,1
Celtic Sea,1920,97973,Munida (squat lobster),0,1,1,0,1
Celtic Sea,1920,161700,Clupeoid,0,1,1,0,2
Celtic Sea,1920,162071,Argentina spp.,0,1,1,0,5
Celtic Sea,1920,162187,Scopelus mulleri,0,1,1,0,2
Celtic Sea,1920,164748,Motella spp.,0,1,1,0,1
Celtic Sea,1920,164751,Phycis,0,1,1,0,2
Celtic Sea,1920,164755,Bib,0,1,1,0,1
Celtic Sea,1920,164758,Whiting,0,1,1,0,1
Celtic Sea,1920,164772,Gadiculus,0,1,1,0,3
Celtic Sea,1920,164774,Blue whiting,0,1,1,0,3
Celtic Sea,1920,164795,Hake,17,1,18,39,5
Celtic Sea,1920,166326,OPA,1,0,1,2,0
Celtic Sea,1920,171971,Crystallogobius,0,1,1,0,1
Celtic Sea,1920,172414,Mackerel,0,1,1,0,4
Celtic Sea,1920,172835,Megrim,0,1,1,0,2
Celtic Sea,1950,97317,Nephrops,0,1,1,0,1
Celtic Sea,1950,98738,Portunus (swimming crab),0,1,1,0,1
Celtic Sea,1950,98917,Gonoplax rhomboides,0,1,1,0,1
Celtic Sea,1950,164712,COD,4,0,4,4,0
Celtic Sea,1950,164758,Whiting,0,1,1,0,1
Celtic Sea,1960,51938,Anemone,0,1,1,0,1
Celtic Sea,1960,57335,Diphyllobothrium (parasite),0,1,1,0,1
Celtic Sea,1960,65902,Nereidae,0,1,1,0,1
Celtic Sea,1960,65991,Nereis diversicolor,0,1,1,0,1
Celtic Sea,1960,67511,Arenicola marina,0,1,1,0,1
Celtic Sea,1960,69459,Small gastropod,0,1,1,0,19
Celtic Sea,1960,70499,Gastropod (Sabanea ulvae),0,1,1,0,1
Celtic Sea,1960,79118,Broken shell,0,2,2,0,2
Celtic Sea,1960,83677,Crustacean remains,0,3,3,0,7
Celtic Sea,1960,84195,Ostracod,0,1,1,0,1
Celtic Sea,1960,85258,Copepods,0,1,1,0,1
Celtic Sea,1960,85272,Calanus finmarchicus,0,1,1,0,6
Celtic Sea,1960,85766,Centropages hamatus (copepod),0,1,1,0,10
Celtic Sea,1960,85767,Centropages typicus (copepod),0,1,1,0,1
Celtic Sea,1960,85877,Temora longicornis,0,1,1,0,4
Celtic Sea,1960,89856,Mysid,0,1,1,0,3
Celtic Sea,1960,93294,Amphipoda,0,1,1,0,3
Celtic Sea,1960,93601,Corophium volutator,0,1,1,0,1
Celtic Sea,1960,93745,Gammarid amphipod,0,1,1,0,1
Celtic Sea,1960,95500,Euphausiacea,0,3,3,0,4
Celtic Sea,1960,95534,Meganyctiphanes norvegica,0,1,1,0,12
Celtic Sea,1960,96106,Shrimp/Prawn,0,1,1,0,3
Celtic Sea,1960,96451,Palaemon serratus,0,1,1,0,1
Celtic Sea,1960,96752,Hippolyte,0,1,1,0,1
Celtic Sea,1960,96966,Pandalus,0,1,1,0,1
Celtic Sea,1960,96971,Pandalus montagui,0,1,1,0,1
Celtic Sea,1960,97106,Crangon,0,2,2,0,10
Celtic Sea,1960,97118,Crangon vulgaris,0,1,1,0,1
Celtic Sea,1960,97317,Nephrops norvegicus,0,1,1,0,1
Celtic Sea,1960,97774,Paguridae (hermit crab),0,1,1,0,1
Celtic Sea,1960,98086,Porcellana,0,1,1,0,1
Celtic Sea,1960,98276,Zoea larvae,0,1,1,0,6
Celtic Sea,1960,98681,Cancer pagurus,0,1,1,0,1
Celtic Sea,1960,98734,Carcinus maenas,0,1,1,0,1
Celtic Sea,1960,98738,Portunidae (swimming crabs),0,1,1,0,4
Celtic Sea,1960,98740,Liocarcinus holsatus,0,1,1,0,1
Celtic Sea,1960,98917,Gonoplax,0,1,1,0,2
Celtic Sea,1960,160880,BLR,10,0,10,10,0
Celtic Sea,1960,160900,UNR,6,0,6,6,0
Celtic Sea,1960,161105,Roundfish remains,0,6,6,0,16
Celtic Sea,1960,161700,Clupeidae,0,3,3,0,3
Celtic Sea,1960,161789,Sprat,0,1,1,0,8
Celtic Sea,1960,161997,Salmo trutta,0,1,1,0,1
Celtic Sea,1960,164701,Gadoid remains,0,1,1,0,2
Celtic Sea,1960,164751,GFB,8,0,8,22,0
Celtic Sea,1960,164754,Trisopterus minutus,0,1,1,0,1
Celtic Sea,1960,164758,WHG,6,0,6,20,0
