sea,decade,hauls,predator_records,prey_records,taxon_nodes,predator_taxa,prey_taxa,directed_edges,self_loops,connectance_l_over_s2,nonself_directed_density,links_per_taxon,mean_prey_taxa_per_predator,mean_predators_per_prey_taxon,max_out_degree,max_in_degree,mean_total_degree,max_total_degree,weak_components,largest_component_taxa,largest_component_pct,top_10_edge_record_share_pct
Irish Sea,2010,231,2136,4073,238,49,201,484,2,0.00854459430831156,0.00854519022798993,2.033613445378151,9.877551020408163,2.4079601990049753,103,26,4.067226890756302,106,2,236,99.15966386554622,34.593665602749816
Freshwater,1960,66,80,1359,202,11,196,483,3,0.011837074796588569,0.011822077730161076,2.391089108910891,43.90909090909091,2.4642857142857144,114,9,4.782178217821782,116,1,202,100.0,20.16188373804268
Channel,1930,46,202,1513,151,38,118,443,0,0.019428972413490637,0.01955849889624724,2.933774834437086,11.657894736842104,3.7542372881355934,54,23,5.867549668874172,55,1,151,100.0,13.879709187045604
North Sea,1960,131,1590,3699,186,24,177,438,2,0.012660423170308707,0.012670735251380412,2.3548387096774195,18.25,2.4745762711864407,121,14,4.709677419354839,124,1,186,100.0,32.30602865639362
Celtic Sea,1980,1051,4944,10124,199,13,193,421,4,0.010631044670589127,0.010583219125932694,2.1155778894472363,32.38461538461539,2.1813471502590676,83,9,4.231155778894473,83,1,199,100.0,29.71157645199526
North Sea,1950,213,1436,3406,205,24,193,414,2,0.009851279000594884,0.009851745576279292,2.0195121951219512,17.25,2.145077720207254,104,17,4.0390243902439025,107,2,203,99.02439024390245,34.116265413975334
Freshwater,1930,51,72,731,155,23,140,342,1,0.014235171696149844,0.014285714285714285,2.206451612903226,14.869565217391305,2.442857142857143,95,19,4.412903225806452,95,1,155,100.0,27.77017783857729
North Sea,2010,107,2771,5066,228,12,216,327,0,0.0062903970452446905,0.006318108045444006,1.4342105263157894,27.25,1.5138888888888888,178,7,2.8684210526315788,178,1,228,100.0,39.71575207264114
Channel,1920,48,312,1084,84,31,53,313,0,0.044359410430839005,0.0448938611589214,3.7261904761904763,10.096774193548388,5.90566037735849,21,20,7.4523809523809526,21,1,84,100.0,22.509225092250922
North Sea,1930,200,378,2485,168,12,164,311,3,0.011018990929705215,0.010978043912175649,1.8511904761904763,25.916666666666668,1.896341463414634,54,8,3.7023809523809526,55,1,168,100.0,46.59959758551308
Irish Sea,1970,96,640,1982,118,23,104,301,0,0.02161735133582304,0.021802115022454004,2.5508474576271185,13.08695652173913,2.894230769230769,60,18,5.101694915254237,60,1,118,100.0,39.25327951564077
W Scotland,1960,46,173,771,182,10,176,296,1,0.008936118826228715,0.00895513326452553,1.6263736263736264,29.6,1.6818181818181819,79,7,3.2527472527472527,79,1,182,100.0,25.03242542153048
W Ireland,1980,64,217,1001,108,16,92,287,0,0.02460562414266118,0.0248355832467982,2.6574074074074074,17.9375,3.119565217391304,33,14,5.314814814814815,33,1,108,100.0,23.476523476523475
Irish Sea,2000,173,1762,4148,156,17,145,273,0,0.011217948717948718,0.01129032258064516,1.75,16.058823529411764,1.8827586206896552,97,12,3.5,98,1,156,100.0,49.30086788813886
Irish Sea,1910,11,17,270,98,16,87,266,0,0.027696793002915453,0.027982326951399118,2.7142857142857144,16.625,3.057471264367816,46,11,5.428571428571429,48,1,98,100.0,5.185185185185185
W Ireland,1970,71,127,1233,117,18,101,264,0,0.01928555774709621,0.019451812555260833,2.2564102564102564,14.666666666666666,2.613861386138614,46,14,4.512820512820513,46,2,112,95.72649572649573,18.085969180859692
Channel,1990,23,315,566,106,28,84,260,1,0.023139907440370238,0.023270440251572325,2.452830188679245,9.285714285714286,3.0952380952380953,32,15,4.90566037735849,32,2,104,98.11320754716981,25.795053003533567
Channel,2000,47,551,1118,120,21,102,251,0,0.017430555555555557,0.01757703081232493,2.091666666666667,11.952380952380953,2.4607843137254903,37,12,4.183333333333334,37,2,117,97.5,34.79427549194991
Celtic Sea,1970,69,380,930,118,16,109,243,3,0.017451881643205977,0.017383746197305518,2.059322033898305,15.1875,2.229357798165138,41,13,4.11864406779661,41,1,118,100.0,26.559139784946236
Spitzbergen (Greenland Sea),1950,733,9938,15047,159,10,155,240,1,0.009493295360151893,0.009513573760050952,1.509433962264151,24.0,1.5483870967741935,143,6,3.018867924528302,147,1,159,100.0,71.89472984648103
Irish Sea,1960,126,1517,2015,108,32,81,240,2,0.0205761316872428,0.020595361716857045,2.2222222222222223,7.5,2.962962962962963,36,17,4.444444444444445,40,1,108,100.0,42.8287841191067
Skagerrak,1980,10,30,446,146,4,142,229,0,0.010743103771814599,0.0108171941426547,1.5684931506849316,57.25,1.6126760563380282,100,4,3.136986301369863,100,1,146,100.0,45.51569506726457
North Sea,1920,313,363,2753,184,2,184,202,2,0.005966446124763705,0.005939653124257543,1.0978260869565217,101.0,1.0978260869565217,103,2,2.1956521739130435,104,1,184,100.0,32.00145296040683
Irish Sea,1900,50,280,505,134,24,112,197,0,0.010971263087547338,0.01105375378745371,1.4701492537313432,8.208333333333334,1.7589285714285714,46,8,2.9402985074626864,46,1,134,100.0,40.0
Freshwater,1970,19,22,492,138,6,134,190,0,0.009976895610165931,0.010049719665714588,1.3768115942028984,31.666666666666668,1.4179104477611941,100,5,2.753623188405797,100,1,138,100.0,25.203252032520325
Channel,1980,17,79,381,106,14,94,176,1,0.015663937344250624,0.015723270440251572,1.6603773584905661,12.571428571428571,1.872340425531915,46,8,3.3207547169811322,47,1,106,100.0,19.68503937007874
W Scotland,1980,47,286,615,119,7,115,170,0,0.012004801920768308,0.012106537530266344,1.4285714285714286,24.285714285714285,1.4782608695652173,45,4,2.857142857142857,45,1,119,100.0,44.71544715447155
Biscay,1990,15,407,571,62,24,48,165,3,0.04292403746097815,0.04283447911158118,2.661290322580645,6.875,3.4375,25,12,5.32258064516129,27,2,60,96.7741935483871,33.274956217162874
W Scotland,1990,5,13,216,81,7,74,154,0,0.023472031702484377,0.023765432098765433,1.9012345679012346,22.0,2.081081081081081,31,7,3.802469135802469,31,1,81,100.0,20.37037037037037
Irish Sea,1890,66,233,435,70,18,54,153,0,0.031224489795918367,0.031677018633540374,2.1857142857142855,8.5,2.8333333333333335,25,15,4.371428571428571,25,1,70,100.0,30.114942528735632
Channel,2010,37,533,1139,114,8,106,148,0,0.01138811942136042,0.011488899239248564,1.2982456140350878,18.5,1.3962264150943395,85,5,2.5964912280701755,85,2,112,98.24561403508773,52.15100965759438
Channel,1900,92,159,1007,90,15,75,126,0,0.015555555555555555,0.015730337078651686,1.4,8.4,1.68,22,6,2.8,22,1,90,100.0,51.042701092353525
Freshwater,1940,12,15,281,78,4,76,125,0,0.020545693622616698,0.020812520812520812,1.6025641025641026,31.25,1.644736842105263,37,4,3.2051282051282053,37,1,78,100.0,21.708185053380785
Freshwater,1950,28,240,1607,73,7,72,121,3,0.02270594858322387,0.022450532724505326,1.6575342465753424,17.285714285714285,1.6805555555555556,34,5,3.315068493150685,37,1,73,100.0,48.10205351586808
Faeroes,1960,151,1215,1863,87,6,85,116,1,0.01532567049808429,0.01537022186581128,1.3333333333333333,19.333333333333332,1.3647058823529412,84,5,2.6666666666666665,86,1,87,100.0,59.20558239398819
Freshwater,1980,42,58,391,64,7,58,107,1,0.026123046875,0.02628968253968254,1.671875,15.285714285714286,1.8448275862068966,32,5,3.34375,32,1,64,100.0,38.87468030690537
W Scotland,1900,14,28,114,91,16,75,107,0,0.012921144789276657,0.013064713064713065,1.1758241758241759,6.6875,1.4266666666666667,27,6,2.3516483516483517,27,2,88,96.7032967032967,14.912280701754385
Spitzbergen (Greenland Sea),1940,126,2293,4093,72,4,72,103,1,0.01986882716049383,0.01995305164319249,1.4305555555555556,25.75,1.4305555555555556,61,3,2.861111111111111,64,1,72,100.0,78.54874175421452
Spitzbergen (Greenland Sea),1930,42,253,520,82,5,80,99,1,0.014723378941106485,0.014754591990364349,1.2073170731707317,19.8,1.2375,69,3,2.4146341463414633,71,1,82,100.0,65.0
W Scotland,1950,22,24,433,73,6,67,99,0,0.018577594295364985,0.018835616438356163,1.356164383561644,16.5,1.4776119402985075,50,5,2.712328767123288,50,1,73,100.0,36.72055427251732
W Scotland,1970,8,93,223,71,9,62,87,0,0.017258480460226145,0.01750503018108652,1.2253521126760563,9.666666666666666,1.403225806451613,32,5,2.4507042253521125,32,1,71,100.0,45.2914798206278
Barents Sea,1950,96,1122,1688,67,5,65,86,1,0.01915794163510804,0.01922207146087743,1.2835820895522387,17.2,1.323076923076923,62,4,2.5671641791044775,63,1,67,100.0,73.5781990521327
Norwegian Sea,2000,86,1047,2939,50,3,47,86,0,0.0344,0.03510204081632653,1.72,28.666666666666668,1.8297872340425532,38,3,3.44,38,1,50,100.0,67.71010547805376
Rockall,1960,5,37,109,43,12,32,86,0,0.046511627906976744,0.047619047619047616,2.0,7.166666666666667,2.6875,19,8,4.0,21,1,43,100.0,23.853211009174313
Kattegat,2010,16,447,1156,64,2,62,83,0,0.020263671875,0.02058531746031746,1.296875,41.5,1.3387096774193548,47,2,2.59375,47,1,64,100.0,79.93079584775087
Norwegian Sea,1970,3,3,160,81,1,81,81,1,0.012345679012345678,0.012345679012345678,1.0,81.0,1.0,81,1,2.0,82,1,81,100.0,18.75
Baltic,1930,9,11,83,36,7,30,79,0,0.06095679012345679,0.0626984126984127,2.1944444444444446,11.285714285714286,2.6333333333333333,19,6,4.388888888888889,19,1,36,100.0,16.867469879518072
Freshwater,1920,117,183,1218,61,3,58,77,0,0.02069336199946251,0.02103825136612022,1.2622950819672132,25.666666666666668,1.3275862068965518,49,3,2.5245901639344264,49,1,61,100.0,68.63711001642037
Celtic Sea,2000,18,146,257,64,13,52,77,0,0.018798828125,0.019097222222222224,1.203125,5.923076923076923,1.4807692307692308,34,8,2.40625,34,2,62,96.875,50.19455252918288
Celtic Sea,1960,14,85,174,61,6,55,69,0,0.018543402311206665,0.018852459016393444,1.1311475409836065,11.5,1.2545454545454546,26,6,2.262295081967213,26,1,61,100.0,54.02298850574713
W Scotland,1930,63,66,481,51,4,48,67,0,0.02575932333717801,0.02627450980392157,1.3137254901960784,16.75,1.3958333333333333,29,4,2.627450980392157,29,1,51,100.0,68.81496881496882
Faeroes,1950,24,283,385,64,3,62,67,1,0.016357421875,0.01636904761904762,1.046875,22.333333333333332,1.0806451612903225,56,2,2.09375,57,1,64,100.0,76.88311688311688
E Greenland,1950,24,451,1241,66,3,65,67,1,0.015381083562901745,0.015384615384615385,1.0151515151515151,22.333333333333332,1.0307692307692307,65,2,2.0303030303030303,66,1,66,100.0,72.11925866236906
Kattegat,1920,84,105,444,67,1,66,66,0,0.014702606371129428,0.014925373134328358,0.9850746268656716,66.0,1.0,66,1,1.9701492537313432,66,1,67,100.0,65.76576576576576
Biscay,1980,70,531,751,53,6,48,63,1,0.022427910288358846,0.022496371552975326,1.1886792452830188,10.5,1.3125,18,4,2.3773584905660377,18,1,53,100.0,78.82822902796272
Freshwater,1990,83,181,776,32,6,26,60,0,0.05859375,0.06048387096774194,1.875,10.0,2.3076923076923075,15,5,3.75,15,1,32,100.0,54.25257731958763
Norwegian Sea,1940,67,181,494,58,2,58,60,1,0.0178359096313912,0.017846339987900785,1.0344827586206897,30.0,1.0344827586206897,58,2,2.0689655172413794,59,1,58,100.0,72.2672064777328
W Scotland,1880,105,146,237,51,4,50,54,2,0.020761245674740483,0.0203921568627451,1.0588235294117647,13.5,1.08,21,3,2.1176470588235294,22,1,51,100.0,79.32489451476793
Irish Sea,1920,21,149,352,46,4,42,51,0,0.024102079395085067,0.02463768115942029,1.108695652173913,12.75,1.2142857142857142,31,2,2.217391304347826,31,2,44,95.65217391304348,63.06818181818182
Barents Sea,1930,14,28,168,33,2,33,47,1,0.04315886134067952,0.043560606060606064,1.4242424242424243,23.5,1.4242424242424243,24,2,2.8484848484848486,25,1,33,100.0,64.28571428571429
North Sea,1910,9,128,175,45,7,39,45,1,0.022222222222222223,0.022222222222222223,1.0,6.428571428571429,1.1538461538461537,13,3,2.0,15,4,25,55.55555555555556,80.0
Channel,1970,8,19,51,43,7,37,44,0,0.023796646836127637,0.024363233665559248,1.0232558139534884,6.285714285714286,1.1891891891891893,28,3,2.046511627906977,28,3,37,86.04651162790698,33.333333333333336
Skagerrak,1990,5,14,75,28,4,24,43,0,0.0548469387755102,0.056878306878306875,1.5357142857142858,10.75,1.7916666666666667,12,4,3.0714285714285716,12,1,28,100.0,42.666666666666664
Irish Sea,1990,3,21,63,41,2,39,42,0,0.024985127900059488,0.025609756097560974,1.024390243902439,21.0,1.0769230769230769,29,2,2.048780487804878,29,1,41,100.0,49.20634920634921
Norwegian Sea,1960,17,87,119,35,4,32,38,0,0.031020408163265307,0.031932773109243695,1.0857142857142856,9.5,1.1875,15,3,2.1714285714285713,16,2,25,71.42857142857143,71.42857142857143
Spitzbergen (Greenland Sea),1960,15,492,840,31,2,30,38,1,0.03954214360041623,0.03978494623655914,1.2258064516129032,19.0,1.2666666666666666,29,2,2.4516129032258065,30,1,31,100.0,86.30952380952381
Norwegian Sea,1990,11,11,205,38,1,37,37,0,0.025623268698060944,0.02631578947368421,0.9736842105263158,37.0,1.0,37,1,1.9473684210526316,37,1,38,100.0,50.24390243902439
Iceland,1930,11,11,96,37,1,37,37,1,0.02702702702702703,0.02702702702702703,1.0,37.0,1.0,37,1,2.0,38,1,37,100.0,66.66666666666667
Channel,1960,10,98,223,38,2,36,37,0,0.025623268698060944,0.02631578947368421,0.9736842105263158,18.5,1.0277777777777777,25,2,1.9473684210526316,25,1,38,100.0,82.51121076233184
Barents Sea,1960,18,191,243,30,2,29,35,1,0.03888888888888889,0.03908045977011494,1.1666666666666667,17.5,1.206896551724138,25,2,2.3333333333333335,26,1,30,100.0,81.48148148148148
Baltic,1920,39,51,132,36,2,34,34,0,0.026234567901234566,0.026984126984126985,0.9444444444444444,17.0,1.0,31,1,1.8888888888888888,31,2,32,88.88888888888889,71.21212121212122
Kattegat,1910,19,20,90,33,1,32,32,0,0.02938475665748393,0.030303030303030304,0.9696969696969697,32.0,1.0,32,1,1.9393939393939394,32,1,33,100.0,68.88888888888889
Irish Sea,2020,11,110,168,31,1,30,30,0,0.031217481789802288,0.03225806451612903,0.967741935483871,30.0,1.0,30,1,1.935483870967742,30,1,31,100.0,82.73809523809524
North Sea,2020,10,134,211,31,1,30,30,0,0.031217481789802288,0.03225806451612903,0.967741935483871,30.0,1.0,30,1,1.935483870967742,30,1,31,100.0,76.30331753554502
E Greenland,1960,12,93,139,28,2,28,29,1,0.036989795918367346,0.037037037037037035,1.0357142857142858,14.5,1.0357142857142858,28,2,2.0714285714285716,29,1,28,100.0,82.73381294964028
Faeroes,1990,10,10,171,28,1,27,27,0,0.03443877551020408,0.03571428571428571,0.9642857142857143,27.0,1.0,27,1,1.9285714285714286,27,1,28,100.0,52.046783625730995
E Greenland,2010,48,632,1521,14,3,11,26,0,0.1326530612244898,0.14285714285714285,1.8571428571428572,8.666666666666666,2.3636363636363638,11,3,3.7142857142857144,11,1,14,100.0,88.42866535174227
Norwegian Sea,1950,30,329,363,23,2,23,25,1,0.04725897920604915,0.04743083003952569,1.0869565217391304,12.5,1.0869565217391304,23,2,2.1739130434782608,24,1,23,100.0,92.01101928374656
Labrador Sea,1960,13,248,366,25,1,25,25,1,0.04,0.04,1.0,25.0,1.0,25,1,2.0,26,1,25,100.0,88.79781420765028
Norwegian Sea,1980,4,54,183,17,4,13,25,0,0.08650519031141868,0.09191176470588236,1.4705882352941178,6.25,1.9230769230769231,10,4,2.9411764705882355,10,1,17,100.0,82.51366120218579
Iceland,2010,71,874,1692,13,3,10,24,0,0.14201183431952663,0.15384615384615385,1.8461538461538463,8.0,2.4,10,3,3.6923076923076925,10,1,13,100.0,92.25768321513003
Irish Sea,1830,6,11,30,28,5,23,24,0,0.030612244897959183,0.031746031746031744,0.8571428571428571,4.8,1.0434782608695652,12,2,1.7142857142857142,12,4,20,71.42857142857143,53.333333333333336
Channel,2020,3,45,85,22,1,21,21,0,0.04338842975206612,0.045454545454545456,0.9545454545454546,21.0,1.0,21,1,1.9090909090909092,21,1,22,100.0,84.70588235294117
Norwegian Sea,2010,38,500,1087,12,3,9,19,0,0.13194444444444445,0.14393939393939395,1.5833333333333333,6.333333333333333,2.111111111111111,8,3,3.1666666666666665,8,1,12,100.0,87.67249310027599
Kattegat,1950,38,39,266,13,2,11,19,0,0.11242603550295859,0.12179487179487179,1.4615384615384615,9.5,1.7272727272727273,11,2,2.923076923076923,11,1,13,100.0,85.71428571428571
Norwegian Sea,1930,4,8,43,19,1,19,19,1,0.05263157894736842,0.05263157894736842,1.0,19.0,1.0,19,1,2.0,20,1,19,100.0,79.06976744186046
Celtic Sea,1920,6,6,41,19,2,18,18,1,0.04986149584487535,0.049707602339181284,0.9473684210526315,9.0,1.0,17,1,1.894736842105263,18,2,17,89.47368421052632,78.04878048780488
W Ireland,1990,2,4,29,20,2,18,18,0,0.045,0.04736842105263158,0.9,9.0,1.0,12,1,1.8,12,2,13,65.0,72.41379310344827
W Scotland,1920,2,2,17,17,2,17,17,2,0.058823529411764705,0.05514705882352941,1.0,8.5,1.0,10,1,2.0,11,2,10,58.8235294117647,58.8235294117647
W Ireland,1920,8,8,62,16,1,16,16,1,0.0625,0.0625,1.0,16.0,1.0,16,1,2.0,17,1,16,100.0,87.09677419354838
Irish Sea,1930,6,53,68,16,1,15,15,0,0.05859375,0.0625,0.9375,15.0,1.0,15,1,1.875,15,1,16,100.0,92.6470588235294
W Ireland,1950,3,3,16,16,1,15,15,0,0.05859375,0.0625,0.9375,15.0,1.0,15,1,1.875,15,1,16,100.0,68.75
Baltic,1980,2,2,25,15,1,15,15,1,0.06666666666666667,0.06666666666666667,1.0,15.0,1.0,15,1,2.0,16,1,15,100.0,80.0
Channel,1940,15,22,195,14,1,13,13,0,0.0663265306122449,0.07142857142857142,0.9285714285714286,13.0,1.0,13,1,1.8571428571428572,13,1,14,100.0,94.87179487179488
Channel,1880,6,23,35,14,1,13,13,0,0.0663265306122449,0.07142857142857142,0.9285714285714286,13.0,1.0,13,1,1.8571428571428572,13,1,14,100.0,91.42857142857143
W Ireland,2010,5,25,38,13,1,12,12,0,0.07100591715976332,0.07692307692307693,0.9230769230769231,12.0,1.0,12,1,1.8461538461538463,12,1,13,100.0,94.73684210526316
Celtic Sea,2020,4,34,56,12,1,11,11,0,0.0763888888888889,0.08333333333333333,0.9166666666666666,11.0,1.0,11,1,1.8333333333333333,11,1,12,100.0,98.21428571428571
Iceland,1950,1,1,11,12,1,11,11,0,0.0763888888888889,0.08333333333333333,0.9166666666666666,11.0,1.0,11,1,1.8333333333333333,11,1,12,100.0,90.9090909090909
W Scotland,1890,3,4,11,11,3,8,10,0,0.08264462809917356,0.09090909090909091,0.9090909090909091,3.3333333333333335,1.25,5,2,1.8181818181818181,5,1,11,100.0,100.0
Celtic Sea,1880,2,14,22,11,1,10,10,0,0.08264462809917356,0.09090909090909091,0.9090909090909091,10.0,1.0,10,1,1.8181818181818181,10,1,11,100.0,100.0
Biscay,2010,14,72,86,9,1,9,9,1,0.1111111111111111,0.1111111111111111,1.0,9.0,1.0,9,1,2.0,10,1,9,100.0,100.0
Freshwater,1910,4,6,13,10,1,9,9,0,0.09,0.1,0.9,9.0,1.0,9,1,1.8,9,1,10,100.0,100.0
Iceland,2000,2,19,51,10,1,9,9,0,0.09,0.1,0.9,9.0,1.0,9,1,1.8,9,1,10,100.0,100.0
E Greenland,2000,2,14,44,10,1,9,9,0,0.09,0.1,0.9,9.0,1.0,9,1,1.8,9,1,10,100.0,100.0
Barents Sea,1940,2,2,15,10,1,9,9,0,0.09,0.1,0.9,9.0,1.0,9,1,1.8,9,1,10,100.0,100.0
Baltic,1900,14,28,38,9,1,8,8,0,0.09876543209876543,0.1111111111111111,0.8888888888888888,8.0,1.0,8,1,1.7777777777777777,8,1,9,100.0,100.0
North Sea,1940,5,5,15,9,1,8,8,0,0.09876543209876543,0.1111111111111111,0.8888888888888888,8.0,1.0,8,1,1.7777777777777777,8,1,9,100.0,100.0
Rockall,1920,1,1,8,8,1,8,8,1,0.125,0.125,1.0,8.0,1.0,8,1,2.0,9,1,8,100.0,100.0
Biscay,1970,1,18,44,8,1,8,8,1,0.125,0.125,1.0,8.0,1.0,8,1,2.0,9,1,8,100.0,100.0
W Ireland,1930,1,1,6,7,1,6,6,0,0.12244897959183673,0.14285714285714285,0.8571428571428571,6.0,1.0,6,1,1.7142857142857142,6,1,7,100.0,100.0
Barents Sea,1900,1,4,8,8,2,6,6,0,0.09375,0.10714285714285714,0.75,3.0,1.0,5,1,1.5,5,2,6,75.0,100.0
Channel,1950,2,2,5,6,2,4,5,0,0.1388888888888889,0.16666666666666666,0.8333333333333334,2.5,1.25,3,2,1.6666666666666667,3,1,6,100.0,100.0
W Scotland,1940,1,1,6,6,1,5,5,0,0.1388888888888889,0.16666666666666666,0.8333333333333334,5.0,1.0,5,1,1.6666666666666667,5,1,6,100.0,100.0
North Atlantic,2010,2,9,18,5,1,4,4,0,0.16,0.2,0.8,4.0,1.0,4,1,1.6,4,1,5,100.0,100.0
Celtic Sea,1950,1,1,4,5,1,4,4,0,0.16,0.2,0.8,4.0,1.0,4,1,1.6,4,1,5,100.0,100.0
Irish Sea,1840,2,2,3,5,2,3,3,0,0.12,0.15,0.6,1.5,1.0,2,1,1.2,2,2,3,60.0,100.0
W Ireland,1960,1,5,9,4,1,3,3,0,0.1875,0.25,0.75,3.0,1.0,3,1,1.5,3,1,4,100.0,100.0
North Sea,1850,1,1,2,3,1,2,2,0,0.2222222222222222,0.3333333333333333,0.6666666666666666,2.0,1.0,2,1,1.3333333333333333,2,1,3,100.0,100.0
North Sea,1830,1,1,2,3,1,2,2,0,0.2222222222222222,0.3333333333333333,0.6666666666666666,2.0,1.0,2,1,1.3333333333333333,2,1,3,100.0,100.0
North Sea,1840,1,1,1,2,1,1,1,0,0.25,0.5,0.5,1.0,1.0,1,1,1.0,1,1,2,100.0,100.0
Kattegat,1900,1,1,1,2,1,1,1,0,0.25,0.5,0.5,1.0,1.0,1,1,1.0,1,1,2,100.0,100.0
Channel,1890,1,1,1,2,1,1,1,0,0.25,0.5,0.5,1.0,1.0,1,1,1.0,1,1,2,100.0,100.0
Baltic,1910,1,3,3,2,1,1,1,0,0.25,0.5,0.5,1.0,1.0,1,1,1.0,1,1,2,100.0,100.0
