EcosystemType,Metric,N,Mean,Median,SD,Q25,Q75,SEM,NotebookCell,SourceFile,Selection
terrestrial aboveground,F1Score,21,0.614832293581,0.65831249131500003,0.190564963329696,0.465112474755,0.73502195204300003,0.041584684250705502,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,PR_AUC,21,0.54671600947538102,0.55589435482799987,0.0638439694819075,0.49404835224299992,0.58953810228400005,0.0139318963246329,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,Precision,21,0.89962136712861895,0.92164285714299998,0.11320822048299289,0.83933333333299986,0.99378237708899997,0.024704059031169699,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,ROC_AUC,21,0.85258139968142865,0.93526785714299998,0.15759675546528931,0.75222222222199986,0.97623005319099998,0.034390431485673001,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,Recall,21,0.50529672219247623,0.494676258993,0.21980046436651071,0.32823129251700001,0.675531914894,0.0479643936069514,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,TestMCC,21,0.56563623382247608,0.61750656816600002,0.19009596229296399,0.40396576824699992,0.65772525680899985,0.041482339833951297,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial aboveground,TestTSS,21,0.47230078279180948,0.49266187050400001,0.21964158114922261,0.30399999999999988,0.57750000000000001,0.047929722446480798,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,F1Score,52,0.7226241420501347,0.73314950102999987,0.070532316586340599,0.70356892945924987,0.76342337186800002,0.0097810724626656992,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,PR_AUC,52,0.63484837301871155,0.65648915703999988,0.097476548231464802,0.6139521730245,0.68100524049650002,0.0135175651078378,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,Precision,52,0.87320947730828835,0.88061542333249998,0.062893187687947896,0.85631116766975002,0.90326410807199997,0.0087217158879337002,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,ROC_AUC,52,0.83756840595863458,0.83395412649799994,0.041585908113572101,0.81198066611700004,0.85297688277424988,0.0057669278477007003,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,Recall,52,0.62661116439267295,0.64009979921249993,0.092525944297775095,0.58917765186575,0.68242011688850002,0.0128310398644751,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,TestMCC,52,0.638727173594,0.64657963620649994,0.070100134003462794,0.61013885357474995,0.67488418178849996,0.0097211395217838992,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
terrestrial belowground,TestTSS,52,0.57711392425148067,0.58444142322850001,0.085611905111797906,0.54536543444374985,0.63048811515975001,0.0118722351411825,week-32.ipynb cell 26714dfc,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train90_after_tukey.csv,TrainRatio=90; grouped by ecosystem and metric; SEM=SD/sqrt(N)
