CvK,Metric,N,Mean,Median,SD,Q25,Q75,SEM,NotebookCell,SourceFile,Selection
5,ROC_AUC,290,0.8584956166158586,0.873203221207,0.10650369018032541,0.79614487034274994,0.94251020408200004,0.0062541120326815997,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,Recall,290,0.57649916933628353,0.60666331469750001,0.2296692263274337,0.41705809695450002,0.73477012383874996,0.013486641349976699,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,TestMCC,290,0.59443046979557834,0.6077742574535,0.20247365391329611,0.48476993399649992,0.73790363733474995,0.0118896623496909,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
5,TestTSS,290,0.52490883668342725,0.53420706408999996,0.2288889655324152,0.35075527105225002,0.68195934472075004,0.0134408228584438,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,F1Score,290,0.64802158138836585,0.68462029125849988,0.21213330757848919,0.51497508422649985,0.79199714005974986,0.012456896744262,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,PR_AUC,290,0.52056498967477227,0.53266373455000005,0.16068788425147049,0.38898368791749988,0.65078976182424986,0.0094359174663500994,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,Precision,290,0.8701244629913758,0.92344225146199999,0.15011732181754331,0.81580152386125004,0.97634590983975,0.0088151926670657008,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,ROC_AUC,290,0.86294295467371018,0.87679289861699994,0.1127428679480352,0.80842405994275002,0.95314857410925002,0.0066204891665162004,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,Recall,290,0.57064452048832026,0.59908310117749985,0.23949801488906741,0.3919367568812499,0.73138254993175,0.0140638076876493,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,TestMCC,290,0.5970760134750448,0.61318130537149995,0.2104101436928712,0.47649537554549992,0.73616065956224985,0.012355709076744799,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
10,TestTSS,290,0.52553189031466097,0.53770260184950003,0.2387775554929068,0.34807621074775003,0.68932663690499985,0.0140215008551729,week-32.ipynb cell 8c6a2ac3,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_kfold_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/retention_protocol/tukey_iqr_1p5_min50pct_threshold0p50_v1/figure_inputs/predictive_train10-90_after_tukey.csv,"Role-only; CvK=3,5,10; complete-fold means; at least 10/20 retained experiments"
