foodweb,status,nodes,features,missing_raw_node_attrs,mass_imputed
PC1P1_tax_mass,written,22,44,0,0
PC1P2_tax_mass,written,21,44,0,0
PC1P3_tax_mass,written,25,44,0,0
PC1P4_tax_mass,written,17,44,0,0
PC2P1_tax_mass,written,19,44,0,0
PC2P2_tax_mass,written,31,44,0,0
PC2P3_tax_mass,written,18,44,0,0
PC2P4_tax_mass,written,17,44,0,0
PC2P5_tax_mass,written,12,44,0,0
PGSBP1_tax_mass,written,17,44,0,0
PGSBP2_tax_mass,written,29,44,0,0
PGUBP1_tax_mass,written,18,44,0,0
PGUBP2_tax_mass,written,20,44,0,0
PGUBP3_tax_mass,written,21,44,0,0
PGUBP4_tax_mass,written,18,44,0,0
PP1I1_tax_mass,written,27,44,0,0
PP1I2_tax_mass,written,14,44,0,0
PP1I3_tax_mass,written,11,44,0,0
PP1I4_tax_mass,written,18,44,0,0
PP2I1_tax_mass,written,21,44,0,0
PP2I2_tax_mass,written,21,44,0,0
PP2I3_tax_mass,written,23,44,0,0
PP2I4_tax_mass,written,20,44,0,0
PP2M1_tax_mass,written,18,44,0,0
PP2M2_tax_mass,written,19,44,0,0
PP2M3_tax_mass,written,19,44,0,0
PP2M4_tax_mass,written,18,44,0,0
RMP1_tax_mass,written,28,44,0,0
RMP2_tax_mass,written,20,44,0,0
RMP3_tax_mass,written,17,44,0,0
RMP4_tax_mass,written,16,44,0,0
RMP5_tax_mass,written,21,44,0,0
RV1P1_tax_mass,written,59,44,0,0
RV1P2_tax_mass,written,50,44,0,0
RV1P3_tax_mass,written,55,44,0,0
RV1P4_tax_mass,written,50,44,0,0
RV2P1_tax_mass,written,53,44,0,0
RV2P2_tax_mass,written,38,44,0,0
RV2P3_tax_mass,written,48,44,0,0
RV2P4_tax_mass,written,41,44,0,0
Rat Lake_tax_mass,written,50,44,0,1
Razorback Lake_tax_mass,written,42,44,0,1
Rock Lake_tax_mass,written,22,44,0,1
Russian Lake_tax_mass,written,24,44,0,1
SEW01_tax_mass,written,104,44,0,9
SEW02_tax_mass,written,93,44,0,9
SEW03_tax_mass,written,122,44,0,9
SEW04_tax_mass,written,120,44,0,9
SEW05_tax_mass,written,101,44,0,9
SEW06_tax_mass,written,127,44,0,9
SEW07_tax_mass,written,132,44,0,9
SEW08_tax_mass,written,118,44,0,9
SEW09_tax_mass,written,89,44,0,9
SEW18_tax_mass,written,123,44,0,9
SEW35_tax_mass,written,101,44,0,9
SEW36_tax_mass,written,89,44,0,9
SEW37_tax_mass,written,118,44,0,9
SEW41_tax_mass,written,118,44,0,9
SEW43_tax_mass,written,120,44,0,9
SEW48_tax_mass,written,118,44,0,9
SF1I1_tax_mass,written,15,44,0,0
SF1I2_tax_mass,written,20,44,0,0
SF1I3_tax_mass,written,27,44,0,0
SF1I4_tax_mass,written,21,44,0,0
SF1M1_tax_mass,written,12,44,0,0
SF1M2_tax_mass,written,10,44,0,0
SF1M3_tax_mass,written,15,44,0,0
SF1M4_tax_mass,written,15,44,0,0
SF2I1_tax_mass,written,16,44,0,0
SF2I2_tax_mass,written,19,44,0,0
SF2I3_tax_mass,written,15,44,0,0
SF2I4_tax_mass,written,14,44,0,0
SF2M1_tax_mass,written,14,44,0,0
SF2M2_tax_mass,written,15,44,0,0
SF2M3_tax_mass,written,20,44,0,0
SF2M4_tax_mass,written,17,44,0,0
SP1_tax_mass,written,11,44,0,0
Safford Lake_tax_mass,written,44,44,0,1
Sand Lake_tax_mass,written,29,44,0,1
Scottish Lake_tax_mass,written,51,44,0,30
Skipwith Pond_tax_mass,written,34,44,0,1
South Lake_tax_mass,written,22,44,0,0
Squaw Lake_tax_mass,written,41,44,0,0
Stink Lake_tax_mass,written,53,44,0,1
Stony Stream_tax_mass,written,113,44,0,63
Sutton Stream_tax_mass,written,88,44,0,57
Svalbard_tax_mass,written,13,44,0,5
Test Stream_tax_mass,written,121,44,0,0
Tuesday Lake 1984_tax_mass,written,50,44,0,0
Tuesday Lake 1986_tax_mass,written,51,44,0,0
Twelfth Tee Lake_tax_mass,written,31,44,0,1
Twin Lake East_tax_mass,written,13,44,0,0
Twin Lake West_tax_mass,written,26,44,0,1
WP1_tax_mass,written,39,44,0,0
WP2_tax_mass,written,26,44,0,0
WP3_tax_mass,written,35,44,0,0
WP4_tax_mass,written,27,44,0,0
Weddell Sea_tax_mass,written,490,44,0,2
Wensum Stream_tax_mass,written,127,44,0,0
Whipple Lake_tax_mass,written,32,44,0,1
Wolf Lake_tax_mass,written,27,44,0,1
Yamal_tax_mass,written,22,44,0,5
Ythan Estuary_tax_mass,written,92,44,0,1
Zackenberg_tax_mass,written,17,44,0,5
