Foodweb,NumNodes,TotalEdges,BackboneEdges,BackboneFraction,Method,q_start,q_used,thr
"Loon Lake_tax_mass",35,118,60,0.508475,quantile,0.0500,0.2500,0.513514
"Cascade lake_tax_mass",35,118,61,0.516949,quantile,0.0500,0.2500,0.517241
"Chub lake_tax_mass",36,83,34,0.409639,quantile,0.0500,0.2500,0.515152
"FXAP3_tax_mass",36,260,79,0.303846,quantile,0.0500,0.2500,0.513514
"Lower Sister Lake_tax_mass",37,161,43,0.267081,quantile,0.0500,0.2500,0.512195
"Iceland stream IS8  April 2009_tax_mass",37,216,151,0.699074,quantile,0.0500,0.2500,0.510204
"MBP3_tax_mass",37,353,105,0.297450,quantile,0.0500,0.2500,0.511628
"Allt a Mharcaidh_tax_mass",37,267,218,0.816479,quantile,0.0500,0.2500,0.518519
"RV2P2_tax_mass",38,171,99,0.578947,quantile,0.0500,0.2500,0.515152
"WP1_tax_mass",39,367,92,0.250681,quantile,0.0500,0.2500,0.511028
"CR2P3_tax_mass",39,233,156,0.669528,quantile,0.0500,0.2500,0.511111
"L2P4_tax_mass",39,260,185,0.711538,quantile,0.0500,0.2500,0.512195
"Falls lake_tax_mass",39,152,40,0.263158,quantile,0.0500,0.2500,0.515152
"GJBP1_tax_mass",40,379,104,0.274406,quantile,0.0500,0.2500,0.511111
"Goose lake_tax_mass",40,98,22,0.224490,quantile,0.0500,0.2500,0.511628
"CR1P4_tax_mass",40,250,209,0.836000,quantile,0.0500,0.2500,0.512821
"RV2P4_tax_mass",41,210,154,0.733333,quantile,0.0500,0.2500,0.515152
"L4P3_tax_mass",41,238,172,0.722689,quantile,0.0500,0.2500,0.512821
"Hardknott Gill_tax_mass",41,382,116,0.303665,quantile,0.0500,0.2500,0.512195
"Buck pond_tax_mass",41,153,95,0.620915,quantile,0.0500,0.2500,0.513514
"Lost Lake East_tax_mass",41,137,80,0.583942,quantile,0.0500,0.2500,0.512821
"Squaw Lake_tax_mass",41,169,121,0.715976,quantile,0.0500,0.2500,0.512821
"Helldiver pond_tax_mass",41,169,45,0.266272,quantile,0.0500,0.2500,0.511628
"Razorback Lake_tax_mass",42,179,83,0.463687,quantile,0.0500,0.2500,0.513514
"L1P2_tax_mass",42,294,82,0.278912,quantile,0.0500,0.2500,0.510204
"CR1P3_tax_mass",42,284,220,0.774648,quantile,0.0500,0.2500,0.511628
"Iceland stream IS8 August 2008_tax_mass",43,260,175,0.673077,quantile,0.0500,0.2500,0.508772
"L4P4_tax_mass",43,292,73,0.250000,quantile,0.0500,0.2500,0.511628
"Safford Lake_tax_mass",44,225,68,0.302222,quantile,0.0500,0.2500,0.512821
"L1P4_tax_mass",44,316,278,0.879747,quantile,0.0500,0.2500,0.513514
"Grass lake_tax_mass",44,165,46,0.278788,quantile,0.0500,0.2500,0.512195
"F2P2_tax_mass",45,179,45,0.251397,quantile,0.0500,0.2500,0.511628
"FXAP2_tax_mass",45,348,135,0.387931,quantile,0.0500,0.2500,0.511628
"FXBP2_tax_mass",45,326,273,0.837423,quantile,0.0500,0.2500,0.513514
"Gull lake_tax_mass",45,212,45,0.212264,quantile,0.0500,0.2500,0.512796
"FXAP1_tax_mass",46,380,169,0.444737,quantile,0.0500,0.2500,0.511111
"F1P3_tax_mass",47,218,92,0.422018,quantile,0.0500,0.2500,0.514286
"L2P1_tax_mass",47,320,218,0.681250,quantile,0.0500,0.2500,0.510204
"F1P2_tax_mass",48,257,92,0.357977,quantile,0.0500,0.2500,0.514286
"L1P3_tax_mass",48,391,258,0.659847,quantile,0.0500,0.2500,0.509434
"FXBP3_tax_mass",48,378,104,0.275132,quantile,0.0500,0.2500,0.510204
"CR2P1_tax_mass",48,373,287,0.769437,quantile,0.0500,0.2500,0.511628
"RV2P3_tax_mass",48,320,236,0.737500,quantile,0.0500,0.2500,0.510638
"Horseshoe Lake_tax_mass",49,255,143,0.560784,quantile,0.0500,0.2500,0.512821
"F1P4_tax_mass",49,295,79,0.267797,quantile,0.0500,0.2500,0.514286
"FXBP4_tax_mass",49,424,166,0.391509,quantile,0.0500,0.2500,0.511111
"Rat Lake_tax_mass",50,273,91,0.333333,quantile,0.0500,0.2500,0.512195
"Tuesday Lake 1984_tax_mass",50,269,69,0.256506,quantile,0.0500,0.2500,0.513514
"Balsam lake_tax_mass",50,261,88,0.337165,quantile,0.0500,0.2500,0.508772
"RV1P4_tax_mass",50,323,217,0.671827,quantile,0.0500,0.2500,0.510638
"L3P4_tax_mass",50,265,207,0.781132,quantile,0.0500,0.2500,0.514286
"RV1P2_tax_mass",50,357,125,0.350140,quantile,0.0500,0.2500,0.510638
"Tuesday Lake 1986_tax_mass",51,241,54,0.224066,quantile,0.0500,0.2500,0.511111
"Scottish Lake_tax_mass",51,347,108,0.311239,quantile,0.0500,0.2500,0.507246
"Little Rainbow Lake_tax_mass",52,247,65,0.263158,quantile,0.0500,0.2500,0.508475
"F2P4_tax_mass",52,257,70,0.272374,quantile,0.0500,0.2500,0.513514
"RV2P1_tax_mass",53,377,283,0.750663,quantile,0.0500,0.2500,0.510204
"Stink Lake_tax_mass",53,281,83,0.295374,quantile,0.0500,0.2500,0.509804
"Burntbridge lake_tax_mass",53,183,82,0.448087,quantile,0.0500,0.2500,0.509434
"F2P3_tax_mass",53,266,65,0.244361,quantile,0.0500,0.2500,0.512195
"FloridaIslandE7_tax_mass",54,301,87,0.289037,quantile,0.0500,0.2500,0.505882
"L3P3_tax_mass",54,464,355,0.765086,quantile,0.0500,0.2500,0.509804
"F1P1_tax_mass",54,244,73,0.299180,quantile,0.0500,0.2500,0.511111
"Chub pond_tax_mass",54,416,117,0.281250,quantile,0.0500,0.2500,0.508772
"CR2P2_tax_mass",55,377,235,0.623342,quantile,0.0500,0.2500,0.509434
"RV1P3_tax_mass",55,316,235,0.743671,quantile,0.0500,0.2500,0.511628
"Beaver lake_tax_mass",56,267,78,0.292135,quantile,0.0500,0.2500,0.509804
"FloridaIslandE9_tax_mass",56,361,91,0.252078,quantile,0.0500,0.2500,0.505618
"Alford lake_tax_mass",56,220,62,0.281818,quantile,0.0500,0.2500,0.509091
"L4P2_tax_mass",56,460,360,0.782609,quantile,0.0500,0.2500,0.509434
"L4P1_tax_mass",57,490,335,0.683673,quantile,0.0500,0.2500,0.509434
"L2P2_tax_mass",58,451,339,0.751663,quantile,0.0500,0.2500,0.509434
"F2P1_tax_mass",58,362,220,0.607735,quantile,0.0500,0.2500,0.510638
"Iceland stream IS7 August 2008_tax_mass",59,621,397,0.639291,quantile,0.0500,0.2500,0.506494
"FloridaIslandE2_tax_mass",59,298,97,0.325503,quantile,0.0500,0.2500,0.505263
"RV1P1_tax_mass",59,445,336,0.755056,quantile,0.0500,0.2500,0.509091
"CR1P2_tax_mass",60,487,270,0.554415,quantile,0.0500,0.2500,0.508475
"L1P1_tax_mass",60,465,121,0.260215,quantile,0.0500,0.2500,0.509804
"Big hope lake_tax_mass",61,328,88,0.268293,quantile,0.0500,0.2500,0.509804
"CR1P1_tax_mass",63,518,288,0.555985,quantile,0.0500,0.2500,0.507937
"Long Lake_tax_mass",65,417,97,0.232614,quantile,0.0500,0.2500,0.507937
"Connera lake_tax_mass",65,418,148,0.354067,quantile,0.0500,0.2500,0.508772
"Hoel lake_tax_mass",72,571,124,0.217163,quantile,0.0500,0.2500,0.508897
"Bridge brook lake_tax_mass",75,553,207,0.374322,quantile,0.0500,0.2500,0.507463
"Little Kye Burn_tax_mass",79,371,72,0.194070,quantile,0.0500,0.2500,0.511111
"Mill Stream_tax_mass",81,1443,465,0.322245,quantile,0.0500,0.2500,0.506494
"German Creek_tax_mass",86,353,100,0.283286,quantile,0.0500,0.2500,0.511628
"Blackrock Stream_tax_mass",88,375,83,0.221333,quantile,0.0500,0.2500,0.510638
"Sutton Stream_tax_mass",88,423,81,0.191489,quantile,0.0500,0.2500,0.506329
"SEW36_tax_mass",89,960,250,0.260417,quantile,0.0500,0.2500,0.508475
"SEW09_tax_mass",89,1039,306,0.294514,quantile,0.0500,0.2500,0.508475
"HEW10_tax_mass",91,889,212,0.238470,quantile,0.0500,0.2500,0.507463
"Ythan Estuary_tax_mass",92,417,77,0.184652,quantile,0.0500,0.2500,0.507246
"SEW02_tax_mass",93,730,160,0.219178,quantile,0.0500,0.2500,0.508197
"Dutch Microfauna food web PlotA_tax_mass",94,844,177,0.209716,quantile,0.0500,0.2500,0.504274
"Broad Stream_tax_mass",95,565,134,0.237168,quantile,0.0500,0.2500,0.509434
"Bure Stream_tax_mass",95,1938,603,0.311146,quantile,0.0500,0.2500,0.50495
"Dutch Microfauna food web PlotB_tax_mass",95,588,213,0.362245,quantile,0.0500,0.2500,0.50495
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2_tax_mass",97,776,211,0.271907,quantile,0.0500,0.2500,0.508772
"Healy Creek_tax_mass",99,634,133,0.209779,quantile,0.0500,0.2500,0.507937
"Dutch Microfauna food web PlotC_tax_mass",99,901,469,0.520533,quantile,0.0500,0.2500,0.503759
"Kye Burn_tax_mass",101,629,140,0.222576,quantile,0.0500,0.2500,0.508475
"SEW35_tax_mass",101,1184,278,0.234797,quantile,0.0500,0.2500,0.508197
"Chilean Intertidal El Quisco_tax_mass",101,1347,314,0.233111,quantile,0.0500,0.2500,0.505155
"SEW05_tax_mass",101,1239,309,0.249395,quantile,0.0500,0.2500,0.506849
"Chilean Intertidal Curaumilla_tax_mass",104,1340,314,0.234328,quantile,0.0500,0.2500,0.505155
"SEW01_tax_mass",104,1245,413,0.331727,quantile,0.0500,0.2500,0.507463
"Chilean Intertidal Los Molles_tax_mass",105,1352,308,0.227811,quantile,0.0500,0.2500,0.505263
"Loddon Stream_tax_mass",105,2552,646,0.253135,quantile,0.0500,0.2500,0.504274
"Chilean Intertidal Las Cruces_tax_mass",105,1357,311,0.229182,quantile,0.0500,0.2500,0.505263
"Lyde Stream_tax_mass",110,2041,593,0.290544,quantile,0.0500,0.2500,0.50495
"Dempsters Stream_tax_mass",110,966,211,0.218427,quantile,0.0500,0.2500,0.507463
"Canton Creek_tax_mass",110,708,136,0.192090,quantile,0.0500,0.2500,0.508772
"AEW18_tax_mass",111,1609,413,0.256681,quantile,0.0500,0.2500,0.505747
"Stony Stream_tax_mass",113,832,179,0.215144,quantile,0.0500,0.2500,0.507463
"AEW30_tax_mass",114,1423,324,0.227688,quantile,0.0500,0.2500,0.506173
"HEW04_tax_mass",116,1196,301,0.251672,quantile,0.0500,0.2500,0.506849
"Gearagh_tax_mass",117,383,65,0.169713,quantile,0.0500,0.2500,0.507937
"SEW08_tax_mass",118,1897,481,0.253558,quantile,0.0500,0.2500,0.505263
"SEW48_tax_mass",118,1883,483,0.256506,quantile,0.0500,0.2500,0.506024
"SEW37_tax_mass",118,2031,544,0.267848,quantile,0.0500,0.2500,0.506329
"SEW41_tax_mass",118,1757,488,0.277746,quantile,0.0500,0.2500,0.506329
"SEW04_tax_mass",120,1604,383,0.238778,quantile,0.0500,0.2500,0.506494
"AEW11_tax_mass",120,1865,456,0.244504,quantile,0.0500,0.2500,0.505618
"AEW27_tax_mass",120,1346,289,0.214710,quantile,0.0500,0.2500,0.50495
"SEW43_tax_mass",120,1814,420,0.231533,quantile,0.0500,0.2500,0.506173
"AEW06_tax_mass",120,1745,389,0.222923,quantile,0.0500,0.2500,0.50495
"AEW01_tax_mass",121,1841,434,0.235741,quantile,0.0500,0.2500,0.505882
"Test Stream_tax_mass",121,3195,799,0.250078,quantile,0.0500,0.2500,0.504099
"SEW03_tax_mass",122,2103,590,0.280552,quantile,0.0500,0.2500,0.505882
"AEW03_tax_mass",122,1845,452,0.244986,quantile,0.0500,0.2500,0.505495
"HEW03_tax_mass",123,1668,482,0.288969,quantile,0.0500,0.2500,0.507042
"AEW25_tax_mass",123,1854,478,0.257821,quantile,0.0500,0.2500,0.506173
"SEW18_tax_mass",123,1895,534,0.281794,quantile,0.0500,0.2500,0.506024
"AEW04_tax_mass",125,1838,499,0.271491,quantile,0.0500,0.2500,0.505155
"HEW02_tax_mass",126,1779,465,0.261383,quantile,0.0500,0.2500,0.506024
"AEW05_tax_mass",126,1876,430,0.229211,quantile,0.0500,0.2500,0.504505
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 _tax_mass",126,1205,244,0.202490,quantile,0.0500,0.2500,0.507042
"SEW06_tax_mass",127,1991,579,0.290809,quantile,0.0500,0.2500,0.506173
"Wensum Stream_tax_mass",127,3504,915,0.261130,quantile,0.0500,0.2500,0.504
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 _tax_mass",128,1261,302,0.239492,quantile,0.0500,0.2500,0.507463
"AEW07_tax_mass",129,1958,444,0.226762,quantile,0.0500,0.2500,0.504274
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 _tax_mass",131,1390,279,0.200719,quantile,0.0500,0.2500,0.507042
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 _tax_mass",132,1285,338,0.263035,quantile,0.0500,0.2500,0.506849
"HEW11_tax_mass",132,1931,471,0.243915,quantile,0.0500,0.2500,0.504505
"HEW16_tax_mass",132,2275,554,0.243516,quantile,0.0500,0.2500,0.504274
"SEW07_tax_mass",132,2787,676,0.242555,quantile,0.0500,0.2500,0.504505
"AEW09_tax_mass",134,2374,599,0.252317,quantile,0.0500,0.2500,0.504348
"HEW01_tax_mass",134,1573,340,0.216147,quantile,0.0500,0.2500,0.504762
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2_tax_mass",136,1301,302,0.232129,quantile,0.0500,0.2500,0.506173
"AEW08_tax_mass",136,2305,599,0.259870,quantile,0.0500,0.2500,0.504854
"HEW22_tax_mass",137,2138,515,0.240879,quantile,0.0500,0.2500,0.504854
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1_tax_mass",139,1558,324,0.207959,quantile,0.0500,0.2500,0.506024
"HEW17_tax_mass",139,2110,494,0.234123,quantile,0.0500,0.2500,0.504505
"HEW06_tax_mass",142,2346,525,0.223785,quantile,0.0500,0.2500,0.504202
"HEW12_tax_mass",143,2516,568,0.225755,quantile,0.0500,0.2500,0.503704
"HEW13_tax_mass",144,2154,462,0.214485,quantile,0.0500,0.2500,0.504065
"AEW17_tax_mass",145,2864,700,0.244413,quantile,0.0500,0.2500,0.503817
"HEW21_tax_mass",146,1999,421,0.210605,quantile,0.0500,0.2500,0.504673
"HEW47_tax_mass",148,3073,822,0.267491,quantile,0.0500,0.2500,0.503497
"AEW02_tax_mass",153,3345,820,0.245142,quantile,0.0500,0.2500,0.503356
"AEW49_tax_mass",154,2883,699,0.242456,quantile,0.0500,0.2500,0.504132
"HEW36_tax_mass",160,3251,820,0.252230,quantile,0.0500,0.2500,0.503597
"Carpinteria_tax_mass",160,3554,867,0.243950,quantile,0.0500,0.2500,0.504132
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1_tax_mass",163,2120,465,0.219340,quantile,0.0500,0.2500,0.504505
"HEW05_tax_mass",168,3138,692,0.220523,quantile,0.0500,0.2500,0.503704
"FloridaIslandE1_tax_mass",210,3559,738,0.207362,quantile,0.0500,0.2500,0.502262
"FloridaIslandE3_tax_mass",211,3669,742,0.202235,quantile,0.0500,0.2500,0.502262
"Caribbean Reef_tax_mass",247,3311,631,0.190577,quantile,0.0500,0.2500,0.502242
"Kongsfjorden_tax_mass",263,1603,278,0.173425,quantile,0.0500,0.2500,0.502326
"Lough Hyne_tax_mass",346,5052,889,0.175970,quantile,0.0500,0.2500,0.502304
"Weddell Sea_tax_mass",490,16041,3144,0.195998,quantile,0.0500,0.2500,0.501706
"Chesapeake Bay_tax_mass",521,15746,3235,0.205449,quantile,0.0500,0.2500,0.501684
